time,into,inth,intl,intc,v
2024-02-01 09:15:00,21788.35,21788.35,21706.55,21718.8,15850920
2024-02-01 09:20:00,21715.25,21752.45,21713.1,21725.6,8843893
2024-02-01 09:25:00,21723.0,21749.0,21710.35,21715.5,7111943
2024-02-01 09:30:00,21716.55,21749.9,21705.45,21748.15,6688451
2024-02-01 09:35:00,21748.95,21748.95,21695.75,21701.9,5798515
2024-02-01 09:40:00,21701.25,21744.1,21694.6,21739.05,5454921
2024-02-01 09:45:00,21738.95,21761.4,21735.3,21743.15,5907647
2024-02-01 09:50:00,21740.85,21758.3,21733.85,21749.65,3833260
2024-02-01 09:55:00,21749.85,21756.9,21741.2,21756.9,4028952
2024-02-01 10:00:00,21757.4,21761.0,21724.25,21747.1,3443466
2024-02-01 10:05:00,21743.6,21796.2,21740.0,21781.65,4565482
2024-02-01 10:10:00,21780.5,21798.0,21774.85,21783.9,3693965
2024-02-01 10:15:00,21782.9,21785.2,21758.9,21784.95,5028329
2024-02-01 10:20:00,21781.35,21783.9,21768.6,21779.75,3781123
2024-02-01 10:25:00,21778.75,21796.8,21774.05,21793.25,4126988
2024-02-01 10:30:00,21791.6,21793.7,21771.2,21782.95,3367992
2024-02-01 10:35:00,21782.65,21795.5,21779.4,21785.0,3146642
2024-02-01 10:40:00,21786.0,21789.0,21778.3,21786.25,3725976
2024-02-01 10:45:00,21785.05,21793.6,21782.4,21784.8,3753985
2024-02-01 10:50:00,21783.2,21803.55,21783.0,21801.45,4110695
2024-02-01 10:55:00,21801.65,21802.15,21770.9,21797.1,5099217
2024-02-01 11:00:00,21796.9,21832.95,21792.55,21810.25,4705314
2024-02-01 11:05:00,21810.7,21813.8,21759.9,21790.5,4264464
2024-02-01 11:10:00,21790.7,21795.9,21774.25,21783.25,3335093
2024-02-01 11:15:00,21785.7,21787.25,21667.15,21721.1,7216081
2024-02-01 11:20:00,21720.95,21747.9,21710.85,21734.4,4683435
2024-02-01 11:25:00,21735.2,21759.65,21719.75,21748.25,4460796
2024-02-01 11:30:00,21747.15,21747.15,21722.05,21734.7,2670124
2024-02-01 11:35:00,21735.95,21762.85,21724.75,21748.25,2887020
2024-02-01 11:40:00,21747.35,21755.35,21732.8,21748.0,2658441
2024-02-01 11:45:00,21749.5,21762.3,21739.4,21752.45,3858494
2024-02-01 11:50:00,21752.3,21772.3,21748.8,21759.15,3788288
