datetime,symbol,open,high,low,close,volume
2024-02-26 09:15:00,NSE:MARICO,529.8,531.7,528.0,529.65,54004.0
2024-02-26 09:20:00,NSE:MARICO,529.65,530.85,528.75,530.6,25550.0
2024-02-26 09:25:00,NSE:MARICO,530.4,530.65,528.6,529.9,20256.0
2024-02-26 09:30:00,NSE:MARICO,529.6,530.0,529.5,530.0,7906.0
2024-02-26 09:35:00,NSE:MARICO,530.5,531.0,529.65,531.0,14045.0
2024-02-26 09:40:00,NSE:MARICO,530.7,530.95,529.95,530.25,11264.0
2024-02-26 09:45:00,NSE:MARICO,530.25,532.75,530.25,531.0,24716.0
2024-02-26 09:50:00,NSE:MARICO,530.95,531.35,528.5,529.65,35242.0
2024-02-26 09:55:00,NSE:MARICO,529.9,530.4,529.35,530.1,11230.0
2024-02-26 10:00:00,NSE:MARICO,530.1,530.4,529.6,529.95,4728.0
2024-02-26 10:05:00,NSE:MARICO,529.9,530.7,529.8,530.4,7040.0
2024-02-26 10:10:00,NSE:MARICO,530.25,530.25,530.0,530.05,3811.0
2024-02-26 10:15:00,NSE:MARICO,530.05,530.3,529.5,529.5,7276.0
2024-02-26 10:20:00,NSE:MARICO,529.7,530.2,529.25,530.2,14003.0
2024-02-26 10:25:00,NSE:MARICO,530.2,531.95,530.1,531.05,15864.0
2024-02-26 10:30:00,NSE:MARICO,531.05,531.4,530.45,531.3,7607.0
2024-02-26 10:35:00,NSE:MARICO,531.5,531.85,530.8,530.95,8671.0
2024-02-26 10:40:00,NSE:MARICO,530.85,530.95,529.0,529.15,3638.0
2024-02-26 10:45:00,NSE:MARICO,529.0,530.0,529.0,529.85,9006.0
2024-02-26 10:50:00,NSE:MARICO,529.7,529.85,529.25,529.3,5286.0
2024-02-26 10:55:00,NSE:MARICO,529.45,529.8,529.45,529.65,817.0
2024-02-26 11:00:00,NSE:MARICO,529.65,530.5,529.6,530.5,8080.0
2024-02-26 11:05:00,NSE:MARICO,530.35,531.3,530.2,531.15,8629.0
2024-02-26 11:10:00,NSE:MARICO,530.95,531.1,530.85,530.85,5190.0
2024-02-26 11:15:00,NSE:MARICO,530.85,531.6,530.75,531.6,7916.0
2024-02-26 11:20:00,NSE:MARICO,531.6,531.9,531.45,531.65,4023.0
2024-02-26 11:25:00,NSE:MARICO,531.75,532.6,531.6,532.45,5465.0
2024-02-26 11:30:00,NSE:MARICO,532.6,532.8,532.4,532.7,3415.0
2024-02-26 11:35:00,NSE:MARICO,532.7,532.7,531.25,531.75,11840.0
2024-02-26 11:40:00,NSE:MARICO,531.45,532.1,531.4,531.95,3800.0
2024-02-26 11:45:00,NSE:MARICO,531.95,532.65,531.9,532.15,5371.0
2024-02-26 11:50:00,NSE:MARICO,532.2,532.2,530.85,531.2,3099.0
2024-02-26 11:55:00,NSE:MARICO,531.2,531.45,530.85,531.15,4030.0
2024-02-26 12:00:00,NSE:MARICO,531.0,531.1,530.75,530.8,2771.0
2024-02-26 12:05:00,NSE:MARICO,531.0,531.05,530.4,530.7,3900.0
2024-02-26 12:10:00,NSE:MARICO,530.7,530.7,530.3,530.6,3182.0
2024-02-26 12:15:00,NSE:MARICO,530.4,530.6,530.3,530.6,3645.0
2024-02-26 12:20:00,NSE:MARICO,529.8,529.95,529.55,529.75,4473.0
2024-02-26 12:25:00,NSE:MARICO,529.7,530.2,529.7,530.05,6159.0
2024-02-26 12:30:00,NSE:MARICO,530.2,530.2,530.0,530.0,1499.0
2024-02-26 12:35:00,NSE:MARICO,530.2,530.2,529.85,529.85,1424.0
2024-02-26 12:40:00,NSE:MARICO,529.85,530.05,529.85,529.95,1204.0
2024-02-26 12:45:00,NSE:MARICO,529.85,530.05,529.85,529.9,857.0
2024-02-26 12:50:00,NSE:MARICO,529.85,530.05,529.85,530.0,1512.0
2024-02-26 12:55:00,NSE:MARICO,529.8,530.0,529.8,530.0,597.0
2024-02-26 13:00:00,NSE:MARICO,529.3,529.45,528.3,528.35,11671.0
2024-02-26 13:05:00,NSE:MARICO,528.35,528.65,528.25,528.6,3954.0
2024-02-26 13:10:00,NSE:MARICO,528.6,528.6,528.1,528.45,4226.0
2024-02-26 13:15:00,NSE:MARICO,528.45,528.7,528.1,528.7,2925.0
2024-02-26 13:20:00,NSE:MARICO,528.7,528.7,528.55,528.7,744.0
2024-02-26 13:25:00,NSE:MARICO,528.7,528.7,527.4,527.7,19312.0
2024-02-26 13:30:00,NSE:MARICO,527.95,527.95,526.55,527.65,7833.0
2024-02-26 13:35:00,NSE:MARICO,527.5,527.5,526.85,527.15,4967.0
2024-02-26 13:40:00,NSE:MARICO,527.2,527.2,526.75,527.05,150605.0
2024-02-26 13:45:00,NSE:MARICO,526.7,528.1,526.55,527.95,7374.0
2024-02-26 13:50:00,NSE:MARICO,527.75,527.9,526.75,527.0,9977.0
2024-02-26 13:55:00,NSE:MARICO,527.05,527.15,526.75,527.15,1648.0
2024-02-26 14:00:00,NSE:MARICO,527.1,527.65,526.85,527.65,4344.0
2024-02-26 14:05:00,NSE:MARICO,527.35,527.65,526.85,526.9,4620.0
2024-02-26 14:10:00,NSE:MARICO,527.0,527.1,526.8,526.8,2404.0
2024-02-26 14:15:00,NSE:MARICO,527.0,527.1,526.65,526.65,2632.0
2024-02-26 14:20:00,NSE:MARICO,526.65,527.0,526.65,527.0,1396.0
2024-02-26 14:25:00,NSE:MARICO,526.75,527.0,526.2,526.3,4616.0
2024-02-26 14:30:00,NSE:MARICO,526.3,526.35,526.1,526.35,3045.0
2024-02-26 14:35:00,NSE:MARICO,526.35,526.35,526.05,526.35,1793.0
2024-02-26 14:40:00,NSE:MARICO,526.35,526.45,526.2,526.45,5919.0
2024-02-26 14:45:00,NSE:MARICO,526.45,526.45,525.55,525.85,484813.0
2024-02-26 14:50:00,NSE:MARICO,525.85,525.85,525.1,525.35,4300.0
2024-02-26 14:55:00,NSE:MARICO,525.35,525.55,525.25,525.55,4292.0
2024-02-26 15:00:00,NSE:MARICO,525.55,526.0,525.55,525.8,17220.0
2024-02-26 15:05:00,NSE:MARICO,525.9,525.95,525.55,525.95,16003.0
2024-02-26 15:10:00,NSE:MARICO,526.0,526.0,525.6,526.0,15557.0
2024-02-26 15:15:00,NSE:MARICO,525.85,526.1,525.05,525.2,20640.0
2024-02-26 15:20:00,NSE:MARICO,525.15,526.0,525.05,525.1,28118.0
