time,into,inth,intl,intc,v
2024-02-26 09:15:00,603.9,603.9,591.05,591.75,133045.0
2024-02-26 09:20:00,591.95,594.35,590.55,593.9,112787.0
2024-02-26 09:25:00,594.25,596.9,593.8,596.6,63391.0
2024-02-26 09:30:00,596.55,598.2,595.8,597.55,39137.0
2024-02-26 09:35:00,597.85,599.2,597.7,598.25,51271.0
2024-02-26 09:40:00,598.1,599.0,597.95,598.5,65586.0
2024-02-26 09:45:00,598.8,598.8,592.6,592.6,89037.0
2024-02-26 09:50:00,592.55,593.05,587.55,590.8,202445.0
2024-02-26 09:55:00,591.1,592.2,587.1,587.8,171322.0
2024-02-26 10:00:00,587.45,589.2,587.45,588.3,59927.0
2024-02-26 10:05:00,588.5,590.75,588.25,589.75,46021.0
2024-02-26 10:10:00,589.7,590.5,587.25,587.8,44062.0
2024-02-26 10:15:00,587.9,590.0,587.55,588.5,29921.0
2024-02-26 10:20:00,588.5,590.3,588.5,589.85,13468.0
2024-02-26 10:25:00,589.95,590.6,589.35,589.75,24184.0
2024-02-26 10:30:00,589.75,590.85,589.2,589.2,19445.0
2024-02-26 10:35:00,589.15,590.65,589.15,589.45,20542.0
2024-02-26 10:40:00,589.45,589.9,587.0,587.2,72366.0
2024-02-26 10:45:00,587.2,588.35,586.75,587.35,54549.0
2024-02-26 10:50:00,587.15,587.7,586.0,586.55,55328.0
2024-02-26 10:55:00,586.2,588.35,586.1,587.8,37185.0
2024-02-26 11:00:00,587.9,589.6,587.4,589.35,32232.0
2024-02-26 11:05:00,589.6,589.6,588.75,588.85,24248.0
2024-02-26 11:10:00,588.7,588.75,586.4,587.0,59823.0
2024-02-26 11:15:00,587.1,588.35,586.0,587.0,138553.0
2024-02-26 11:20:00,587.1,587.55,586.0,586.9,44941.0
2024-02-26 11:25:00,586.9,587.8,586.6,587.8,13040.0
2024-02-26 11:30:00,587.85,588.0,586.65,586.8,14196.0
2024-02-26 11:35:00,586.95,587.95,586.55,587.45,13363.0
2024-02-26 11:40:00,587.3,588.25,586.9,587.55,31628.0
2024-02-26 11:45:00,587.8,588.1,586.75,587.35,25520.0
2024-02-26 11:50:00,587.65,588.05,587.05,587.45,16663.0
2024-02-26 11:55:00,587.6,588.1,586.95,587.75,39706.0
2024-02-26 12:00:00,587.65,588.95,587.4,588.45,47637.0
2024-02-26 12:05:00,588.45,588.75,588.15,588.4,12900.0
2024-02-26 12:10:00,588.5,588.5,587.05,587.2,46950.0
2024-02-26 12:15:00,587.05,587.75,586.2,587.25,61637.0
2024-02-26 12:20:00,587.5,587.9,586.6,587.35,37463.0
2024-02-26 12:25:00,587.05,587.95,586.75,587.35,50625.0
2024-02-26 12:30:00,587.55,588.3,586.75,587.25,46000.0
2024-02-26 12:35:00,587.15,587.9,586.75,587.7,23470.0
2024-02-26 12:40:00,587.55,587.7,587.05,587.4,29805.0
2024-02-26 12:45:00,587.3,587.85,587.0,587.6,68370.0
2024-02-26 12:50:00,587.6,588.5,587.05,587.65,64908.0
2024-02-26 12:55:00,588.15,589.25,587.65,588.75,52481.0
2024-02-26 13:00:00,588.8,588.95,588.0,588.45,40817.0
2024-02-26 13:05:00,588.65,590.0,588.35,589.85,68468.0
2024-02-26 13:10:00,589.8,590.7,588.4,588.4,199635.0
2024-02-26 13:15:00,588.45,589.55,587.45,588.95,206116.0
2024-02-26 13:20:00,589.0,589.0,586.5,586.75,121191.0
2024-02-26 13:25:00,586.75,587.45,586.2,587.15,31874.0
2024-02-26 13:30:00,587.15,587.35,586.7,586.9,39179.0
2024-02-26 13:35:00,587.0,587.7,586.4,586.85,50213.0
2024-02-26 13:40:00,586.8,587.0,584.55,585.45,106019.0
2024-02-26 13:45:00,585.7,587.9,585.45,587.85,157553.0
2024-02-26 13:50:00,587.8,588.0,586.5,587.8,73051.0
2024-02-26 13:55:00,587.9,588.5,586.1,587.75,47130.0
2024-02-26 14:00:00,587.55,588.0,586.5,587.75,43207.0
2024-02-26 14:05:00,587.8,588.5,587.45,588.35,78403.0
2024-02-26 14:10:00,588.5,588.85,587.35,587.9,56568.0
2024-02-26 14:15:00,587.85,588.25,587.55,588.25,28910.0
2024-02-26 14:20:00,588.2,590.55,588.2,590.0,141288.0
2024-02-26 14:25:00,590.0,590.5,589.25,589.75,62402.0
2024-02-26 14:30:00,590.0,590.0,588.15,588.5,41891.0
2024-02-26 14:35:00,588.25,588.5,587.5,587.5,48581.0
2024-02-26 14:40:00,587.2,588.75,587.15,588.25,25864.0
2024-02-26 14:45:00,588.5,588.6,586.85,587.0,160574.0
2024-02-26 14:50:00,587.25,587.8,586.05,586.95,239364.0
2024-02-26 14:55:00,587.0,587.6,585.75,585.75,220476.0
2024-02-26 15:00:00,585.65,587.15,583.85,587.0,460190.0
2024-02-26 15:05:00,587.3,587.95,585.65,586.55,384880.0
2024-02-26 15:10:00,586.55,588.3,586.0,586.95,359048.0
2024-02-26 15:15:00,587.1,587.75,586.2,586.5,175649.0
2024-02-26 15:20:00,586.15,586.5,585.35,585.35,266974.0
2024-02-26 15:25:00,585.7,586.95,584.9,586.95,298204.0
2024-02-27 09:15:00,588.45,589.9,586.3,589.2,34033.0
2024-02-27 09:20:00,589.2,591.95,588.4,591.7,44580.0
2024-02-27 09:25:00,591.85,592.5,591.05,591.55,25791.0
2024-02-27 09:30:00,591.55,591.7,590.6,591.5,11974.0
2024-02-27 09:35:00,591.4,591.8,590.95,591.55,7752.0
2024-02-27 09:40:00,591.75,591.85,591.05,591.15,5166.0
2024-02-27 09:45:00,591.15,592.8,591.0,592.5,20661.0
2024-02-27 09:50:00,592.2,592.9,591.35,591.35,11587.0
2024-02-27 09:55:00,591.35,591.55,589.65,590.3,15784.0
2024-02-27 10:00:00,590.5,590.65,590.25,590.35,2924.0
2024-02-27 10:05:00,590.3,590.4,589.25,589.75,30317.0
2024-02-27 10:10:00,589.65,590.5,589.0,589.15,23999.0
2024-02-27 10:15:00,589.15,589.55,589.0,589.15,9014.0
2024-02-27 10:20:00,589.25,589.3,586.85,587.35,21066.0
2024-02-27 10:25:00,587.35,588.75,587.25,588.25,10895.0
2024-02-27 10:30:00,588.1,589.0,587.95,589.0,8695.0
2024-02-27 10:35:00,589.0,589.55,588.85,589.3,5760.0
2024-02-27 10:40:00,589.4,589.5,588.85,589.5,4161.0
2024-02-27 10:45:00,589.75,590.5,589.5,590.4,9372.0
2024-02-27 10:50:00,590.45,590.75,590.05,590.25,5666.0
2024-02-27 10:55:00,590.25,590.65,590.1,590.5,14924.0
2024-02-27 11:00:00,590.45,590.8,590.15,590.55,13990.0
2024-02-27 11:05:00,590.55,590.95,590.4,590.85,5787.0
2024-02-27 11:10:00,590.75,590.8,590.15,590.3,7794.0
2024-02-27 11:15:00,590.3,590.75,590.05,590.15,17843.0
2024-02-27 11:20:00,590.35,591.0,590.15,590.85,10046.0
2024-02-27 11:25:00,590.6,591.0,590.4,590.85,11241.0
2024-02-27 11:30:00,590.85,590.85,590.15,590.6,7391.0
2024-02-27 11:35:00,590.55,590.8,590.15,590.65,8273.0
2024-02-27 11:40:00,590.6,592.2,590.6,591.35,23447.0
2024-02-27 11:45:00,591.55,591.7,589.6,590.55,38813.0
2024-02-27 11:50:00,590.4,591.0,589.85,590.05,16232.0
2024-02-27 11:55:00,590.2,590.45,589.15,590.25,10803.0
2024-02-27 12:00:00,590.45,590.85,589.4,589.6,10621.0
2024-02-27 12:05:00,589.6,589.6,589.15,589.25,5214.0
2024-02-27 12:10:00,589.2,589.6,588.4,589.6,8793.0
2024-02-27 12:15:00,589.6,589.6,588.45,588.9,18442.0
2024-02-27 12:20:00,588.9,589.8,588.7,589.8,5926.0
2024-02-27 12:25:00,589.75,590.1,589.5,589.55,5082.0
2024-02-27 12:30:00,589.55,589.9,588.85,589.05,5862.0
2024-02-27 12:35:00,589.15,589.25,588.55,589.05,8474.0
2024-02-27 12:40:00,589.1,589.25,588.75,589.15,5746.0
2024-02-27 12:45:00,589.0,589.75,588.9,589.75,6717.0
2024-02-27 12:50:00,589.75,590.55,589.3,589.85,9057.0
2024-02-27 12:55:00,589.85,590.25,589.2,590.2,11151.0
2024-02-27 13:00:00,589.9,590.95,589.85,590.9,16493.0
2024-02-27 13:05:00,590.9,590.9,589.6,589.6,17238.0
2024-02-27 13:10:00,589.7,591.85,589.65,591.45,20208.0
2024-02-27 13:15:00,591.75,592.5,591.2,592.25,28466.0
2024-02-27 13:20:00,592.2,592.5,591.45,591.75,13772.0
2024-02-27 13:25:00,591.85,591.85,590.95,591.3,11182.0
2024-02-27 13:30:00,591.0,591.9,591.0,591.55,7639.0
2024-02-27 13:35:00,591.5,591.75,591.0,591.55,4743.0
2024-02-27 13:40:00,591.45,591.75,589.5,589.95,21788.0
2024-02-27 13:45:00,589.8,590.85,589.25,590.15,15019.0
2024-02-27 13:50:00,590.15,591.35,589.85,589.95,19644.0
2024-02-27 13:55:00,590.15,591.0,589.3,591.0,31294.0
2024-02-27 14:00:00,590.85,590.95,589.7,589.85,8412.0
2024-02-27 14:05:00,590.05,590.7,589.75,589.9,8108.0
2024-02-27 14:10:00,589.7,590.1,589.4,589.95,16029.0
2024-02-27 14:15:00,589.95,591.7,589.95,591.05,19100.0
2024-02-27 14:20:00,590.7,591.75,590.55,591.05,11096.0
2024-02-27 14:25:00,590.95,591.5,590.6,591.0,17793.0
2024-02-27 14:30:00,591.0,592.4,590.85,592.4,36537.0
2024-02-27 14:35:00,592.5,595.4,592.5,594.5,72010.0
2024-02-27 14:40:00,594.5,595.7,594.3,595.0,24933.0
2024-02-27 14:45:00,595.15,595.15,594.45,594.45,31187.0
2024-02-27 14:50:00,593.6,594.05,591.7,591.9,170476.0
2024-02-27 14:55:00,592.0,592.7,591.3,591.35,59962.0
2024-02-27 15:00:00,591.6,592.0,590.65,591.0,134222.0
2024-02-27 15:05:00,591.0,591.65,590.6,590.85,36096.0
2024-02-27 15:10:00,590.85,590.9,589.7,589.8,55808.0
2024-02-27 15:15:00,589.85,590.0,589.2,589.75,39569.0
2024-02-27 15:20:00,589.7,590.0,589.5,590.0,68424.0
2024-02-27 15:25:00,589.65,590.6,589.0,590.6,67755.0
2024-02-28 09:15:00,591.05,591.4,589.3,590.45,29128.0
2024-02-28 09:20:00,590.5,591.1,589.6,590.5,15311.0
2024-02-28 09:25:00,590.35,590.5,588.45,588.9,25673.0
2024-02-28 09:30:00,588.7,589.5,587.75,588.6,18826.0
2024-02-28 09:35:00,588.9,589.75,588.65,589.45,16627.0
2024-02-28 09:40:00,589.4,589.45,587.15,588.25,19454.0
2024-02-28 09:45:00,588.25,588.5,587.4,588.1,15376.0
2024-02-28 09:50:00,588.05,588.35,587.0,587.0,17314.0
2024-02-28 09:55:00,587.3,587.4,586.2,586.2,30399.0
2024-02-28 10:00:00,586.4,587.95,585.65,587.6,38940.0
2024-02-28 10:05:00,587.85,588.7,586.7,586.95,663893.0
2024-02-28 10:10:00,586.65,587.0,586.55,586.7,18316.0
2024-02-28 10:15:00,586.55,587.0,586.55,586.95,22575.0
2024-02-28 10:20:00,586.75,588.0,586.75,587.45,57582.0
2024-02-28 10:25:00,587.6,587.7,587.15,587.7,5752.0
2024-02-28 10:30:00,587.9,587.9,587.15,587.5,13144.0
2024-02-28 10:35:00,587.15,587.8,586.4,586.65,19290.0
2024-02-28 10:40:00,586.4,586.95,586.4,586.65,6382.0
2024-02-28 10:45:00,586.65,587.0,586.05,586.5,17724.0
2024-02-28 10:50:00,586.2,586.35,584.3,584.5,42253.0
2024-02-28 10:55:00,584.5,584.9,580.1,580.25,91980.0
2024-02-28 11:00:00,580.2,581.8,578.05,580.4,96924.0
2024-02-28 11:05:00,580.2,581.55,579.15,581.1,28224.0
2024-02-28 11:10:00,581.1,582.35,580.45,582.35,53821.0
2024-02-28 11:15:00,582.4,583.25,582.0,582.5,44336.0
2024-02-28 11:20:00,582.45,582.75,582.0,582.35,24327.0
2024-02-28 11:25:00,582.55,582.95,581.7,582.8,65763.0
2024-02-28 11:30:00,582.8,583.2,582.0,583.2,27190.0
2024-02-28 11:35:00,583.2,583.3,582.3,582.35,14781.0
2024-02-28 11:40:00,582.35,582.75,580.85,582.0,158678.0
2024-02-28 11:45:00,582.0,583.1,581.45,583.0,46465.0
2024-02-28 11:50:00,583.05,583.05,582.4,582.7,6168.0
2024-02-28 11:55:00,582.5,584.2,582.5,584.0,16020.0
2024-02-28 12:00:00,583.95,584.45,582.4,582.7,9663.0
2024-02-28 12:05:00,582.65,583.2,582.35,582.75,12150.0
2024-02-28 12:10:00,582.55,583.8,582.4,583.8,14275.0
2024-02-28 12:15:00,583.75,584.05,583.55,583.85,18865.0
2024-02-28 12:20:00,583.55,584.8,583.5,584.75,12284.0
2024-02-28 12:25:00,584.75,584.75,583.5,583.8,11687.0
2024-02-28 12:30:00,583.95,584.05,583.05,583.65,18263.0
2024-02-28 12:35:00,583.65,583.9,582.7,583.6,4840.0
2024-02-28 12:40:00,583.6,583.8,582.5,582.6,8300.0
2024-02-28 12:45:00,582.6,582.65,581.3,581.65,16056.0
2024-02-28 12:50:00,581.65,582.0,581.0,581.1,19061.0
2024-02-28 12:55:00,580.95,581.6,580.1,580.25,30165.0
2024-02-28 13:00:00,580.5,580.5,580.0,580.0,16009.0
2024-02-28 13:05:00,580.05,580.75,577.4,579.0,52918.0
2024-02-28 13:10:00,579.05,579.7,575.45,575.65,59972.0
2024-02-28 13:15:00,575.8,578.55,575.8,577.95,30613.0
2024-02-28 13:20:00,578.0,578.45,577.0,578.2,19458.0
2024-02-28 13:25:00,578.4,578.75,577.1,578.0,17103.0
2024-02-28 13:30:00,578.1,580.6,577.4,579.7,37477.0
2024-02-28 13:35:00,579.7,580.5,578.35,578.65,18768.0
2024-02-28 13:40:00,578.65,579.15,578.25,578.3,13358.0
2024-02-28 13:45:00,578.3,578.6,577.0,578.3,18901.0
2024-02-28 13:50:00,578.3,578.7,577.4,577.4,10856.0
2024-02-28 13:55:00,577.65,578.35,577.15,577.95,14593.0
2024-02-28 14:00:00,578.15,578.2,577.45,578.2,11491.0
2024-02-28 14:05:00,578.2,579.55,577.75,578.5,19395.0
2024-02-28 14:10:00,578.25,578.8,577.85,578.4,13894.0
2024-02-28 14:15:00,578.2,578.35,577.2,577.6,13429.0
2024-02-28 14:20:00,577.6,577.8,577.05,577.7,16331.0
2024-02-28 14:25:00,577.7,578.4,577.3,578.4,12035.0
2024-02-28 14:30:00,578.4,578.4,575.05,575.75,32215.0
2024-02-28 14:35:00,575.75,576.1,574.05,575.55,63726.0
2024-02-28 14:40:00,575.55,576.4,575.3,576.4,21487.0
2024-02-28 14:45:00,576.35,577.6,576.1,576.3,39275.0
2024-02-28 14:50:00,576.3,577.25,575.1,575.55,26870.0
2024-02-28 14:55:00,575.95,575.95,574.0,574.25,36339.0
2024-02-28 15:00:00,574.25,574.5,572.05,574.45,100163.0
2024-02-28 15:05:00,574.5,574.95,573.2,573.9,38598.0
2024-02-28 15:10:00,573.65,574.0,572.0,572.3,49123.0
2024-02-28 15:15:00,572.35,572.35,570.0,570.25,68404.0
2024-02-28 15:20:00,570.3,570.45,567.8,568.0,115069.0
2024-02-28 15:25:00,568.0,568.8,567.85,568.7,66063.0
2024-02-29 09:15:00,574.0,574.0,568.5,571.6,95872.0
2024-02-29 09:20:00,571.65,572.0,569.0,571.35,70953.0
2024-02-29 09:25:00,571.5,573.7,571.0,573.05,73536.0
2024-02-29 09:30:00,573.05,573.3,570.55,572.75,39740.0
2024-02-29 09:35:00,572.65,572.65,570.05,571.0,46992.0
2024-02-29 09:40:00,571.05,571.65,569.75,571.65,67944.0
2024-02-29 09:45:00,571.25,573.0,570.95,572.3,53880.0
2024-02-29 09:50:00,572.45,575.5,572.35,575.35,62385.0
2024-02-29 09:55:00,575.4,576.45,574.0,574.2,57364.0
2024-02-29 10:00:00,574.5,575.0,574.0,574.3,23161.0
2024-02-29 10:05:00,574.5,575.0,569.35,570.3,96077.0
2024-02-29 10:10:00,570.0,570.65,569.0,569.75,34583.0
2024-02-29 10:15:00,569.6,570.55,568.0,569.1,46346.0
2024-02-29 10:20:00,569.1,570.95,568.5,570.2,84907.0
2024-02-29 10:25:00,570.15,570.35,569.2,569.8,19592.0
2024-02-29 10:30:00,569.65,570.2,569.35,569.85,16223.0
2024-02-29 10:35:00,569.85,569.95,566.65,567.2,58521.0
2024-02-29 10:40:00,566.85,568.75,566.85,568.05,48670.0
2024-02-29 10:45:00,568.05,568.8,567.2,567.8,30444.0
2024-02-29 10:50:00,567.95,568.1,566.6,567.15,22627.0
2024-02-29 10:55:00,567.0,568.4,566.8,567.15,27398.0
2024-02-29 11:00:00,566.95,569.15,566.9,568.85,26846.0
2024-02-29 11:05:00,568.85,569.7,568.2,569.3,26497.0
2024-02-29 11:10:00,569.65,569.65,568.25,568.9,24461.0
2024-02-29 11:15:00,568.95,569.2,567.5,567.8,32173.0
2024-02-29 11:20:00,567.85,568.95,567.65,568.85,6678.0
2024-02-29 11:25:00,568.9,569.8,568.3,569.7,24108.0
2024-02-29 11:30:00,569.5,569.95,568.35,568.65,41334.0
2024-02-29 11:35:00,568.6,568.85,567.75,568.0,22385.0
2024-02-29 11:40:00,568.0,568.75,567.5,567.7,16320.0
2024-02-29 11:45:00,567.7,568.05,567.0,567.0,22869.0
2024-02-29 11:50:00,567.0,568.0,566.25,567.95,25878.0
2024-02-29 11:55:00,567.85,568.05,566.3,566.7,19805.0
2024-02-29 12:00:00,566.4,567.0,566.1,566.35,15265.0
2024-02-29 12:05:00,566.35,566.4,565.05,566.1,24967.0
2024-02-29 12:10:00,565.8,566.2,565.75,566.05,9622.0
2024-02-29 12:15:00,566.15,566.45,564.45,566.0,31608.0
2024-02-29 12:20:00,565.95,566.95,565.6,566.85,12123.0
2024-02-29 12:25:00,566.7,567.6,566.7,567.25,18793.0
2024-02-29 12:30:00,567.25,567.5,566.6,566.85,39093.0
2024-02-29 12:35:00,566.85,567.4,566.3,567.1,54027.0
2024-02-29 12:40:00,566.9,569.2,566.85,569.15,54335.0
2024-02-29 12:45:00,568.85,569.8,568.8,569.5,39849.0
2024-02-29 12:50:00,569.95,569.95,568.7,569.15,27817.0
2024-02-29 12:55:00,568.9,569.85,568.85,569.5,20219.0
2024-02-29 13:00:00,569.3,570.0,567.8,568.6,22756.0
2024-02-29 13:05:00,568.2,569.95,568.1,569.95,15963.0
2024-02-29 13:10:00,569.95,570.0,568.65,569.6,21693.0
2024-02-29 13:15:00,569.4,570.0,569.3,569.3,32811.0
2024-02-29 13:20:00,569.5,569.9,568.6,568.8,19013.0
2024-02-29 13:25:00,568.95,569.3,568.25,568.5,9170.0
2024-02-29 13:30:00,568.65,569.95,568.05,569.25,29130.0
2024-02-29 13:35:00,569.65,569.8,567.6,567.9,26282.0
2024-02-29 13:40:00,567.65,568.85,567.55,568.4,17806.0
2024-02-29 13:45:00,568.7,570.0,568.25,569.9,42955.0
2024-02-29 13:50:00,569.9,570.0,569.1,569.1,26529.0
2024-02-29 13:55:00,569.2,569.75,567.95,568.75,14896.0
2024-02-29 14:00:00,568.9,569.05,567.5,568.0,21524.0
2024-02-29 14:05:00,568.0,569.15,567.65,567.9,26425.0
2024-02-29 14:10:00,568.0,569.0,568.0,568.7,23258.0
2024-02-29 14:15:00,568.65,569.0,568.05,568.75,20504.0
2024-02-29 14:20:00,568.6,568.95,568.2,568.6,12920.0
2024-02-29 14:25:00,568.3,569.1,568.2,568.5,43848.0
2024-02-29 14:30:00,568.5,569.0,566.75,566.85,61983.0
2024-02-29 14:35:00,567.0,567.35,566.3,567.0,34142.0
2024-02-29 14:40:00,566.95,569.8,566.8,569.6,94478.0
2024-02-29 14:45:00,569.6,569.95,569.0,569.6,48671.0
2024-02-29 14:50:00,569.45,570.95,569.1,569.9,56387.0
2024-02-29 14:55:00,569.8,570.3,567.6,568.5,47170.0
2024-02-29 15:00:00,568.75,570.0,568.2,568.55,176193.0
2024-02-29 15:05:00,568.7,570.4,568.1,570.3,171189.0
2024-02-29 15:10:00,570.35,570.75,569.6,570.5,133879.0
2024-02-29 15:15:00,570.5,570.7,569.55,570.2,122271.0
2024-02-29 15:20:00,570.2,571.35,569.95,571.2,126657.0
2024-02-29 15:25:00,571.15,571.25,569.4,570.1,96004.0
2024-03-01 09:15:00,574.9,577.35,571.15,574.4,69061.0
2024-03-01 09:20:00,574.5,575.3,573.6,573.95,43158.0
2024-03-01 09:25:00,573.95,574.9,573.35,573.35,41284.0
2024-03-01 09:30:00,573.65,573.95,572.45,572.55,26008.0
2024-03-01 09:35:00,572.5,573.15,571.75,572.4,18656.0
2024-03-01 09:40:00,572.4,573.05,572.0,572.6,25822.0
2024-03-01 09:45:00,572.6,573.15,571.4,572.45,22121.0
2024-03-01 09:50:00,572.5,573.2,572.0,572.5,13984.0
2024-03-01 09:55:00,572.5,572.85,571.3,571.35,14782.0
2024-03-01 10:00:00,570.45,572.9,570.45,572.1,42103.0
2024-03-01 10:05:00,572.45,573.85,572.1,573.85,12499.0
2024-03-01 10:10:00,573.65,574.0,572.8,572.95,18832.0
2024-03-01 10:15:00,573.1,573.25,572.0,572.15,9409.0
2024-03-01 10:20:00,571.85,572.05,570.95,571.65,18849.0
2024-03-01 10:25:00,571.65,571.85,571.1,571.35,8351.0
2024-03-01 10:30:00,571.0,572.0,571.0,572.0,8407.0
2024-03-01 10:35:00,572.0,572.5,571.6,572.1,5217.0
2024-03-01 10:40:00,571.95,572.4,571.55,571.55,7498.0
2024-03-01 10:45:00,571.6,572.2,571.5,572.0,5623.0
2024-03-01 10:50:00,571.9,572.0,571.7,571.85,4722.0
2024-03-01 10:55:00,571.75,572.0,571.4,571.4,5428.0
2024-03-01 11:00:00,571.1,572.0,571.1,571.3,2488.0
2024-03-01 11:05:00,571.65,571.95,571.4,571.7,1672.0
2024-03-01 11:10:00,571.95,572.5,571.75,572.3,5035.0
2024-03-01 11:15:00,572.15,573.55,572.15,573.4,9629.0
2024-03-01 11:20:00,573.4,574.0,573.25,573.7,10840.0
2024-03-01 11:25:00,573.95,575.0,573.75,574.8,31102.0
2024-03-01 11:30:00,574.8,575.75,574.25,575.3,21451.0
2024-03-01 11:35:00,575.25,575.75,574.45,574.5,9311.0
2024-03-01 11:40:00,574.75,574.85,574.1,574.25,6479.0
2024-03-01 11:45:00,574.25,574.9,574.1,574.4,8911.0
2024-03-01 11:50:00,574.2,575.05,574.15,574.6,8070.0
2024-03-01 11:55:00,574.6,575.7,573.7,575.55,14413.0
2024-03-01 12:00:00,575.25,575.4,574.8,574.85,3870.0
2024-03-01 12:05:00,574.85,575.5,574.85,575.5,10458.0
2024-03-01 12:10:00,575.35,575.5,575.0,575.2,4239.0
2024-03-01 12:15:00,575.4,575.6,574.25,574.25,12429.0
2024-03-01 12:20:00,574.3,574.5,573.55,574.2,13209.0
2024-03-01 12:25:00,574.15,574.35,573.8,573.8,3162.0
2024-03-01 12:30:00,574.25,575.8,574.0,575.55,4077.0
2024-03-01 12:35:00,575.55,576.0,575.45,575.75,7696.0
2024-03-01 12:40:00,575.85,576.65,575.75,576.4,11156.0
2024-03-01 12:45:00,576.2,578.3,576.15,577.5,28313.0
