time,into,inth,intl,intc,v
2024-02-26 09:15:00,1615.55,1622.45,1610.0,1616.45,28736.0
2024-02-26 09:20:00,1616.4,1621.3,1615.55,1620.45,14048.0
2024-02-26 09:25:00,1620.4,1624.0,1619.5,1622.25,13960.0
2024-02-26 09:30:00,1622.25,1623.95,1621.0,1621.55,8538.0
2024-02-26 09:35:00,1621.45,1625.0,1621.3,1625.0,13534.0
2024-02-26 09:40:00,1625.0,1629.4,1625.0,1628.6,25178.0
2024-02-26 09:45:00,1628.6,1629.4,1624.75,1625.1,21751.0
2024-02-26 09:50:00,1625.3,1625.3,1616.85,1619.9,17262.0
2024-02-26 09:55:00,1619.15,1619.9,1617.05,1618.35,7336.0
2024-02-26 10:00:00,1617.8,1619.5,1616.0,1617.55,10036.0
2024-02-26 10:05:00,1617.25,1621.55,1617.05,1619.7,15756.0
2024-02-26 10:10:00,1619.55,1621.8,1619.55,1620.0,8610.0
2024-02-26 10:15:00,1619.85,1620.25,1618.55,1619.2,8365.0
2024-02-26 10:20:00,1618.7,1621.1,1618.7,1620.95,3863.0
2024-02-26 10:25:00,1620.45,1620.65,1618.0,1618.0,7265.0
2024-02-26 10:30:00,1618.0,1620.45,1617.65,1620.3,7541.0
2024-02-26 10:35:00,1619.9,1622.3,1619.9,1622.3,9519.0
2024-02-26 10:40:00,1622.1,1622.6,1620.0,1620.65,7806.0
2024-02-26 10:45:00,1620.5,1620.85,1619.15,1620.85,4478.0
2024-02-26 10:50:00,1620.85,1620.9,1618.5,1619.05,7839.0
2024-02-26 10:55:00,1618.95,1620.0,1617.25,1618.2,8760.0
2024-02-26 11:00:00,1618.15,1619.2,1617.45,1617.95,5033.0
2024-02-26 11:05:00,1617.95,1618.5,1617.25,1617.75,5323.0
2024-02-26 11:10:00,1617.65,1618.0,1616.65,1617.1,4124.0
2024-02-26 11:15:00,1617.15,1619.2,1616.5,1619.0,8927.0
2024-02-26 11:20:00,1618.85,1619.0,1617.25,1618.0,3798.0
2024-02-26 11:25:00,1618.0,1619.2,1617.4,1619.2,3397.0
2024-02-26 11:30:00,1619.2,1619.2,1617.5,1617.7,4474.0
2024-02-26 11:35:00,1618.0,1618.55,1617.7,1618.55,3553.0
2024-02-26 11:40:00,1618.2,1620.8,1618.2,1620.75,7476.0
2024-02-26 11:45:00,1620.3,1621.25,1619.5,1620.55,6010.0
2024-02-26 11:50:00,1620.7,1621.1,1619.05,1619.35,10588.0
2024-02-26 11:55:00,1619.45,1621.85,1618.8,1621.7,4889.0
2024-02-26 12:00:00,1621.25,1621.85,1620.0,1620.95,4770.0
2024-02-26 12:05:00,1620.5,1621.65,1620.0,1621.45,4230.0
2024-02-26 12:10:00,1621.05,1621.65,1620.0,1621.05,4966.0
2024-02-26 12:15:00,1620.65,1620.7,1617.55,1618.5,6929.0
2024-02-26 12:20:00,1618.05,1619.9,1617.65,1618.5,11129.0
2024-02-26 12:25:00,1618.5,1621.25,1618.05,1619.95,5903.0
2024-02-26 12:30:00,1620.0,1620.8,1619.35,1620.35,4326.0
2024-02-26 12:35:00,1620.1,1620.65,1618.75,1618.9,4370.0
2024-02-26 12:40:00,1618.9,1620.35,1618.7,1619.95,6278.0
2024-02-26 12:45:00,1619.1,1619.65,1618.6,1619.1,3940.0
2024-02-26 12:50:00,1618.85,1620.45,1618.85,1620.15,10901.0
2024-02-26 12:55:00,1620.4,1621.65,1619.35,1620.85,5597.0
2024-02-26 13:00:00,1621.4,1622.1,1620.0,1620.7,7101.0
2024-02-26 13:05:00,1620.7,1622.0,1620.55,1621.75,5216.0
2024-02-26 13:10:00,1621.45,1624.55,1621.45,1623.95,14376.0
2024-02-26 13:15:00,1623.85,1626.6,1623.85,1625.35,13582.0
2024-02-26 13:20:00,1625.35,1625.5,1623.95,1624.7,5479.0
2024-02-26 13:25:00,1624.6,1625.9,1624.05,1624.7,8271.0
2024-02-26 13:30:00,1624.7,1624.9,1623.95,1624.15,4371.0
2024-02-26 13:35:00,1624.05,1625.05,1622.5,1623.1,8035.0
2024-02-26 13:40:00,1623.1,1623.1,1621.05,1621.4,6759.0
2024-02-26 13:45:00,1621.3,1623.9,1620.65,1622.65,9080.0
2024-02-26 13:50:00,1623.0,1623.35,1621.0,1621.55,5898.0
2024-02-26 13:55:00,1621.75,1622.3,1620.1,1620.8,7772.0
