time,into,inth,intl,intc,v
2024-02-26 09:15:00,1123.25,1125.9,1121.5,1124.0,85811.0
2024-02-26 09:20:00,1124.2,1124.2,1119.9,1121.95,55665.0
2024-02-26 09:25:00,1121.75,1122.15,1118.75,1119.0,83914.0
2024-02-26 09:30:00,1119.2,1119.7,1118.1,1119.3,36870.0
2024-02-26 09:35:00,1119.25,1120.15,1118.6,1118.8,47254.0
2024-02-26 09:40:00,1118.75,1119.2,1118.6,1118.9,20311.0
2024-02-26 09:45:00,1118.9,1119.6,1116.75,1117.6,57353.0
2024-02-26 09:50:00,1117.7,1117.7,1113.0,1113.9,88394.0
2024-02-26 09:55:00,1113.7,1113.9,1110.0,1110.2,41320.0
2024-02-26 10:00:00,1110.0,1112.75,1109.05,1109.3,49043.0
2024-02-26 10:05:00,1109.65,1111.4,1108.2,1108.25,58502.0
2024-02-26 10:10:00,1108.35,1109.85,1106.2,1109.8,39942.0
2024-02-26 10:15:00,1109.6,1109.65,1108.1,1108.25,28760.0
2024-02-26 10:20:00,1108.4,1109.4,1108.05,1108.25,25323.0
2024-02-26 10:25:00,1108.1,1108.5,1107.3,1107.55,40347.0
2024-02-26 10:30:00,1107.55,1108.15,1106.8,1108.05,35052.0
2024-02-26 10:35:00,1108.15,1109.35,1108.15,1108.4,18778.0
2024-02-26 10:40:00,1108.4,1109.0,1107.5,1108.15,23474.0
2024-02-26 10:45:00,1108.15,1109.4,1108.15,1109.05,88391.0
2024-02-26 10:50:00,1109.2,1109.4,1107.7,1108.3,47145.0
2024-02-26 10:55:00,1108.35,1109.45,1107.8,1108.9,24054.0
2024-02-26 11:00:00,1108.8,1109.45,1108.6,1109.1,42762.0
2024-02-26 11:05:00,1109.1,1109.5,1108.8,1108.85,28129.0
2024-02-26 11:10:00,1108.8,1108.85,1107.1,1108.05,68055.0
2024-02-26 11:15:00,1108.05,1110.0,1108.0,1109.75,42823.0
2024-02-26 11:20:00,1109.75,1110.45,1109.2,1109.95,31204.0
2024-02-26 11:25:00,1110.0,1110.4,1109.15,1109.25,15128.0
2024-02-26 11:30:00,1109.25,1110.45,1109.15,1110.35,18006.0
2024-02-26 11:35:00,1110.35,1111.05,1110.2,1110.95,23572.0
2024-02-26 11:40:00,1110.8,1111.0,1110.0,1110.15,20289.0
2024-02-26 11:45:00,1110.0,1110.15,1110.0,1110.0,19231.0
2024-02-26 11:50:00,1110.05,1110.15,1108.35,1110.0,64788.0
2024-02-26 11:55:00,1109.95,1109.95,1108.2,1108.6,57459.0
2024-02-26 12:00:00,1108.6,1108.95,1108.05,1108.5,45335.0
2024-02-26 12:05:00,1108.5,1109.45,1107.2,1107.25,22619.0
2024-02-26 12:10:00,1107.6,1107.6,1105.6,1106.05,57870.0
2024-02-26 12:15:00,1106.0,1106.55,1105.0,1105.45,51082.0
2024-02-26 12:20:00,1105.45,1105.65,1104.35,1105.05,42863.0
2024-02-26 12:25:00,1104.95,1106.75,1104.95,1106.4,32794.0
2024-02-26 12:30:00,1106.2,1106.55,1105.1,1105.25,22866.0
2024-02-26 12:35:00,1105.25,1107.6,1105.1,1107.6,25273.0
2024-02-26 12:40:00,1107.55,1108.35,1106.65,1107.0,17873.0
2024-02-26 12:45:00,1106.85,1107.05,1105.95,1106.1,68943.0
2024-02-26 12:50:00,1106.0,1106.1,1105.6,1105.8,20022.0
2024-02-26 12:55:00,1105.8,1106.9,1105.8,1106.6,15798.0
2024-02-26 13:00:00,1106.55,1107.0,1106.0,1106.15,26150.0
2024-02-26 13:05:00,1106.05,1106.6,1106.05,1106.35,15365.0
2024-02-26 13:10:00,1106.3,1107.55,1106.3,1107.5,15351.0
2024-02-26 13:15:00,1107.7,1108.7,1107.5,1108.25,22425.0
2024-02-26 13:20:00,1108.2,1108.8,1107.75,1107.9,27388.0
2024-02-26 13:25:00,1107.9,1107.95,1107.6,1107.85,11394.0
2024-02-26 13:30:00,1107.9,1107.9,1105.4,1105.9,26339.0
2024-02-26 13:35:00,1105.85,1106.6,1105.65,1106.1,25850.0
2024-02-26 13:40:00,1106.05,1106.1,1105.1,1105.1,16188.0
2024-02-26 13:45:00,1105.3,1106.7,1104.75,1106.7,34572.0
2024-02-26 13:50:00,1106.1,1108.1,1106.1,1108.1,25857.0
2024-02-26 13:55:00,1107.95,1108.9,1107.4,1108.85,17785.0
2024-02-26 14:00:00,1108.9,1111.5,1108.65,1110.65,61249.0
2024-02-26 14:05:00,1110.6,1110.65,1109.25,1109.45,21789.0
2024-02-26 14:10:00,1109.3,1109.55,1107.8,1108.75,36597.0
2024-02-26 14:15:00,1108.7,1109.0,1107.1,1107.75,19502.0
2024-02-26 14:20:00,1107.7,1109.4,1107.05,1108.8,23970.0
2024-02-26 14:25:00,1108.8,1109.95,1108.75,1109.9,25205.0
2024-02-26 14:30:00,1109.35,1110.45,1109.35,1109.95,23182.0
2024-02-26 14:35:00,1109.85,1110.7,1109.4,1109.95,28225.0
2024-02-26 14:40:00,1109.95,1110.5,1108.6,1109.9,56059.0
2024-02-26 14:45:00,1109.9,1110.45,1109.1,1109.35,36795.0
2024-02-26 14:50:00,1109.15,1109.35,1106.65,1106.65,59244.0
2024-02-26 14:55:00,1106.75,1108.6,1106.6,1108.0,67442.0
2024-02-26 15:00:00,1107.95,1109.4,1107.9,1109.3,123576.0
2024-02-26 15:05:00,1109.35,1109.7,1108.9,1109.7,87765.0
2024-02-26 15:10:00,1109.7,1110.65,1109.7,1110.65,95515.0
2024-02-26 15:15:00,1110.6,1110.6,1109.8,1110.05,93298.0
2024-02-26 15:20:00,1110.05,1111.75,1110.0,1111.0,104238.0
2024-02-26 15:25:00,1111.0,1113.05,1110.75,1110.75,96859.0
2024-02-27 09:15:00,1110.75,1113.1,1101.3,1102.05,258067.0
2024-02-27 09:20:00,1102.3,1104.7,1102.0,1103.95,181747.0
2024-02-27 09:25:00,1103.95,1105.8,1103.65,1104.9,55595.0
2024-02-27 09:30:00,1105.5,1108.5,1104.8,1108.5,158328.0
2024-02-27 09:35:00,1108.85,1110.25,1107.75,1110.1,60881.0
2024-02-27 09:40:00,1110.15,1110.6,1109.6,1109.65,50129.0
2024-02-27 09:45:00,1109.65,1111.95,1109.65,1111.45,62867.0
2024-02-27 09:50:00,1111.5,1111.55,1110.3,1110.95,54901.0
2024-02-27 09:55:00,1110.95,1114.0,1110.5,1112.5,90396.0
2024-02-27 10:00:00,1112.8,1113.8,1111.65,1112.6,45412.0
2024-02-27 10:05:00,1112.9,1113.8,1111.35,1113.6,58255.0
2024-02-27 10:10:00,1113.6,1113.8,1112.2,1112.8,50768.0
2024-02-27 10:15:00,1112.85,1117.6,1112.8,1115.85,76780.0
2024-02-27 10:20:00,1116.0,1116.3,1114.55,1115.6,47782.0
2024-02-27 10:25:00,1115.6,1119.9,1115.55,1119.0,149848.0
2024-02-27 10:30:00,1118.6,1121.0,1117.35,1119.2,116114.0
2024-02-27 10:35:00,1119.05,1121.0,1118.4,1121.0,77280.0
2024-02-27 10:40:00,1121.45,1122.0,1119.05,1119.35,105629.0
2024-02-27 10:45:00,1119.35,1121.0,1119.25,1120.6,1041299.0
2024-02-27 10:50:00,1120.55,1120.6,1117.2,1118.3,77680.0
2024-02-27 10:55:00,1119.35,1120.2,1118.65,1119.4,80284.0
2024-02-27 11:00:00,1119.4,1120.9,1119.05,1120.15,72261.0
2024-02-27 11:05:00,1120.25,1120.65,1119.7,1120.1,71624.0
2024-02-27 11:10:00,1120.55,1120.55,1120.0,1120.05,51296.0
2024-02-27 11:15:00,1120.1,1120.1,1118.05,1118.35,394539.0
2024-02-27 11:20:00,1118.45,1118.5,1115.65,1116.15,67420.0
2024-02-27 11:25:00,1116.1,1118.2,1116.1,1118.1,37843.0
2024-02-27 11:30:00,1118.2,1119.65,1118.15,1119.55,75933.0
2024-02-27 11:35:00,1119.55,1119.65,1118.75,1118.75,36549.0
2024-02-27 11:40:00,1118.75,1120.0,1118.05,1119.95,45146.0
2024-02-27 11:45:00,1120.0,1120.3,1119.0,1119.7,52142.0
2024-02-27 11:50:00,1119.5,1119.7,1116.6,1116.6,32402.0
2024-02-27 11:55:00,1116.6,1117.8,1115.5,1117.6,42292.0
2024-02-27 12:00:00,1117.55,1117.7,1115.15,1116.05,48738.0
2024-02-27 12:05:00,1116.05,1116.2,1114.15,1115.05,42025.0
2024-02-27 12:10:00,1115.0,1115.95,1114.7,1115.55,34253.0
2024-02-27 12:15:00,1115.6,1116.35,1114.7,1114.8,31859.0
2024-02-27 12:20:00,1114.55,1115.1,1112.5,1115.0,64439.0
2024-02-27 12:25:00,1115.05,1117.75,1114.25,1117.3,66048.0
2024-02-27 12:30:00,1117.5,1118.0,1116.4,1116.5,37494.0
2024-02-27 12:35:00,1116.75,1118.05,1116.65,1117.8,29267.0
2024-02-27 12:40:00,1117.85,1117.85,1115.3,1116.45,35973.0
2024-02-27 12:45:00,1116.5,1117.25,1116.0,1117.15,27415.0
2024-02-27 12:50:00,1117.2,1119.95,1116.75,1119.85,44115.0
2024-02-27 12:55:00,1119.85,1120.75,1119.15,1120.55,56144.0
2024-02-27 13:00:00,1120.75,1121.8,1119.55,1120.8,58470.0
2024-02-27 13:05:00,1120.8,1123.95,1120.8,1123.45,87729.0
2024-02-27 13:10:00,1123.6,1125.0,1123.5,1124.45,67029.0
2024-02-27 13:15:00,1124.45,1124.95,1122.4,1124.3,70640.0
2024-02-27 13:20:00,1124.15,1126.0,1124.0,1126.0,63401.0
2024-02-27 13:25:00,1125.65,1126.65,1124.6,1124.65,76367.0
2024-02-27 13:30:00,1124.65,1126.0,1123.8,1124.05,71603.0
2024-02-27 13:35:00,1124.0,1124.6,1121.65,1122.2,48346.0
2024-02-27 13:40:00,1122.25,1122.65,1120.95,1121.0,49143.0
2024-02-27 13:45:00,1121.3,1122.95,1120.05,1121.9,48516.0
2024-02-27 13:50:00,1121.9,1124.6,1121.75,1123.55,55417.0
2024-02-27 13:55:00,1123.65,1123.65,1120.6,1120.6,78691.0
2024-02-27 14:00:00,1120.55,1121.05,1119.15,1120.3,79597.0
2024-02-27 14:05:00,1120.5,1121.9,1119.4,1119.85,69461.0
2024-02-27 14:10:00,1119.8,1121.55,1119.45,1121.0,65439.0
2024-02-27 14:15:00,1121.05,1122.5,1119.2,1119.55,77130.0
2024-02-27 14:20:00,1119.45,1122.5,1119.45,1121.45,71040.0
2024-02-27 14:25:00,1121.6,1121.95,1121.0,1121.9,55260.0
2024-02-27 14:30:00,1122.3,1124.0,1121.05,1122.15,92923.0
2024-02-27 14:35:00,1122.2,1123.25,1121.0,1121.15,70872.0
2024-02-27 14:40:00,1121.25,1122.0,1121.0,1121.2,77473.0
2024-02-27 14:45:00,1121.4,1124.2,1121.15,1123.55,86651.0
2024-02-27 14:50:00,1123.35,1124.9,1122.5,1123.15,67423.0
2024-02-27 14:55:00,1123.15,1124.55,1122.7,1124.05,70965.0
2024-02-27 15:00:00,1124.05,1128.75,1124.05,1128.65,201771.0
2024-02-27 15:05:00,1128.65,1128.65,1126.15,1127.65,172979.0
2024-02-27 15:10:00,1127.8,1131.0,1127.4,1129.7,223243.0
2024-02-27 15:15:00,1129.75,1130.0,1128.95,1128.95,171841.0
2024-02-27 15:20:00,1128.95,1128.95,1126.55,1127.5,167290.0
2024-02-27 15:25:00,1127.5,1127.55,1122.2,1123.3,151017.0
2024-02-28 09:15:00,1139.9,1151.45,1132.0,1149.9,583485.0
2024-02-28 09:20:00,1149.65,1152.65,1144.8,1145.1,271254.0
2024-02-28 09:25:00,1144.6,1146.75,1142.3,1145.9,121165.0
2024-02-28 09:30:00,1146.0,1146.0,1137.75,1139.85,150154.0
2024-02-28 09:35:00,1139.5,1139.95,1135.6,1136.25,131586.0
2024-02-28 09:40:00,1136.7,1138.0,1134.3,1136.35,83502.0
2024-02-28 09:45:00,1136.45,1136.7,1133.4,1134.0,61784.0
2024-02-28 09:50:00,1134.0,1135.9,1132.5,1134.55,48382.0
2024-02-28 09:55:00,1134.55,1135.45,1134.0,1134.0,25913.0
2024-02-28 10:00:00,1133.8,1135.8,1132.65,1134.75,33320.0
2024-02-28 10:05:00,1134.75,1136.65,1134.6,1136.1,54443.0
2024-02-28 10:10:00,1136.15,1136.5,1132.75,1134.4,41841.0
2024-02-28 10:15:00,1134.4,1134.95,1130.6,1131.95,62124.0
2024-02-28 10:20:00,1131.5,1132.8,1128.65,1132.65,87109.0
2024-02-28 10:25:00,1132.8,1135.15,1132.8,1134.0,70153.0
2024-02-28 10:30:00,1133.8,1135.1,1131.65,1132.65,35523.0
2024-02-28 10:35:00,1132.8,1132.95,1130.85,1132.1,31663.0
2024-02-28 10:40:00,1132.1,1136.0,1131.85,1133.8,41576.0
2024-02-28 10:45:00,1134.35,1134.45,1131.6,1132.0,25913.0
2024-02-28 10:50:00,1132.0,1132.3,1129.35,1129.4,51936.0
2024-02-28 10:55:00,1129.4,1130.0,1127.5,1128.15,72233.0
2024-02-28 11:00:00,1128.05,1130.7,1125.6,1130.4,109891.0
2024-02-28 11:05:00,1129.95,1130.7,1126.6,1127.65,34543.0
2024-02-28 11:10:00,1127.1,1130.1,1127.0,1129.0,22335.0
2024-02-28 11:15:00,1129.35,1130.3,1126.15,1126.6,75343.0
2024-02-28 11:20:00,1126.4,1127.2,1123.6,1123.9,73134.0
2024-02-28 11:25:00,1123.9,1127.8,1123.5,1127.75,44406.0
2024-02-28 11:30:00,1127.6,1129.0,1126.75,1126.9,66281.0
2024-02-28 11:35:00,1126.95,1128.35,1126.55,1128.0,52562.0
2024-02-28 11:40:00,1127.95,1129.5,1127.65,1128.25,35305.0
2024-02-28 11:45:00,1128.25,1129.5,1127.85,1129.5,56823.0
2024-02-28 11:50:00,1129.35,1129.5,1128.0,1128.6,34569.0
2024-02-28 11:55:00,1128.5,1128.6,1127.5,1128.0,127752.0
2024-02-28 12:00:00,1128.0,1128.55,1127.65,1128.15,32692.0
