time,into,inth,intl,intc,v
2024-02-26 09:15:00,275.3,275.85,274.0,275.35,267188.0
2024-02-26 09:20:00,275.05,275.25,273.9,274.3,136962.0
2024-02-26 09:25:00,274.45,274.65,273.8,274.5,97544.0
2024-02-26 09:30:00,274.5,275.95,274.1,275.5,140714.0
2024-02-26 09:35:00,275.4,275.6,274.95,275.5,85552.0
2024-02-26 09:40:00,275.5,275.8,275.4,275.45,64680.0
2024-02-26 09:45:00,275.45,275.75,275.0,275.0,82926.0
2024-02-26 09:50:00,274.8,274.95,273.1,273.5,134304.0
2024-02-26 09:55:00,273.45,273.8,272.65,273.35,112370.0
2024-02-26 10:00:00,273.2,273.4,272.55,273.3,46955.0
2024-02-26 10:05:00,273.25,274.0,273.25,273.65,20983.0
2024-02-26 10:10:00,273.65,273.8,272.75,273.35,33654.0
2024-02-26 10:15:00,273.2,273.55,273.0,273.25,33214.0
2024-02-26 10:20:00,273.2,273.6,273.1,273.6,16110.0
2024-02-26 10:25:00,273.6,274.3,273.25,273.25,42670.0
2024-02-26 10:30:00,273.0,273.75,273.0,273.65,19287.0
2024-02-26 10:35:00,273.7,273.95,273.2,273.3,22653.0
2024-02-26 10:40:00,273.2,273.6,272.75,272.75,36897.0
2024-02-26 10:45:00,272.75,273.0,271.65,272.15,59605.0
2024-02-26 10:50:00,271.5,271.85,269.35,270.05,214237.0
2024-02-26 10:55:00,270.25,270.5,269.75,270.25,100913.0
2024-02-26 11:00:00,270.4,270.9,270.0,270.8,41379.0
2024-02-26 11:05:00,270.75,271.75,270.75,270.85,63641.0
2024-02-26 11:10:00,270.85,271.3,270.7,271.15,35375.0
2024-02-26 11:15:00,271.0,271.6,270.6,271.35,31463.0
2024-02-26 11:20:00,271.3,271.4,270.6,271.1,50044.0
2024-02-26 11:25:00,271.1,271.4,270.9,271.25,34338.0
2024-02-26 11:30:00,271.35,271.4,271.0,271.15,12165.0
2024-02-26 11:35:00,271.15,271.45,271.05,271.2,13053.0
2024-02-26 11:40:00,271.2,271.25,270.4,271.05,35664.0
2024-02-26 11:45:00,271.15,271.5,270.6,270.7,44365.0
2024-02-26 11:50:00,270.75,271.05,270.15,270.15,30172.0
2024-02-26 11:55:00,269.85,270.5,269.6,269.8,62027.0
2024-02-26 12:00:00,269.8,270.35,269.8,270.35,33980.0
2024-02-26 12:05:00,270.3,270.3,269.55,269.7,28483.0
2024-02-26 12:10:00,269.75,269.75,269.25,269.35,30120.0
2024-02-26 12:15:00,269.35,269.85,269.25,269.8,52065.0
2024-02-26 12:20:00,269.5,269.95,269.1,269.3,36620.0
2024-02-26 12:25:00,269.25,269.95,269.15,269.85,12392.0
2024-02-26 12:30:00,269.85,270.2,269.65,269.75,18617.0
2024-02-26 12:35:00,269.7,269.9,269.1,269.6,27599.0
2024-02-26 12:40:00,269.7,269.9,269.45,269.55,15902.0
2024-02-26 12:45:00,269.6,269.9,269.6,269.85,10675.0
2024-02-26 12:50:00,269.85,270.5,269.7,270.15,36070.0
2024-02-26 12:55:00,270.2,270.45,270.05,270.15,20530.0
2024-02-26 13:00:00,270.25,270.6,269.7,269.7,33106.0
2024-02-26 13:05:00,269.9,270.3,269.7,270.25,13893.0
2024-02-26 13:10:00,270.4,270.95,270.3,270.85,42832.0
2024-02-26 13:15:00,270.9,271.2,270.6,270.6,47489.0
2024-02-26 13:20:00,270.7,271.1,270.7,270.7,20875.0
2024-02-26 13:25:00,270.7,270.85,270.5,270.55,11471.0
2024-02-26 13:30:00,270.5,270.65,270.4,270.6,9388.0
2024-02-26 13:35:00,270.6,270.75,270.35,270.4,16351.0
2024-02-26 13:40:00,270.65,270.85,270.45,270.75,18520.0
2024-02-26 13:45:00,270.75,271.15,270.7,271.0,22815.0
2024-02-26 13:50:00,271.05,271.05,270.75,270.9,18113.0
2024-02-26 13:55:00,270.95,271.1,270.85,271.05,13443.0
2024-02-26 14:00:00,271.05,271.15,270.75,271.1,22351.0
2024-02-26 14:05:00,271.05,271.45,271.0,271.3,22524.0
2024-02-26 14:10:00,271.35,271.35,270.9,270.95,34717.0
2024-02-26 14:15:00,270.95,271.4,270.95,271.15,24799.0
2024-02-26 14:20:00,271.15,271.85,271.1,271.3,36644.0
2024-02-26 14:25:00,271.3,271.55,271.1,271.4,28912.0
2024-02-26 14:30:00,271.25,271.7,271.15,271.65,21814.0
2024-02-26 14:35:00,271.5,272.75,271.5,272.6,101126.0
2024-02-26 14:40:00,272.55,272.9,272.55,272.65,68190.0
2024-02-26 14:45:00,272.65,272.8,272.25,272.6,33704.0
2024-02-26 14:50:00,272.65,272.9,272.4,272.75,59211.0
2024-02-26 14:55:00,272.75,273.0,272.7,272.95,61987.0
2024-02-26 15:00:00,272.95,273.6,272.9,273.6,127059.0
2024-02-26 15:05:00,273.65,273.65,272.8,272.9,103617.0
2024-02-26 15:10:00,272.9,272.95,272.45,272.9,181746.0
2024-02-26 15:15:00,272.95,273.65,272.3,273.65,228797.0
2024-02-26 15:20:00,273.35,273.65,272.7,272.7,176969.0
2024-02-26 15:25:00,272.7,273.2,272.7,273.2,129231.0
2024-02-27 09:15:00,273.3,278.8,273.3,278.05,766425.0
2024-02-27 09:20:00,278.4,278.4,274.5,275.5,351946.0
2024-02-27 09:25:00,275.5,278.25,275.5,277.75,422496.0
2024-02-27 09:30:00,277.75,281.4,277.65,280.55,849526.0
2024-02-27 09:35:00,280.75,282.0,279.6,280.0,701504.0
2024-02-27 09:40:00,280.2,280.3,278.0,278.4,405783.0
2024-02-27 09:45:00,278.2,280.2,278.1,279.1,366025.0
2024-02-27 09:50:00,279.0,279.65,278.2,279.2,175866.0
2024-02-27 09:55:00,279.15,279.75,278.1,278.5,189497.0
2024-02-27 10:00:00,278.35,278.85,277.15,277.4,221364.0
2024-02-27 10:05:00,277.25,277.45,275.0,275.35,355653.0
2024-02-27 10:10:00,275.2,276.9,275.2,276.55,171296.0
2024-02-27 10:15:00,276.6,277.1,275.65,277.0,168528.0
2024-02-27 10:20:00,277.0,277.15,276.55,276.65,104134.0
2024-02-27 10:25:00,276.85,277.35,276.6,276.9,103723.0
2024-02-27 10:30:00,276.9,277.55,276.8,277.55,94333.0
2024-02-27 10:35:00,277.6,278.4,277.3,277.9,89226.0
2024-02-27 10:40:00,277.9,278.2,277.45,277.45,64346.0
2024-02-27 10:45:00,277.5,278.6,277.45,278.5,95941.0
2024-02-27 10:50:00,278.7,279.35,278.5,279.35,118202.0
2024-02-27 10:55:00,279.35,279.7,278.6,278.6,164896.0
2024-02-27 11:00:00,278.7,279.2,278.55,278.8,78078.0
2024-02-27 11:05:00,278.8,278.9,278.05,278.3,56099.0
2024-02-27 11:10:00,278.35,278.85,278.3,278.65,99525.0
2024-02-27 11:15:00,278.4,279.6,278.4,279.1,73020.0
2024-02-27 11:20:00,279.1,280.1,279.1,279.75,153899.0
2024-02-27 11:25:00,279.65,280.0,278.75,279.2,125621.0
2024-02-27 11:30:00,279.2,279.4,278.75,278.75,51283.0
2024-02-27 11:35:00,278.85,278.9,278.45,278.65,25143.0
2024-02-27 11:40:00,278.6,278.65,278.0,278.15,34931.0
2024-02-27 11:45:00,278.2,279.0,278.0,278.05,125112.0
2024-02-27 11:50:00,278.2,278.75,278.2,278.6,33781.0
2024-02-27 11:55:00,278.7,278.7,278.25,278.55,17762.0
2024-02-27 12:00:00,278.4,278.55,277.35,277.8,47635.0
2024-02-27 12:05:00,277.8,277.85,277.5,277.5,35999.0
2024-02-27 12:10:00,277.5,277.95,277.45,277.95,29137.0
2024-02-27 12:15:00,277.95,278.65,277.8,278.45,24157.0
2024-02-27 12:20:00,278.4,278.8,278.35,278.8,31510.0
2024-02-27 12:25:00,278.65,278.95,278.6,278.9,23927.0
2024-02-27 12:30:00,278.9,278.9,278.0,278.2,41368.0
2024-02-27 12:35:00,278.2,278.45,278.0,278.35,27595.0
2024-02-27 12:40:00,278.35,278.45,278.2,278.45,11230.0
2024-02-27 12:45:00,278.45,278.45,277.75,278.15,13757.0
2024-02-27 12:50:00,278.0,278.2,277.55,277.55,18990.0
2024-02-27 12:55:00,277.75,278.1,277.6,277.65,36660.0
2024-02-27 13:00:00,277.6,278.25,277.55,278.15,30698.0
2024-02-27 13:05:00,278.0,278.2,277.55,277.8,15494.0
2024-02-27 13:10:00,277.8,277.9,276.75,276.95,45741.0
2024-02-27 13:15:00,277.05,277.6,276.85,277.55,11042.0
2024-02-27 13:20:00,277.6,277.7,276.8,277.1,38154.0
2024-02-27 13:25:00,276.9,277.15,276.55,276.85,33920.0
2024-02-27 13:30:00,276.7,277.15,276.6,277.0,20920.0
2024-02-27 13:35:00,277.15,277.45,277.0,277.45,20451.0
2024-02-27 13:40:00,277.45,277.45,276.1,276.15,61088.0
2024-02-27 13:45:00,276.1,276.65,276.05,276.4,51098.0
2024-02-27 13:50:00,276.4,277.1,276.4,276.6,50066.0
2024-02-27 13:55:00,276.75,276.8,276.25,276.55,25433.0
2024-02-27 14:00:00,276.55,276.55,276.0,276.0,73123.0
2024-02-27 14:05:00,276.1,276.95,275.45,276.45,94020.0
2024-02-27 14:10:00,276.45,276.95,276.4,276.85,84857.0
2024-02-27 14:15:00,276.85,277.0,276.65,276.8,13616.0
2024-02-27 14:20:00,276.9,276.9,276.5,276.6,40349.0
2024-02-27 14:25:00,276.7,276.85,276.3,276.3,36273.0
2024-02-27 14:30:00,276.5,276.7,276.3,276.5,51168.0
2024-02-27 14:35:00,276.55,277.0,276.2,276.3,51749.0
2024-02-27 14:40:00,276.3,276.4,276.05,276.1,13755.0
2024-02-27 14:45:00,276.2,276.75,276.2,276.55,28117.0
2024-02-27 14:50:00,276.55,276.75,276.25,276.75,35305.0
2024-02-27 14:55:00,276.85,277.0,276.15,276.3,52705.0
2024-02-27 15:00:00,276.35,276.5,276.25,276.45,38622.0
2024-02-27 15:05:00,276.4,276.4,275.6,275.6,109418.0
2024-02-27 15:10:00,275.7,276.0,275.4,275.7,85677.0
2024-02-27 15:15:00,275.7,276.0,275.4,275.6,149384.0
2024-02-27 15:20:00,275.55,275.65,275.2,275.55,114332.0
2024-02-27 15:25:00,275.5,275.95,275.35,275.85,118701.0
2024-02-28 09:15:00,275.7,277.2,275.0,276.35,260328.0
2024-02-28 09:20:00,276.45,276.45,275.75,276.4,88269.0
2024-02-28 09:25:00,276.15,277.1,276.15,276.75,74597.0
2024-02-28 09:30:00,276.8,276.9,276.0,276.9,101227.0
2024-02-28 09:35:00,276.9,279.1,276.7,279.1,217055.0
2024-02-28 09:40:00,279.0,281.4,278.85,280.85,436672.0
2024-02-28 09:45:00,280.9,280.95,279.3,280.85,285009.0
2024-02-28 09:50:00,281.15,281.15,279.35,279.4,162493.0
2024-02-28 09:55:00,279.45,280.1,279.0,279.4,118975.0
2024-02-28 10:00:00,279.4,279.7,278.9,279.2,105401.0
2024-02-28 10:05:00,279.2,280.7,279.2,280.05,112760.0
2024-02-28 10:10:00,280.2,281.0,279.7,281.0,100664.0
2024-02-28 10:15:00,281.15,281.5,280.4,280.4,109030.0
2024-02-28 10:20:00,280.4,280.9,280.2,280.2,59442.0
2024-02-28 10:25:00,280.4,281.2,280.0,281.0,80371.0
2024-02-28 10:30:00,280.9,280.95,279.6,279.7,49691.0
2024-02-28 10:35:00,279.75,279.8,278.75,278.9,66245.0
2024-02-28 10:40:00,278.75,279.3,278.6,278.95,40734.0
2024-02-28 10:45:00,278.8,278.95,278.2,278.2,48151.0
2024-02-28 10:50:00,278.2,278.25,277.15,277.2,143345.0
2024-02-28 10:55:00,277.25,277.7,276.85,276.9,159903.0
2024-02-28 11:00:00,276.8,276.95,275.3,275.5,185273.0
2024-02-28 11:05:00,275.5,276.5,275.4,276.2,107088.0
2024-02-28 11:10:00,276.0,277.35,276.0,276.9,60538.0
2024-02-28 11:15:00,276.95,278.2,276.75,277.9,175565.0
2024-02-28 11:20:00,277.85,278.1,277.5,277.7,66575.0
2024-02-28 11:25:00,277.7,277.7,276.45,276.45,49890.0
2024-02-28 11:30:00,276.45,276.65,275.65,276.15,60426.0
2024-02-28 11:35:00,275.95,276.3,275.45,276.3,38537.0
2024-02-28 11:40:00,276.3,276.3,275.5,275.55,57315.0
2024-02-28 11:45:00,275.5,276.25,275.1,276.25,88255.0
2024-02-28 11:50:00,276.1,276.55,275.2,275.4,64617.0
2024-02-28 11:55:00,275.45,275.75,275.4,275.65,24178.0
2024-02-28 12:00:00,275.5,275.75,275.35,275.5,27419.0
2024-02-28 12:05:00,275.35,275.55,275.05,275.2,181347.0
2024-02-28 12:10:00,275.15,275.5,275.05,275.35,50530.0
2024-02-28 12:15:00,275.5,275.6,275.05,275.05,61299.0
2024-02-28 12:20:00,275.0,275.8,275.0,275.8,51682.0
2024-02-28 12:25:00,275.7,276.1,275.65,275.9,33700.0
2024-02-28 12:30:00,276.0,276.1,275.0,275.05,87664.0
2024-02-28 12:35:00,275.0,275.65,274.55,275.65,272705.0
2024-02-28 12:40:00,275.45,275.6,274.95,274.95,53350.0
2024-02-28 12:45:00,274.95,275.2,274.6,274.85,23333.0
2024-02-28 12:50:00,274.85,275.05,273.35,273.35,69257.0
2024-02-28 12:55:00,273.1,273.5,272.0,272.0,91402.0
2024-02-28 13:00:00,272.15,272.8,272.0,272.2,73048.0
2024-02-28 13:05:00,272.1,272.45,271.5,272.25,69355.0
2024-02-28 13:10:00,272.25,272.4,271.0,271.3,61150.0
2024-02-28 13:15:00,271.2,272.2,270.85,271.8,89321.0
2024-02-28 13:20:00,271.75,272.6,271.7,272.6,23906.0
2024-02-28 13:25:00,272.55,272.6,272.15,272.4,26098.0
2024-02-28 13:30:00,272.35,272.9,272.1,272.9,38592.0
2024-02-28 13:35:00,273.2,273.35,272.9,273.0,18118.0
2024-02-28 13:40:00,273.2,273.4,273.0,273.15,30160.0
2024-02-28 13:45:00,273.0,273.0,272.4,272.5,14758.0
2024-02-28 13:50:00,272.5,273.0,272.45,273.0,20345.0
2024-02-28 13:55:00,273.0,273.4,272.95,273.4,36102.0
2024-02-28 14:00:00,273.4,274.45,272.6,274.15,92644.0
2024-02-28 14:05:00,274.25,275.0,273.75,274.6,86388.0
