time,into,inth,intl,intc,v
2024-02-26 09:15:00,4948.6,4957.0,4912.95,4925.25,4531.0
2024-02-26 09:20:00,4927.3,4929.2,4921.0,4926.9,936.0
2024-02-26 09:25:00,4926.95,4928.65,4921.75,4925.05,953.0
2024-02-26 09:30:00,4923.35,4933.85,4923.35,4926.15,1301.0
2024-02-26 09:35:00,4926.15,4929.3,4920.15,4927.65,865.0
2024-02-26 09:40:00,4925.6,4925.85,4920.5,4922.7,399.0
2024-02-26 09:45:00,4920.75,4925.2,4920.75,4923.0,586.0
2024-02-26 09:50:00,4923.0,4923.65,4912.0,4914.1,1149.0
2024-02-26 09:55:00,4914.1,4914.1,4905.0,4905.05,1771.0
2024-02-26 10:00:00,4907.05,4910.2,4905.1,4908.2,894.0
2024-02-26 10:05:00,4908.2,4911.9,4906.15,4910.5,318.0
2024-02-26 10:10:00,4910.5,4917.9,4905.3,4905.75,2051.0
2024-02-26 10:15:00,4905.45,4911.8,4905.4,4907.35,425.0
2024-02-26 10:20:00,4909.05,4915.0,4907.0,4910.7,782.0
2024-02-26 10:25:00,4910.25,4914.85,4910.0,4910.5,388.0
2024-02-26 10:30:00,4910.5,4929.65,4907.0,4925.7,2499.0
2024-02-26 10:35:00,4925.95,4925.95,4917.25,4918.0,380.0
2024-02-26 10:40:00,4917.7,4917.8,4910.2,4910.25,272.0
2024-02-26 10:45:00,4909.2,4916.0,4909.2,4913.2,298.0
2024-02-26 10:50:00,4916.2,4916.2,4913.05,4914.35,602.0
2024-02-26 10:55:00,4913.1,4915.0,4913.1,4913.15,162.0
2024-02-26 11:00:00,4913.0,4916.7,4911.0,4914.65,524.0
2024-02-26 11:05:00,4916.0,4921.15,4913.15,4917.35,1162.0
2024-02-26 11:10:00,4917.1,4921.85,4914.6,4918.0,405.0
2024-02-26 11:15:00,4918.2,4918.6,4910.1,4910.7,506.0
2024-02-26 11:20:00,4910.7,4911.75,4900.3,4900.3,1545.0
2024-02-26 11:25:00,4901.6,4904.5,4900.0,4904.5,1320.0
