time,into,inth,intl,intc,v
2024-02-26 09:15:00,802.55,805.1,797.5,798.0,9782.0
2024-02-26 09:20:00,798.0,798.4,795.55,797.3,16264.0
2024-02-26 09:25:00,797.3,798.0,796.1,797.35,5256.0
2024-02-26 09:30:00,796.55,799.2,795.5,798.15,4298.0
2024-02-26 09:35:00,798.6,803.25,798.25,803.25,12307.0
2024-02-26 09:40:00,803.5,804.65,802.35,804.65,6892.0
2024-02-26 09:45:00,804.35,806.15,804.05,805.95,24495.0
2024-02-26 09:50:00,805.25,805.75,802.35,803.75,19810.0
2024-02-26 09:55:00,803.85,804.2,803.5,803.5,3665.0
2024-02-26 10:00:00,803.5,803.95,802.55,803.9,14307.0
2024-02-26 10:05:00,804.0,806.8,803.85,806.55,13076.0
2024-02-26 10:10:00,805.95,808.0,805.95,807.65,4503.0
2024-02-26 10:15:00,807.5,808.0,807.0,807.9,3384.0
2024-02-26 10:20:00,807.9,807.95,806.75,807.0,6987.0
2024-02-26 10:25:00,807.05,807.8,806.75,807.8,3453.0
2024-02-26 10:30:00,807.85,807.85,806.9,807.7,1668.0
2024-02-26 10:35:00,807.3,809.0,807.05,808.1,5479.0
2024-02-26 10:40:00,808.0,808.95,806.0,806.5,10363.0
2024-02-26 10:45:00,806.25,806.45,805.2,806.45,2229.0
2024-02-26 10:50:00,805.6,806.15,805.3,805.3,843.0
2024-02-26 10:55:00,805.6,805.6,804.8,805.25,1634.0
2024-02-26 11:00:00,805.25,805.85,804.7,805.35,375.0
2024-02-26 11:05:00,805.35,806.9,805.2,806.9,2221.0
2024-02-26 11:10:00,806.45,806.45,805.85,805.85,392.0
2024-02-26 11:15:00,806.0,806.0,805.05,805.05,761.0
2024-02-26 11:20:00,805.1,805.1,804.2,804.85,1494.0
2024-02-26 11:25:00,804.9,805.0,803.8,804.4,2477.0
2024-02-26 11:30:00,804.9,805.1,804.05,804.1,1851.0
2024-02-26 11:35:00,804.1,804.2,801.0,801.15,8953.0
2024-02-26 11:40:00,801.05,802.4,800.5,802.4,1818.0
2024-02-26 11:45:00,802.7,802.9,802.0,802.05,856.0
2024-02-26 11:50:00,802.0,802.55,801.1,801.1,3134.0
2024-02-26 11:55:00,800.85,802.0,800.7,801.55,4362.0
2024-02-26 12:00:00,801.5,801.5,800.85,801.5,896.0
2024-02-26 12:05:00,800.95,801.45,800.5,800.5,1310.0
2024-02-26 12:10:00,800.75,800.9,799.05,799.05,2848.0
2024-02-26 12:15:00,799.4,799.45,799.05,799.05,178.0
2024-02-26 12:20:00,799.3,799.3,798.05,798.05,1635.0
2024-02-26 12:25:00,798.05,799.35,798.05,799.2,1328.0
2024-02-26 12:30:00,799.2,799.8,799.15,799.2,272.0
2024-02-26 12:35:00,799.0,799.35,798.9,799.35,220.0
2024-02-26 12:40:00,799.55,800.3,799.3,800.3,5987.0
2024-02-26 12:45:00,799.9,799.9,799.2,799.2,1033.0
2024-02-26 12:50:00,799.05,799.65,798.7,798.9,649.0
2024-02-26 12:55:00,798.85,799.6,798.85,799.6,255.0
2024-02-26 13:00:00,799.65,799.85,799.15,799.2,825.0
2024-02-26 13:05:00,799.7,800.45,799.35,799.95,238.0
2024-02-26 13:10:00,800.6,801.95,800.6,801.5,4012.0
2024-02-26 13:15:00,801.5,801.5,800.1,800.65,1387.0
2024-02-26 13:20:00,800.9,800.9,799.55,800.2,1325.0
2024-02-26 13:25:00,800.25,800.75,799.55,800.65,1796.0
2024-02-26 13:30:00,800.8,800.8,799.6,800.25,1172.0
2024-02-26 13:35:00,799.65,800.05,799.3,799.7,1622.0
2024-02-26 13:40:00,799.45,799.65,799.0,799.0,703.0
2024-02-26 13:45:00,799.35,800.55,799.35,800.55,1695.0
2024-02-26 13:50:00,800.25,800.95,799.95,800.55,840.0
2024-02-26 13:55:00,800.6,801.0,800.05,800.05,1166.0
2024-02-26 14:00:00,800.05,800.85,799.6,800.05,925.0
2024-02-26 14:05:00,800.65,801.5,800.3,800.9,1561.0
2024-02-26 14:10:00,800.35,801.1,800.35,800.5,1073.0
2024-02-26 14:15:00,800.45,801.0,800.35,801.0,134.0
2024-02-26 14:20:00,800.8,803.4,800.8,802.85,4927.0
2024-02-26 14:25:00,803.15,803.15,802.3,802.85,429.0
2024-02-26 14:30:00,802.35,802.35,801.4,802.05,762.0
2024-02-26 14:35:00,801.65,801.75,800.45,800.45,1701.0
2024-02-26 14:40:00,800.3,800.95,799.55,800.3,4766.0
2024-02-26 14:45:00,800.15,801.8,799.7,800.05,2842.0
2024-02-26 14:50:00,800.05,800.6,799.6,799.9,3426.0
2024-02-26 14:55:00,799.9,801.15,799.75,800.4,3341.0
2024-02-26 15:00:00,800.55,800.95,798.2,798.2,4272.0
2024-02-26 15:05:00,799.0,799.2,798.3,798.9,5229.0
2024-02-26 15:10:00,798.45,799.3,798.0,798.35,7694.0
2024-02-26 15:15:00,798.35,798.8,797.7,798.8,6951.0
2024-02-26 15:20:00,798.75,802.3,798.0,798.75,17927.0
2024-02-26 15:25:00,798.2,800.5,797.8,798.25,9382.0
2024-02-27 09:15:00,799.3,803.4,799.3,801.0,3615.0
2024-02-27 09:20:00,800.85,803.0,800.05,801.85,5196.0
2024-02-27 09:25:00,802.25,803.0,801.85,802.0,1806.0
2024-02-27 09:30:00,802.3,802.7,801.85,802.7,2302.0
2024-02-27 09:35:00,802.15,802.8,801.2,802.45,2457.0
2024-02-27 09:40:00,802.45,802.45,800.0,801.05,5017.0
2024-02-27 09:45:00,800.3,802.3,800.3,801.9,1313.0
2024-02-27 09:50:00,802.1,802.6,801.05,801.05,907.0
2024-02-27 09:55:00,801.05,801.8,801.0,801.75,406.0
2024-02-27 10:00:00,801.7,801.75,800.95,800.95,260.0
2024-02-27 10:05:00,801.0,801.45,798.25,798.35,2978.0
2024-02-27 10:10:00,798.95,799.7,798.25,798.25,1512.0
2024-02-27 10:15:00,798.05,798.35,797.1,797.1,2626.0
2024-02-27 10:20:00,797.6,797.6,795.25,795.95,2997.0
2024-02-27 10:25:00,796.35,797.0,795.55,796.0,1205.0
2024-02-27 10:30:00,796.35,796.9,796.25,796.7,672.0
2024-02-27 10:35:00,796.9,796.95,796.4,796.4,235.0
2024-02-27 10:40:00,796.2,796.45,795.5,795.9,1400.0
2024-02-27 10:45:00,795.95,796.3,795.5,795.5,2139.0
2024-02-27 10:50:00,795.5,796.5,794.95,796.1,3939.0
2024-02-27 10:55:00,796.2,797.35,796.2,796.7,1513.0
2024-02-27 11:00:00,797.15,797.55,796.8,797.3,408.0
2024-02-27 11:05:00,797.3,797.3,796.4,796.7,667.0
2024-02-27 11:10:00,796.7,796.7,795.65,796.3,1260.0
2024-02-27 11:15:00,795.7,796.4,795.45,796.25,2251.0
2024-02-27 11:20:00,795.65,796.0,794.75,795.8,4650.0
2024-02-27 11:25:00,795.85,795.85,794.95,795.35,861.0
2024-02-27 11:30:00,795.3,795.4,794.85,795.4,342.0
2024-02-27 11:35:00,795.4,795.4,792.1,792.45,6826.0
2024-02-27 11:40:00,792.45,792.45,790.5,792.05,3443.0
2024-02-27 11:45:00,792.3,792.3,790.1,790.85,2927.0
2024-02-27 11:50:00,790.85,791.05,789.8,790.5,3119.0
2024-02-27 11:55:00,790.5,791.25,790.05,791.0,3366.0
2024-02-27 12:00:00,791.05,791.5,790.25,790.35,1406.0
2024-02-27 12:05:00,790.8,790.8,786.1,789.2,12448.0
2024-02-27 12:10:00,789.6,791.1,789.5,791.1,1824.0
2024-02-27 12:15:00,791.2,794.95,791.2,792.75,17126.0
2024-02-27 12:20:00,791.4,792.2,790.8,792.2,10325.0
2024-02-27 12:25:00,792.2,792.55,791.7,792.25,625.0
2024-02-27 12:30:00,792.25,792.25,791.75,792.15,509.0
2024-02-27 12:35:00,791.55,791.85,790.65,791.35,721.0
2024-02-27 12:40:00,791.75,792.7,791.55,792.7,1169.0
2024-02-27 12:45:00,792.15,794.25,792.0,793.95,4531.0
2024-02-27 12:50:00,793.95,795.0,793.95,794.65,3953.0
2024-02-27 12:55:00,794.7,795.2,793.95,794.95,917.0
2024-02-27 13:00:00,794.95,794.95,793.4,793.9,664.0
2024-02-27 13:05:00,793.4,793.9,793.0,793.45,650.0
2024-02-27 13:10:00,793.45,793.5,793.0,793.3,122.0
2024-02-27 13:15:00,793.0,794.05,793.0,794.05,1970.0
2024-02-27 13:20:00,793.95,793.95,793.05,793.6,398.0
2024-02-27 13:25:00,793.35,793.75,792.35,792.35,1908.0
2024-02-27 13:30:00,792.5,792.5,792.0,792.0,260.0
2024-02-27 13:35:00,792.65,792.65,789.95,789.95,1281.0
2024-02-27 13:40:00,789.9,789.9,786.05,786.7,4379.0
2024-02-27 13:45:00,786.7,788.35,786.5,787.7,8558.0
2024-02-27 13:50:00,787.0,788.2,786.15,786.15,3956.0
2024-02-27 13:55:00,786.7,788.45,785.25,788.4,5860.0
2024-02-27 14:00:00,788.4,788.6,787.25,787.8,2612.0
2024-02-27 14:05:00,787.2,787.9,787.0,787.4,3266.0
2024-02-27 14:10:00,787.4,787.4,786.35,787.05,955.0
2024-02-27 14:15:00,787.35,787.35,786.65,787.15,652.0
2024-02-27 14:20:00,787.1,787.1,786.5,786.95,523.0
2024-02-27 14:25:00,786.8,787.2,786.0,786.25,1725.0
2024-02-27 14:30:00,786.1,787.1,785.95,786.3,4288.0
2024-02-27 14:35:00,786.85,786.9,786.0,786.7,1342.0
2024-02-27 14:40:00,786.5,787.55,786.2,787.4,1098.0
2024-02-27 14:45:00,787.5,788.55,787.4,788.55,944.0
2024-02-27 14:50:00,788.6,788.6,787.8,787.8,1448.0
2024-02-27 14:55:00,788.05,790.85,787.4,790.85,6448.0
2024-02-27 15:00:00,791.4,792.5,789.7,790.4,16160.0
