time,into,inth,intl,intc,v
2024-02-26 09:15:00,367.0,367.0,364.1,365.3,22594.0
2024-02-26 09:20:00,365.5,365.5,363.5,363.9,34439.0
2024-02-26 09:25:00,363.8,363.8,362.0,362.25,33483.0
2024-02-26 09:30:00,362.05,362.5,361.55,362.05,33455.0
2024-02-26 09:35:00,362.0,362.65,362.0,362.4,26237.0
2024-02-26 09:40:00,362.4,362.65,362.15,362.35,14695.0
2024-02-26 09:45:00,362.35,363.0,362.3,362.5,23466.0
2024-02-26 09:50:00,362.4,362.4,360.3,361.65,26867.0
2024-02-26 09:55:00,361.6,361.6,360.1,360.4,25543.0
2024-02-26 10:00:00,360.35,360.8,360.1,360.4,16405.0
2024-02-26 10:05:00,360.2,360.65,360.15,360.4,8478.0
2024-02-26 10:10:00,360.6,360.7,360.15,360.55,10850.0
2024-02-26 10:15:00,360.7,360.85,360.25,360.7,15256.0
2024-02-26 10:20:00,360.75,361.15,360.55,361.1,9723.0
2024-02-26 10:25:00,361.1,361.15,359.55,359.55,44304.0
2024-02-26 10:30:00,359.7,359.9,359.2,359.75,30803.0
2024-02-26 10:35:00,359.85,360.0,359.6,359.7,17412.0
2024-02-26 10:40:00,359.7,359.7,358.7,359.1,12115.0
2024-02-26 10:45:00,359.1,359.5,359.0,359.45,10510.0
2024-02-26 10:50:00,359.45,359.6,359.0,359.4,9209.0
2024-02-26 10:55:00,359.4,359.5,358.9,359.2,7874.0
2024-02-26 11:00:00,359.2,359.45,358.8,359.1,9864.0
2024-02-26 11:05:00,359.1,359.55,359.1,359.2,14981.0
2024-02-26 11:10:00,359.2,359.25,358.45,358.6,13094.0
2024-02-26 11:15:00,358.6,358.6,357.5,358.25,23037.0
2024-02-26 11:20:00,358.4,358.65,358.2,358.5,12559.0
2024-02-26 11:25:00,358.55,359.3,358.55,359.2,9048.0
2024-02-26 11:30:00,359.25,359.35,359.0,359.15,17603.0
2024-02-26 11:35:00,359.15,359.4,358.85,359.2,17715.0
2024-02-26 11:40:00,359.2,359.2,358.35,358.8,16571.0
2024-02-26 11:45:00,358.9,359.15,358.75,358.9,6423.0
2024-02-26 11:50:00,358.9,358.9,357.1,357.3,36295.0
2024-02-26 11:55:00,357.3,357.65,356.95,357.6,21486.0
2024-02-26 12:00:00,357.6,357.7,357.25,357.25,16810.0
2024-02-26 12:05:00,357.25,357.35,357.15,357.3,7703.0
2024-02-26 12:10:00,357.3,357.3,356.25,356.8,21853.0
2024-02-26 12:15:00,356.75,357.05,356.45,356.7,12128.0
2024-02-26 12:20:00,356.75,357.25,356.4,357.1,8955.0
2024-02-26 12:25:00,357.1,357.8,357.0,357.75,7853.0
2024-02-26 12:30:00,357.75,358.65,357.65,358.6,14131.0
2024-02-26 12:35:00,358.65,358.65,357.7,358.0,5776.0
2024-02-26 12:40:00,357.8,358.4,357.8,358.3,1543.0
2024-02-26 12:45:00,358.3,358.35,357.8,358.1,3348.0
2024-02-26 12:50:00,358.15,358.2,357.8,358.2,4869.0
2024-02-26 12:55:00,358.15,358.8,358.15,358.8,4063.0
2024-02-26 13:00:00,358.7,358.7,358.5,358.7,2154.0
2024-02-26 13:05:00,358.7,358.95,358.65,358.75,9622.0
2024-02-26 13:10:00,358.9,358.95,358.75,358.85,2482.0
2024-02-26 13:15:00,358.9,359.05,358.75,359.0,7108.0
2024-02-26 13:20:00,359.0,359.0,358.05,358.05,7850.0
2024-02-26 13:25:00,358.05,358.1,357.75,357.9,3521.0
2024-02-26 13:30:00,357.9,358.0,357.25,357.8,20767.0
2024-02-26 13:35:00,357.75,358.05,357.65,357.95,4555.0
2024-02-26 13:40:00,357.95,358.0,357.5,357.7,3161.0
2024-02-26 13:45:00,357.7,357.95,357.5,357.85,1487.0
2024-02-26 13:50:00,357.85,358.0,357.85,357.85,836.0
2024-02-26 13:55:00,358.0,358.0,357.8,358.0,3222.0
2024-02-26 14:00:00,358.0,358.2,357.65,358.1,7037.0
2024-02-26 14:05:00,358.1,358.2,358.0,358.15,1533.0
2024-02-26 14:10:00,358.2,358.55,358.15,358.55,6355.0
2024-02-26 14:15:00,358.0,358.6,358.0,358.55,12310.0
2024-02-26 14:20:00,358.6,359.4,358.6,359.25,11831.0
2024-02-26 14:25:00,359.25,359.4,359.15,359.15,6048.0
2024-02-26 14:30:00,359.15,359.35,358.65,358.8,5427.0
2024-02-26 14:35:00,358.85,358.9,358.5,358.5,1920.0
2024-02-26 14:40:00,358.5,358.85,358.5,358.7,3688.0
2024-02-26 14:45:00,358.55,358.85,358.0,358.0,8652.0
2024-02-26 14:50:00,358.05,358.2,357.9,357.9,6105.0
2024-02-26 14:55:00,357.9,358.1,357.6,357.95,15390.0
2024-02-26 15:00:00,357.95,357.95,357.05,357.4,21106.0
2024-02-26 15:05:00,357.45,357.45,357.0,357.1,12647.0
2024-02-26 15:10:00,357.1,357.35,357.05,357.35,14369.0
2024-02-26 15:15:00,357.25,357.35,356.4,356.95,32786.0
2024-02-26 15:20:00,356.95,357.15,356.6,357.15,23466.0
2024-02-26 15:25:00,357.1,357.65,356.8,356.8,23993.0
2024-02-27 09:15:00,357.1,359.55,357.1,359.05,19529.0
2024-02-27 09:20:00,358.75,359.55,358.65,359.25,14752.0
2024-02-27 09:25:00,359.2,359.5,358.9,358.9,8229.0
2024-02-27 09:30:00,359.0,359.35,358.1,359.3,8216.0
2024-02-27 09:35:00,359.3,359.55,358.6,358.95,21189.0
2024-02-27 09:40:00,359.35,359.5,359.05,359.15,10678.0
2024-02-27 09:45:00,359.4,360.1,359.35,359.95,29749.0
2024-02-27 09:50:00,359.95,360.55,359.5,360.0,17606.0
2024-02-27 09:55:00,359.85,360.35,359.85,360.25,7741.0
2024-02-27 10:00:00,360.25,360.25,359.95,360.15,7954.0
2024-02-27 10:05:00,360.0,360.2,358.45,358.45,12335.0
2024-02-27 10:10:00,358.6,359.15,358.45,359.1,18618.0
2024-02-27 10:15:00,358.95,359.15,358.65,359.15,9167.0
2024-02-27 10:20:00,359.0,359.2,358.75,358.95,2945.0
2024-02-27 10:25:00,358.75,359.2,358.65,358.8,8621.0
2024-02-27 10:30:00,359.0,359.7,358.9,359.5,5740.0
2024-02-27 10:35:00,359.45,359.65,359.25,359.25,7772.0
2024-02-27 10:40:00,359.25,359.5,358.8,358.9,3103.0
2024-02-27 10:45:00,358.9,358.95,358.45,358.75,4449.0
2024-02-27 10:50:00,358.7,359.0,358.6,358.95,4044.0
2024-02-27 10:55:00,358.95,359.2,358.4,359.0,4908.0
2024-02-27 11:00:00,358.85,359.2,358.85,359.15,1354.0
2024-02-27 11:05:00,359.1,359.15,358.35,358.6,2299.0
2024-02-27 11:10:00,358.6,358.6,358.05,358.15,16311.0
2024-02-27 11:15:00,358.15,358.3,357.5,358.3,13229.0
2024-02-27 11:20:00,358.25,358.3,357.3,357.75,13204.0
2024-02-27 11:25:00,357.6,357.6,357.1,357.2,8701.0
2024-02-27 11:30:00,357.3,357.7,356.8,357.6,31425.0
2024-02-27 11:35:00,357.4,357.6,357.1,357.4,12010.0
2024-02-27 11:40:00,357.45,357.9,357.0,357.9,13823.0
2024-02-27 11:45:00,358.0,358.1,357.25,357.7,27847.0
2024-02-27 11:50:00,357.7,357.75,356.95,356.95,11539.0
2024-02-27 11:55:00,357.0,357.0,356.35,356.7,5464.0
2024-02-27 12:00:00,356.85,357.0,355.45,355.55,17528.0
2024-02-27 12:05:00,355.5,356.35,355.35,355.9,22723.0
2024-02-27 12:10:00,355.75,356.3,355.75,356.2,6702.0
2024-02-27 12:15:00,356.0,356.8,356.0,356.6,3673.0
2024-02-27 12:20:00,356.65,357.0,356.65,357.0,4189.0
2024-02-27 12:25:00,357.0,357.25,356.65,357.0,10804.0
2024-02-27 12:30:00,357.2,357.35,356.9,357.15,4681.0
