time,into,inth,intl,intc,v
2024-02-26 09:15:00,179.8,180.4,178.9,180.05,294254.0
2024-02-26 09:20:00,180.2,180.2,179.2,179.6,342782.0
2024-02-26 09:25:00,179.5,179.6,178.7,178.75,189735.0
2024-02-26 09:30:00,178.8,179.3,178.35,179.05,204171.0
2024-02-26 09:35:00,179.05,179.45,179.05,179.3,83347.0
2024-02-26 09:40:00,179.45,179.5,179.05,179.25,82467.0
2024-02-26 09:45:00,179.2,179.5,178.85,178.95,106775.0
2024-02-26 09:50:00,178.7,178.75,177.95,178.55,246789.0
2024-02-26 09:55:00,178.6,178.6,177.8,177.8,153450.0
2024-02-26 10:00:00,177.7,178.6,177.7,178.35,191167.0
2024-02-26 10:05:00,178.45,179.0,178.3,178.6,81360.0
2024-02-26 10:10:00,178.6,178.8,178.55,178.6,78381.0
2024-02-26 10:15:00,178.65,179.35,178.35,178.95,401417.0
2024-02-26 10:20:00,179.0,179.8,178.75,179.65,503503.0
2024-02-26 10:25:00,179.7,179.8,179.3,179.45,326377.0
2024-02-26 10:30:00,179.5,180.5,179.45,180.5,415393.0
2024-02-26 10:35:00,180.5,181.0,180.25,180.55,765768.0
2024-02-26 10:40:00,180.5,180.65,180.3,180.55,231278.0
2024-02-26 10:45:00,180.6,181.3,180.5,181.3,325269.0
2024-02-26 10:50:00,181.25,181.45,180.5,180.6,334490.0
2024-02-26 10:55:00,180.6,180.7,180.2,180.3,139303.0
2024-02-26 11:00:00,180.35,180.7,180.3,180.6,87699.0
2024-02-26 11:05:00,180.65,181.1,180.65,180.9,147225.0
2024-02-26 11:10:00,180.95,181.25,180.65,180.9,206137.0
2024-02-26 11:15:00,180.95,181.35,180.65,181.15,163770.0
2024-02-26 11:20:00,181.25,181.25,181.0,181.1,123987.0
2024-02-26 11:25:00,181.15,181.65,181.1,181.55,179089.0
2024-02-26 11:30:00,181.55,181.6,181.25,181.35,91033.0
2024-02-26 11:35:00,181.35,181.5,181.05,181.35,117616.0
2024-02-26 11:40:00,181.3,181.9,181.2,181.85,268537.0
2024-02-26 11:45:00,181.8,182.25,181.75,182.05,427106.0
2024-02-26 11:50:00,182.05,182.1,181.3,181.3,126935.0
2024-02-26 11:55:00,181.2,181.85,181.2,181.6,719190.0
2024-02-26 12:00:00,181.6,181.8,181.5,181.75,82931.0
2024-02-26 12:05:00,181.7,182.1,181.7,182.0,108595.0
2024-02-26 12:10:00,182.05,182.1,181.9,182.0,81539.0
2024-02-26 12:15:00,181.9,182.35,181.65,181.8,168673.0
2024-02-26 12:20:00,181.7,181.9,181.5,181.75,91581.0
2024-02-26 12:25:00,181.75,182.2,181.65,182.05,126627.0
2024-02-26 12:30:00,182.05,182.15,181.9,182.15,64577.0
2024-02-26 12:35:00,182.05,182.15,181.75,181.9,60307.0
2024-02-26 12:40:00,181.9,182.05,181.8,181.8,66725.0
2024-02-26 12:45:00,181.8,181.85,181.4,181.5,112644.0
2024-02-26 12:50:00,181.5,181.7,181.4,181.5,66860.0
2024-02-26 12:55:00,181.6,181.95,181.5,181.85,60665.0
2024-02-26 13:00:00,181.85,181.95,181.85,181.9,56809.0
2024-02-26 13:05:00,181.95,182.0,181.8,181.85,50535.0
2024-02-26 13:10:00,181.85,182.05,181.85,181.95,70589.0
2024-02-26 13:15:00,181.95,182.3,181.8,182.3,79445.0
2024-02-26 13:20:00,182.25,182.25,182.05,182.2,74949.0
2024-02-26 13:25:00,182.2,182.3,182.15,182.25,120878.0
2024-02-26 13:30:00,182.25,182.7,182.25,182.6,215611.0
2024-02-26 13:35:00,182.65,183.15,182.25,182.85,652563.0
2024-02-26 13:40:00,182.9,183.0,182.65,182.7,86272.0
2024-02-26 13:45:00,182.7,183.05,182.7,182.9,111497.0
2024-02-26 13:50:00,182.9,183.1,182.75,183.0,120242.0
2024-02-26 13:55:00,183.0,183.0,182.55,182.7,96625.0
2024-02-26 14:00:00,182.75,183.1,182.6,182.95,248494.0
2024-02-26 14:05:00,183.0,183.1,182.85,182.85,69943.0
2024-02-26 14:10:00,182.9,183.0,182.8,182.9,106070.0
2024-02-26 14:15:00,182.9,183.3,182.9,183.1,326039.0
2024-02-26 14:20:00,183.1,183.5,183.05,183.35,354295.0
2024-02-26 14:25:00,183.35,183.35,182.9,182.9,198742.0
2024-02-26 14:30:00,182.95,183.1,182.45,183.05,270004.0
2024-02-26 14:35:00,182.95,183.05,182.8,182.8,109333.0
2024-02-26 14:40:00,182.7,182.95,182.6,182.7,85823.0
2024-02-26 14:45:00,182.7,182.8,182.5,182.5,112801.0
2024-02-26 14:50:00,182.5,182.6,182.3,182.4,145538.0
2024-02-26 14:55:00,182.35,182.4,182.05,182.05,242348.0
2024-02-26 15:00:00,182.15,182.3,181.85,182.15,180932.0
2024-02-26 15:05:00,182.1,182.2,182.05,182.2,222119.0
2024-02-26 15:10:00,182.25,182.5,182.25,182.4,396556.0
2024-02-26 15:15:00,182.3,182.3,181.7,181.9,355597.0
2024-02-26 15:20:00,181.95,182.15,181.85,182.15,286532.0
2024-02-26 15:25:00,182.15,182.3,181.8,181.9,174069.0
2024-02-27 09:15:00,181.6,182.5,181.3,181.5,265489.0
2024-02-27 09:20:00,181.5,181.8,181.2,181.75,171021.0
2024-02-27 09:25:00,181.6,182.0,181.6,181.9,121706.0
2024-02-27 09:30:00,181.95,182.3,181.3,182.25,115508.0
2024-02-27 09:35:00,182.2,182.25,182.0,182.25,115806.0
2024-02-27 09:40:00,182.2,183.05,182.1,183.0,688757.0
2024-02-27 09:45:00,182.9,183.25,182.6,182.6,408620.0
2024-02-27 09:50:00,182.7,182.85,182.3,182.3,98369.0
2024-02-27 09:55:00,182.4,182.75,182.35,182.55,95005.0
2024-02-27 10:00:00,182.6,182.85,182.5,182.6,75254.0
2024-02-27 10:05:00,182.65,182.75,181.85,181.9,181208.0
2024-02-27 10:10:00,181.85,182.4,181.85,182.35,138613.0
2024-02-27 10:15:00,182.35,182.65,182.2,182.65,157585.0
2024-02-27 10:20:00,182.65,182.85,182.2,182.3,174629.0
2024-02-27 10:25:00,182.4,182.6,182.35,182.4,119669.0
2024-02-27 10:30:00,182.3,182.35,182.1,182.2,115475.0
2024-02-27 10:35:00,182.2,182.5,182.1,182.35,103350.0
2024-02-27 10:40:00,182.45,182.6,182.15,182.5,116170.0
2024-02-27 10:45:00,182.6,182.8,182.4,182.75,107308.0
2024-02-27 10:50:00,182.75,183.0,182.7,182.9,128861.0
2024-02-27 10:55:00,182.8,183.0,182.75,182.85,86992.0
2024-02-27 11:00:00,182.95,183.0,182.75,182.75,132237.0
2024-02-27 11:05:00,182.75,182.9,182.55,182.65,90129.0
2024-02-27 11:10:00,182.6,182.7,182.45,182.7,126807.0
2024-02-27 11:15:00,182.7,182.9,182.6,182.7,100695.0
2024-02-27 11:20:00,182.7,182.7,182.15,182.5,133935.0
2024-02-27 11:25:00,182.45,182.8,182.4,182.5,130870.0
2024-02-27 11:30:00,182.45,182.7,182.45,182.7,88993.0
2024-02-27 11:35:00,182.75,182.8,182.1,182.1,124516.0
2024-02-27 11:40:00,182.05,182.15,181.7,181.95,105773.0
2024-02-27 11:45:00,181.9,181.9,181.45,181.5,83506.0
2024-02-27 11:50:00,181.45,181.6,181.25,181.35,85553.0
2024-02-27 11:55:00,181.45,181.55,181.1,181.25,49437.0
2024-02-27 12:00:00,181.3,181.3,180.85,180.95,122964.0
2024-02-27 12:05:00,180.95,180.95,180.65,180.8,86155.0
2024-02-27 12:10:00,180.8,181.1,180.65,181.05,79441.0
2024-02-27 12:15:00,181.1,181.25,181.05,181.2,40125.0
2024-02-27 12:20:00,181.15,181.4,181.1,181.3,50644.0
2024-02-27 12:25:00,181.45,181.45,181.1,181.25,73809.0
2024-02-27 12:30:00,181.25,181.45,181.15,181.2,48444.0
2024-02-27 12:35:00,181.2,181.45,181.15,181.4,40970.0
2024-02-27 12:40:00,181.3,181.45,181.1,181.15,49991.0
2024-02-27 12:45:00,181.15,181.45,181.05,181.3,63881.0
2024-02-27 12:50:00,181.35,181.5,181.2,181.35,107800.0
2024-02-27 12:55:00,181.3,181.45,181.2,181.25,44125.0
2024-02-27 13:00:00,181.3,181.4,180.9,181.0,50434.0
2024-02-27 13:05:00,181.05,181.1,180.35,180.45,126170.0
2024-02-27 13:10:00,180.4,180.85,180.3,180.8,42494.0
2024-02-27 13:15:00,180.8,181.15,180.75,181.15,44220.0
2024-02-27 13:20:00,181.15,181.15,180.85,180.85,46575.0
2024-02-27 13:25:00,180.9,180.95,180.65,180.65,42134.0
2024-02-27 13:30:00,180.7,180.9,180.55,180.85,241659.0
2024-02-27 13:35:00,180.85,180.9,180.45,180.55,53999.0
2024-02-27 13:40:00,180.55,180.55,179.7,179.85,157368.0
2024-02-27 13:45:00,179.8,180.1,179.75,179.8,80875.0
2024-02-27 13:50:00,179.8,179.9,179.25,179.3,141605.0
2024-02-27 13:55:00,179.25,179.55,178.85,179.45,247258.0
2024-02-27 14:00:00,179.5,179.5,179.15,179.3,72770.0
2024-02-27 14:05:00,179.3,179.45,179.1,179.25,62205.0
2024-02-27 14:10:00,179.2,179.25,179.0,179.05,74983.0
2024-02-27 14:15:00,179.05,179.65,179.05,179.4,109505.0
2024-02-27 14:20:00,179.4,179.7,179.4,179.45,86747.0
2024-02-27 14:25:00,179.55,179.8,179.4,179.7,111916.0
2024-02-27 14:30:00,179.75,180.0,179.6,180.0,96848.0
2024-02-27 14:35:00,180.0,180.0,179.85,179.9,118101.0
2024-02-27 14:40:00,179.85,180.5,179.8,180.2,119943.0
2024-02-27 14:45:00,180.25,180.35,179.9,180.0,128029.0
2024-02-27 14:50:00,180.0,180.25,179.85,180.15,42773.0
