time,into,inth,intl,intc,v
2024-02-26 09:15:00,3026.15,3063.3,3013.7,3059.6,57898.0
2024-02-26 09:20:00,3062.35,3075.0,3057.4,3075.0,52971.0
2024-02-26 09:25:00,3075.0,3075.0,3055.0,3063.0,28297.0
2024-02-26 09:30:00,3063.0,3069.75,3055.0,3060.0,20144.0
2024-02-26 09:35:00,3061.45,3069.15,3059.05,3067.8,19264.0
2024-02-26 09:40:00,3067.55,3068.65,3060.45,3068.65,14438.0
2024-02-26 09:45:00,3068.65,3072.7,3059.1,3059.1,26714.0
2024-02-26 09:50:00,3058.65,3060.75,3045.1,3050.2,21736.0
2024-02-26 09:55:00,3050.2,3050.2,3037.5,3040.0,21722.0
2024-02-26 10:00:00,3039.45,3054.9,3039.45,3052.95,17085.0
2024-02-26 10:05:00,3052.25,3062.45,3052.25,3059.6,17702.0
2024-02-26 10:10:00,3059.85,3065.0,3059.15,3064.8,12749.0
2024-02-26 10:15:00,3064.0,3065.0,3055.4,3057.2,9451.0
2024-02-26 10:20:00,3057.2,3062.0,3055.05,3061.15,12377.0
2024-02-26 10:25:00,3060.1,3061.15,3055.0,3055.0,5703.0
2024-02-26 10:30:00,3055.65,3063.0,3055.0,3060.0,6630.0
2024-02-26 10:35:00,3058.65,3059.1,3054.55,3055.75,4385.0
2024-02-26 10:40:00,3055.75,3055.75,3049.95,3050.55,6675.0
2024-02-26 10:45:00,3050.2,3053.55,3050.0,3051.1,5566.0
2024-02-26 10:50:00,3051.1,3052.0,3046.15,3049.4,5878.0
2024-02-26 10:55:00,3049.0,3051.5,3046.95,3049.0,3547.0
2024-02-26 11:00:00,3049.75,3052.5,3046.2,3052.2,7009.0
2024-02-26 11:05:00,3052.2,3056.9,3051.7,3054.65,5284.0
2024-02-26 11:10:00,3055.0,3056.85,3050.3,3051.45,7663.0
2024-02-26 11:15:00,3051.45,3053.85,3048.0,3052.0,6352.0
2024-02-26 11:20:00,3052.0,3057.45,3048.35,3056.05,7306.0
2024-02-26 11:25:00,3056.25,3056.55,3054.25,3054.95,2465.0
2024-02-26 11:30:00,3055.0,3055.9,3053.0,3054.0,4645.0
2024-02-26 11:35:00,3054.75,3055.0,3053.0,3054.7,6272.0
2024-02-26 11:40:00,3054.0,3055.0,3050.55,3053.8,11798.0
2024-02-26 11:45:00,3053.8,3054.0,3048.0,3049.0,2522.0
2024-02-26 11:50:00,3049.0,3055.05,3048.0,3053.4,9889.0
2024-02-26 11:55:00,3053.0,3057.0,3052.0,3057.0,7174.0
2024-02-26 12:00:00,3056.25,3065.0,3056.0,3060.8,10340.0
2024-02-26 12:05:00,3060.8,3062.5,3058.4,3061.4,26022.0
2024-02-26 12:10:00,3062.05,3062.5,3056.75,3059.0,4643.0
2024-02-26 12:15:00,3058.75,3061.55,3055.65,3057.0,19554.0
2024-02-26 12:20:00,3056.85,3060.0,3056.1,3057.95,2558.0
2024-02-26 12:25:00,3058.05,3061.0,3056.85,3059.4,4659.0
2024-02-26 12:30:00,3058.55,3066.0,3057.9,3063.95,20575.0
2024-02-26 12:35:00,3063.0,3063.95,3056.3,3058.6,5569.0
2024-02-26 12:40:00,3058.6,3059.0,3052.25,3053.2,7179.0
2024-02-26 12:45:00,3053.05,3058.4,3051.7,3056.35,4375.0
2024-02-26 12:50:00,3056.3,3058.4,3053.75,3058.4,3480.0
2024-02-26 12:55:00,3058.4,3059.8,3057.3,3059.8,3168.0
2024-02-26 13:00:00,3060.0,3064.0,3058.25,3059.3,6138.0
2024-02-26 13:05:00,3059.3,3062.0,3058.4,3060.3,4277.0
2024-02-26 13:10:00,3059.45,3061.9,3058.9,3060.0,3402.0
2024-02-26 13:15:00,3060.0,3067.75,3058.2,3067.55,16799.0
2024-02-26 13:20:00,3068.0,3068.4,3060.8,3064.0,6557.0
2024-02-26 13:25:00,3064.0,3065.65,3063.05,3064.2,4225.0
2024-02-26 13:30:00,3064.2,3064.65,3061.35,3063.2,2659.0
2024-02-26 13:35:00,3063.5,3063.6,3061.0,3061.25,4970.0
2024-02-26 13:40:00,3062.0,3070.0,3062.0,3065.0,17200.0
2024-02-26 13:45:00,3065.65,3065.7,3059.25,3060.1,15653.0
2024-02-26 13:50:00,3061.0,3063.25,3060.35,3061.5,5037.0
2024-02-26 13:55:00,3062.35,3063.15,3060.0,3062.15,6153.0
2024-02-26 14:00:00,3062.15,3062.5,3060.9,3061.7,3388.0
2024-02-26 14:05:00,3060.45,3064.4,3060.35,3062.55,3768.0
2024-02-26 14:10:00,3063.55,3064.4,3060.0,3061.0,5245.0
2024-02-26 14:15:00,3061.0,3061.75,3058.0,3060.0,7095.0
2024-02-26 14:20:00,3060.0,3064.45,3059.9,3063.0,10665.0
2024-02-26 14:25:00,3062.6,3062.95,3058.1,3061.6,5417.0
2024-02-26 14:30:00,3062.85,3063.15,3060.0,3060.0,5886.0
2024-02-26 14:35:00,3060.85,3062.9,3058.55,3060.05,6472.0
2024-02-26 14:40:00,3060.7,3061.15,3058.75,3060.0,8238.0
2024-02-26 14:45:00,3060.0,3062.55,3055.05,3055.05,9508.0
2024-02-26 14:50:00,3055.8,3055.95,3050.0,3054.9,12576.0
2024-02-26 14:55:00,3054.2,3058.85,3053.35,3058.45,6639.0
2024-02-26 15:00:00,3058.45,3059.0,3053.05,3053.05,11690.0
2024-02-26 15:05:00,3053.3,3054.0,3051.1,3054.0,10316.0
2024-02-26 15:10:00,3053.95,3054.1,3047.7,3049.5,20861.0
2024-02-26 15:15:00,3049.5,3050.0,3044.15,3046.85,26091.0
2024-02-26 15:20:00,3046.8,3049.85,3044.55,3048.0,21176.0
2024-02-26 15:25:00,3048.05,3054.75,3047.25,3054.0,15076.0
2024-02-27 09:15:00,3033.25,3056.95,3033.25,3052.0,41983.0
2024-02-27 09:20:00,3053.5,3056.95,3043.1,3055.1,25668.0
2024-02-27 09:25:00,3054.1,3060.6,3051.8,3055.0,16719.0
2024-02-27 09:30:00,3054.95,3058.0,3050.0,3055.8,9716.0
2024-02-27 09:35:00,3055.8,3065.95,3055.5,3061.8,22221.0
2024-02-27 09:40:00,3061.55,3074.0,3057.95,3071.0,40037.0
2024-02-27 09:45:00,3070.3,3071.05,3064.0,3069.85,14939.0
2024-02-27 09:50:00,3068.4,3087.8,3067.4,3085.0,59830.0
2024-02-27 09:55:00,3085.0,3112.85,3076.55,3112.15,200704.0
2024-02-27 10:00:00,3111.95,3117.0,3104.25,3112.0,136569.0
2024-02-27 10:05:00,3111.4,3117.0,3103.0,3114.0,88507.0
2024-02-27 10:10:00,3113.5,3123.0,3113.0,3115.4,119187.0
2024-02-27 10:15:00,3116.2,3123.0,3114.15,3121.2,42702.0
2024-02-27 10:20:00,3122.0,3125.75,3110.5,3115.0,68882.0
2024-02-27 10:25:00,3115.0,3115.3,3101.0,3105.3,57506.0
2024-02-27 10:30:00,3104.05,3109.0,3093.15,3099.45,32155.0
2024-02-27 10:35:00,3098.2,3104.6,3093.3,3095.6,20926.0
2024-02-27 10:40:00,3095.0,3096.05,3085.25,3087.65,26090.0
2024-02-27 10:45:00,3087.65,3090.1,3082.3,3089.0,23465.0
2024-02-27 10:50:00,3089.4,3095.0,3089.0,3093.9,24412.0
2024-02-27 10:55:00,3092.5,3097.85,3091.65,3095.95,13545.0
2024-02-27 11:00:00,3095.9,3100.0,3092.0,3099.15,16849.0
2024-02-27 11:05:00,3099.95,3104.95,3099.0,3101.85,21737.0
2024-02-27 11:10:00,3101.0,3102.0,3093.55,3094.05,18286.0
2024-02-27 11:15:00,3095.55,3095.55,3090.0,3090.0,10823.0
2024-02-27 11:20:00,3090.0,3095.0,3086.55,3094.0,12091.0
2024-02-27 11:25:00,3094.0,3104.0,3090.05,3102.35,16164.0
2024-02-27 11:30:00,3103.0,3105.0,3100.2,3101.0,16526.0
2024-02-27 11:35:00,3101.2,3105.0,3101.2,3103.45,10060.0
2024-02-27 11:40:00,3104.6,3111.7,3100.15,3110.9,22581.0
2024-02-27 11:45:00,3110.0,3116.0,3106.75,3115.0,24968.0
2024-02-27 11:50:00,3114.75,3116.55,3108.6,3109.6,22670.0
2024-02-27 11:55:00,3109.65,3113.0,3104.05,3110.65,15048.0
2024-02-27 12:00:00,3108.4,3111.0,3098.0,3098.75,14882.0
2024-02-27 12:05:00,3099.5,3104.95,3095.0,3104.75,11510.0
2024-02-27 12:10:00,3104.5,3107.0,3101.9,3103.15,6967.0
2024-02-27 12:15:00,3102.0,3106.1,3102.0,3105.05,7868.0
2024-02-27 12:20:00,3106.0,3110.0,3103.0,3110.0,13273.0
2024-02-27 12:25:00,3109.05,3119.95,3109.0,3113.4,38431.0
2024-02-27 12:30:00,3113.0,3120.0,3111.7,3116.0,21605.0
2024-02-27 12:35:00,3116.0,3124.0,3114.1,3123.9,58808.0
2024-02-27 12:40:00,3123.95,3124.0,3117.0,3121.0,21684.0
2024-02-27 12:45:00,3121.0,3121.0,3115.65,3116.25,14897.0
2024-02-27 12:50:00,3116.5,3122.5,3112.15,3121.75,26400.0
2024-02-27 12:55:00,3120.0,3122.0,3116.75,3119.0,24499.0
2024-02-27 13:00:00,3119.0,3120.0,3112.8,3114.85,13918.0
2024-02-27 13:05:00,3115.0,3116.0,3111.65,3111.7,9395.0
2024-02-27 13:10:00,3111.75,3117.1,3111.75,3115.0,15064.0
2024-02-27 13:15:00,3114.5,3117.0,3113.05,3113.15,7462.0
2024-02-27 13:20:00,3114.15,3115.95,3111.1,3115.95,10182.0
2024-02-27 13:25:00,3115.95,3119.8,3114.4,3119.1,14156.0
2024-02-27 13:30:00,3119.0,3120.0,3116.4,3118.5,13531.0
2024-02-27 13:35:00,3116.75,3118.55,3112.0,3112.1,10897.0
2024-02-27 13:40:00,3113.35,3113.35,3103.0,3105.0,18181.0
2024-02-27 13:45:00,3104.95,3105.75,3099.0,3101.05,23186.0
2024-02-27 13:50:00,3102.2,3109.0,3100.75,3103.25,11417.0
2024-02-27 13:55:00,3104.65,3104.7,3092.15,3095.2,26523.0
2024-02-27 14:00:00,3095.0,3096.3,3087.5,3095.5,25799.0
2024-02-27 14:05:00,3095.5,3100.7,3093.55,3095.3,18276.0
2024-02-27 14:10:00,3095.5,3097.8,3093.5,3095.0,8399.0
2024-02-27 14:15:00,3095.0,3102.45,3095.0,3100.0,12537.0
2024-02-27 14:20:00,3100.25,3100.55,3088.0,3089.25,18873.0
2024-02-27 14:25:00,3089.25,3089.95,3085.9,3088.0,15774.0
2024-02-27 14:30:00,3088.4,3089.95,3082.75,3089.9,22837.0
2024-02-27 14:35:00,3089.95,3094.65,3088.05,3094.55,14945.0
2024-02-27 14:40:00,3094.55,3098.0,3094.0,3096.0,14239.0
2024-02-27 14:45:00,3096.05,3098.0,3094.0,3094.0,8239.0
2024-02-27 14:50:00,3095.0,3095.0,3091.05,3093.5,6844.0
2024-02-27 14:55:00,3093.85,3096.85,3092.5,3093.1,8042.0
2024-02-27 15:00:00,3094.0,3099.3,3092.95,3097.45,16947.0
2024-02-27 15:05:00,3097.55,3102.0,3096.4,3098.4,20676.0
2024-02-27 15:10:00,3098.4,3099.0,3095.0,3096.0,19889.0
2024-02-27 15:15:00,3096.0,3096.0,3090.0,3093.65,36310.0
2024-02-27 15:20:00,3093.95,3096.5,3090.75,3096.2,28205.0
2024-02-27 15:25:00,3095.15,3097.0,3092.55,3093.0,23285.0
2024-02-28 09:15:00,3114.95,3138.9,3106.1,3133.8,137430.0
2024-02-28 09:20:00,3131.45,3162.4,3131.05,3161.0,264438.0
2024-02-28 09:25:00,3161.65,3164.2,3151.75,3155.85,179448.0
2024-02-28 09:30:00,3155.0,3155.9,3137.45,3152.85,112492.0
2024-02-28 09:35:00,3153.65,3154.9,3142.85,3153.95,56644.0
2024-02-28 09:40:00,3154.0,3170.0,3152.3,3163.4,185426.0
2024-02-28 09:45:00,3163.35,3168.0,3155.4,3158.9,79376.0
2024-02-28 09:50:00,3159.0,3160.0,3146.35,3152.0,55661.0
2024-02-28 09:55:00,3151.0,3153.4,3141.05,3143.6,46891.0
2024-02-28 10:00:00,3144.0,3153.0,3138.05,3147.15,48582.0
2024-02-28 10:05:00,3147.0,3149.0,3143.0,3149.0,14038.0
2024-02-28 10:10:00,3149.65,3154.85,3146.3,3148.0,24997.0
2024-02-28 10:15:00,3147.95,3150.0,3146.45,3150.0,11298.0
2024-02-28 10:20:00,3149.65,3157.0,3148.55,3152.0,27004.0
2024-02-28 10:25:00,3151.9,3154.1,3147.15,3149.25,18045.0
2024-02-28 10:30:00,3147.65,3149.5,3145.0,3147.5,14269.0
2024-02-28 10:35:00,3146.15,3149.5,3142.15,3142.15,18760.0
2024-02-28 10:40:00,3142.15,3143.0,3132.9,3138.7,36796.0
2024-02-28 10:45:00,3138.65,3139.9,3134.0,3135.15,18579.0
2024-02-28 10:50:00,3134.9,3135.15,3116.55,3118.7,72425.0
2024-02-28 10:55:00,3120.85,3125.0,3110.0,3111.3,50952.0
2024-02-28 11:00:00,3110.6,3123.0,3106.6,3117.4,41954.0
2024-02-28 11:05:00,3117.1,3126.15,3113.7,3123.6,39616.0
2024-02-28 11:10:00,3123.6,3131.5,3120.65,3127.8,34177.0
2024-02-28 11:15:00,3127.5,3137.3,3126.15,3132.35,21719.0
2024-02-28 11:20:00,3131.45,3137.0,3127.2,3133.75,18705.0
2024-02-28 11:25:00,3132.35,3137.0,3124.05,3125.0,18684.0
2024-02-28 11:30:00,3124.05,3127.0,3120.25,3124.65,17801.0
2024-02-28 11:35:00,3125.0,3125.5,3120.0,3120.35,8843.0
2024-02-28 11:40:00,3120.0,3121.8,3114.0,3114.9,16334.0
2024-02-28 11:45:00,3114.0,3124.7,3111.0,3121.15,23348.0
2024-02-28 11:50:00,3121.15,3125.0,3119.8,3123.2,15880.0
2024-02-28 11:55:00,3123.2,3124.5,3122.1,3123.95,6515.0
2024-02-28 12:00:00,3123.0,3123.45,3115.0,3116.0,9742.0
2024-02-28 12:05:00,3115.2,3118.3,3113.0,3115.0,11586.0
2024-02-28 12:10:00,3115.85,3124.35,3114.4,3123.6,13360.0
2024-02-28 12:15:00,3122.5,3130.0,3122.15,3129.5,21057.0
2024-02-28 12:20:00,3129.55,3135.0,3128.65,3133.95,19608.0
2024-02-28 12:25:00,3134.9,3135.0,3126.35,3128.0,15719.0
2024-02-28 12:30:00,3128.0,3129.5,3123.6,3123.6,14936.0
2024-02-28 12:35:00,3124.55,3125.25,3120.0,3124.0,8690.0
2024-02-28 12:40:00,3124.95,3126.95,3119.0,3121.25,17776.0
2024-02-28 12:45:00,3120.8,3122.9,3115.75,3119.3,14009.0
2024-02-28 12:50:00,3119.0,3120.0,3113.2,3114.2,17395.0
2024-02-28 12:55:00,3113.85,3115.4,3097.05,3100.1,68498.0
2024-02-28 13:00:00,3100.9,3101.95,3092.05,3093.55,43609.0
2024-02-28 13:05:00,3094.85,3094.85,3072.75,3082.0,46631.0
2024-02-28 13:10:00,3080.9,3082.85,3061.25,3063.0,33613.0
2024-02-28 13:15:00,3064.05,3087.6,3063.4,3083.8,42085.0
2024-02-28 13:20:00,3083.8,3095.8,3082.35,3092.05,30825.0
2024-02-28 13:25:00,3093.0,3099.7,3090.0,3098.0,27787.0
2024-02-28 13:30:00,3098.0,3106.7,3092.75,3103.5,36081.0
2024-02-28 13:35:00,3103.55,3110.7,3098.1,3100.2,41176.0
2024-02-28 13:40:00,3098.75,3103.95,3097.35,3098.0,12193.0
2024-02-28 13:45:00,3097.35,3099.0,3084.55,3089.35,35077.0
2024-02-28 13:50:00,3089.6,3101.6,3088.3,3099.45,18595.0
2024-02-28 13:55:00,3099.45,3108.0,3097.45,3104.8,19929.0
2024-02-28 14:00:00,3103.05,3109.8,3103.05,3106.95,7927.0
2024-02-28 14:05:00,3106.1,3110.15,3105.35,3108.0,20977.0
2024-02-28 14:10:00,3107.2,3108.0,3102.5,3103.5,9466.0
2024-02-28 14:15:00,3104.85,3105.35,3096.55,3098.7,11600.0
2024-02-28 14:20:00,3098.7,3099.0,3094.4,3096.0,6650.0
2024-02-28 14:25:00,3096.0,3100.15,3094.45,3100.0,5286.0
2024-02-28 14:30:00,3100.0,3100.0,3086.25,3086.95,14176.0
2024-02-28 14:35:00,3087.5,3091.0,3082.55,3086.0,13008.0
2024-02-28 14:40:00,3086.45,3091.0,3083.3,3085.0,10407.0
2024-02-28 14:45:00,3086.45,3094.95,3085.0,3094.95,7711.0
2024-02-28 14:50:00,3094.55,3095.0,3085.1,3086.5,10066.0
2024-02-28 14:55:00,3087.0,3087.0,3082.0,3082.4,8256.0
2024-02-28 15:00:00,3084.0,3094.95,3080.0,3094.9,25070.0
2024-02-28 15:05:00,3095.95,3099.9,3095.25,3097.3,27445.0
2024-02-28 15:10:00,3097.3,3097.4,3086.05,3094.1,37066.0
2024-02-28 15:15:00,3094.95,3094.95,3080.0,3084.45,52385.0
2024-02-28 15:20:00,3084.9,3087.75,3075.65,3079.0,53380.0
2024-02-28 15:25:00,3079.2,3081.0,3070.0,3080.15,38081.0
2024-02-29 09:15:00,3080.25,3088.0,3040.0,3045.1,80796.0
2024-02-29 09:20:00,3042.55,3043.25,3025.0,3039.25,71318.0
