time,into,inth,intl,intc,v
2024-02-26 09:15:00,2394.0,2394.0,2381.6,2388.05,19086.0
2024-02-26 09:20:00,2388.6,2388.6,2385.15,2387.0,7495.0
2024-02-26 09:25:00,2387.0,2388.4,2386.25,2387.5,11290.0
2024-02-26 09:30:00,2387.5,2388.65,2387.0,2388.0,6523.0
2024-02-26 09:35:00,2389.2,2389.4,2383.6,2385.45,9866.0
2024-02-26 09:40:00,2385.45,2390.15,2384.45,2390.15,3830.0
2024-02-26 09:45:00,2390.35,2391.35,2388.9,2389.2,6024.0
2024-02-26 09:50:00,2389.85,2389.85,2386.6,2388.4,4183.0
2024-02-26 09:55:00,2388.8,2388.8,2386.2,2386.2,4706.0
2024-02-26 10:00:00,2386.2,2387.95,2385.05,2385.8,3616.0
2024-02-26 10:05:00,2385.0,2387.5,2384.2,2384.25,5088.0
2024-02-26 10:10:00,2384.0,2385.7,2382.9,2385.3,3647.0
2024-02-26 10:15:00,2385.3,2386.65,2384.45,2384.8,4507.0
2024-02-26 10:20:00,2385.0,2386.65,2384.0,2385.7,3229.0
2024-02-26 10:25:00,2385.65,2385.85,2385.0,2385.3,2984.0
2024-02-26 10:30:00,2385.15,2388.0,2383.6,2388.0,3595.0
2024-02-26 10:35:00,2388.0,2389.85,2386.1,2386.1,4386.0
2024-02-26 10:40:00,2386.1,2386.95,2385.2,2386.0,2201.0
2024-02-26 10:45:00,2386.05,2390.85,2386.05,2390.15,10250.0
2024-02-26 10:50:00,2390.1,2390.4,2389.45,2390.2,3037.0
2024-02-26 10:55:00,2390.2,2392.75,2388.05,2388.4,6387.0
2024-02-26 11:00:00,2388.4,2391.4,2388.15,2388.3,66853.0
2024-02-26 11:05:00,2388.2,2388.25,2386.05,2387.5,11321.0
2024-02-26 11:10:00,2387.4,2388.3,2386.95,2387.8,4758.0
2024-02-26 11:15:00,2387.8,2390.0,2387.8,2390.0,2066.0
2024-02-26 11:20:00,2389.9,2390.0,2386.3,2386.7,3491.0
2024-02-26 11:25:00,2386.7,2389.1,2386.7,2388.7,13551.0
2024-02-26 11:30:00,2388.65,2388.95,2387.4,2388.05,21526.0
2024-02-26 11:35:00,2388.0,2388.75,2383.1,2385.05,11380.0
2024-02-26 11:40:00,2385.0,2385.65,2385.0,2385.65,10482.0
2024-02-26 11:45:00,2385.55,2386.6,2385.5,2386.3,8557.0
2024-02-26 11:50:00,2386.3,2386.55,2384.55,2384.9,9568.0
2024-02-26 11:55:00,2384.4,2385.6,2383.75,2384.95,2004.0
2024-02-26 12:00:00,2384.95,2385.85,2383.65,2385.0,4654.0
2024-02-26 12:05:00,2384.85,2385.0,2382.3,2382.7,3755.0
2024-02-26 12:10:00,2382.75,2384.15,2382.1,2383.45,7298.0
2024-02-26 12:15:00,2383.05,2384.15,2380.0,2380.2,13680.0
2024-02-26 12:20:00,2380.3,2382.5,2380.0,2381.0,15175.0
2024-02-26 12:25:00,2381.0,2383.25,2380.05,2383.05,11672.0
2024-02-26 12:30:00,2383.05,2388.0,2382.8,2386.0,6370.0
2024-02-26 12:35:00,2386.05,2389.9,2386.0,2386.85,7139.0
2024-02-26 12:40:00,2386.9,2387.5,2384.0,2385.0,15173.0
2024-02-26 12:45:00,2384.95,2385.5,2383.35,2384.0,9038.0
2024-02-26 12:50:00,2384.05,2384.4,2382.95,2383.05,12729.0
2024-02-26 12:55:00,2383.05,2383.1,2381.2,2381.35,14788.0
2024-02-26 13:00:00,2381.35,2382.5,2380.5,2380.55,15216.0
2024-02-26 13:05:00,2380.5,2382.0,2380.0,2381.4,16106.0
2024-02-26 13:10:00,2381.35,2381.95,2380.5,2380.5,14374.0
2024-02-26 13:15:00,2380.5,2383.6,2380.1,2383.05,17093.0
2024-02-26 13:20:00,2382.9,2383.2,2382.2,2382.95,10885.0
2024-02-26 13:25:00,2382.95,2385.5,2382.8,2385.5,7928.0
2024-02-26 13:30:00,2385.5,2386.25,2383.85,2384.7,9039.0
2024-02-26 13:35:00,2385.0,2386.45,2384.3,2386.45,7889.0
2024-02-26 13:40:00,2386.55,2387.7,2385.6,2386.0,7393.0
2024-02-26 13:45:00,2385.85,2387.7,2385.0,2386.85,8170.0
2024-02-26 13:50:00,2386.95,2388.2,2386.05,2386.85,9305.0
2024-02-26 13:55:00,2386.75,2388.0,2385.65,2386.95,7060.0
2024-02-26 14:00:00,2386.5,2388.7,2386.5,2388.25,3738.0
2024-02-26 14:05:00,2388.4,2396.0,2388.4,2395.7,11693.0
2024-02-26 14:10:00,2395.75,2397.1,2393.3,2394.6,9060.0
2024-02-26 14:15:00,2394.3,2395.3,2392.45,2394.55,9726.0
2024-02-26 14:20:00,2394.4,2397.5,2394.2,2397.4,4364.0
2024-02-26 14:25:00,2397.25,2397.7,2395.65,2397.55,6882.0
2024-02-26 14:30:00,2398.0,2398.2,2395.9,2396.5,7281.0
2024-02-26 14:35:00,2396.25,2397.95,2395.15,2395.2,5463.0
2024-02-26 14:40:00,2395.15,2396.9,2394.5,2396.65,3630.0
2024-02-26 14:45:00,2396.7,2397.0,2394.75,2395.7,6272.0
