time,into,inth,intl,intc,v
2024-02-26 09:15:00,1642.0,1643.25,1632.05,1637.0,14131.0
2024-02-26 09:20:00,1636.75,1640.0,1636.1,1639.25,3266.0
2024-02-26 09:25:00,1638.55,1639.05,1635.2,1637.45,1815.0
2024-02-26 09:30:00,1637.45,1637.5,1635.05,1635.8,1672.0
2024-02-26 09:35:00,1635.75,1637.0,1635.55,1636.15,1460.0
2024-02-26 09:40:00,1636.15,1636.95,1634.7,1635.0,1245.0
2024-02-26 09:45:00,1635.35,1635.45,1633.8,1634.85,646.0
2024-02-26 09:50:00,1634.95,1635.45,1630.05,1631.7,2256.0
2024-02-26 09:55:00,1632.05,1634.95,1630.3,1634.95,1854.0
2024-02-26 10:00:00,1634.35,1641.2,1634.35,1639.85,5246.0
2024-02-26 10:05:00,1639.6,1646.95,1639.6,1643.0,3666.0
2024-02-26 10:10:00,1643.6,1644.55,1642.05,1642.85,2615.0
2024-02-26 10:15:00,1642.65,1644.6,1642.65,1643.95,781.0
2024-02-26 10:20:00,1643.7,1647.15,1643.2,1645.85,2239.0
2024-02-26 10:25:00,1647.0,1647.75,1645.6,1647.0,1507.0
2024-02-26 10:30:00,1647.5,1653.45,1647.5,1653.0,4419.0
2024-02-26 10:35:00,1653.0,1655.0,1651.6,1653.7,2933.0
2024-02-26 10:40:00,1652.0,1654.0,1651.55,1652.6,1225.0
2024-02-26 10:45:00,1651.6,1653.0,1650.05,1652.5,2297.0
2024-02-26 10:50:00,1652.5,1652.5,1649.05,1651.25,1665.0
2024-02-26 10:55:00,1651.25,1651.5,1648.05,1649.75,1715.0
2024-02-26 11:00:00,1650.05,1652.0,1648.6,1651.85,2293.0
2024-02-26 11:05:00,1651.8,1652.0,1651.0,1651.9,1027.0
2024-02-26 11:10:00,1651.95,1652.0,1649.05,1651.55,1560.0
2024-02-26 11:15:00,1651.7,1653.0,1649.8,1652.15,1302.0
2024-02-26 11:20:00,1652.85,1653.0,1651.35,1651.35,1293.0
2024-02-26 11:25:00,1651.35,1652.7,1651.35,1652.7,825.0
2024-02-26 11:30:00,1652.1,1652.75,1652.1,1652.75,1204.0
2024-02-26 11:35:00,1652.75,1654.65,1652.0,1654.65,1573.0
2024-02-26 11:40:00,1654.95,1656.95,1654.55,1656.5,4165.0
2024-02-26 11:45:00,1656.75,1659.65,1655.0,1655.2,7468.0
2024-02-26 11:50:00,1656.0,1657.0,1653.35,1654.55,3079.0
2024-02-26 11:55:00,1654.8,1654.95,1652.7,1654.5,1620.0
2024-02-26 12:00:00,1654.75,1655.0,1653.05,1654.5,1632.0
2024-02-26 12:05:00,1654.55,1654.95,1653.2,1654.1,1457.0
2024-02-26 12:10:00,1654.15,1654.55,1652.15,1654.5,1297.0
2024-02-26 12:15:00,1654.4,1655.45,1653.25,1653.5,9851.0
2024-02-26 12:20:00,1653.95,1657.35,1652.6,1654.55,7219.0
2024-02-26 12:25:00,1655.9,1659.0,1655.75,1657.65,3640.0
2024-02-26 12:30:00,1657.0,1657.75,1654.9,1655.4,2600.0
2024-02-26 12:35:00,1655.4,1655.85,1654.3,1655.85,2055.0
2024-02-26 12:40:00,1656.0,1658.0,1655.6,1657.0,1384.0
2024-02-26 12:45:00,1656.95,1658.9,1656.95,1658.15,677.0
2024-02-26 12:50:00,1658.15,1663.0,1657.85,1661.0,9961.0
2024-02-26 12:55:00,1660.4,1661.9,1659.55,1660.5,5018.0
2024-02-26 13:00:00,1660.5,1660.5,1657.75,1660.0,4114.0
2024-02-26 13:05:00,1660.0,1660.35,1658.2,1658.55,1998.0
2024-02-26 13:10:00,1658.65,1661.0,1658.05,1660.25,5839.0
2024-02-26 13:15:00,1660.35,1661.0,1659.1,1659.9,6289.0
2024-02-26 13:20:00,1659.25,1661.35,1657.9,1660.65,2878.0
2024-02-26 13:25:00,1660.9,1661.45,1659.45,1660.35,3094.0
2024-02-26 13:30:00,1660.5,1660.9,1658.45,1660.55,3026.0
2024-02-26 13:35:00,1660.85,1661.05,1660.35,1660.95,2236.0
2024-02-26 13:40:00,1660.95,1665.0,1660.35,1660.4,28343.0
2024-02-26 13:45:00,1660.8,1661.8,1660.25,1660.25,20220.0
2024-02-26 13:50:00,1660.2,1660.2,1657.85,1658.8,4459.0
2024-02-26 13:55:00,1658.7,1658.7,1653.95,1654.15,5693.0
2024-02-26 14:00:00,1655.2,1655.25,1652.4,1652.7,7181.0
2024-02-26 14:05:00,1652.5,1653.0,1652.0,1652.5,3506.0
2024-02-26 14:10:00,1652.9,1653.75,1652.55,1653.0,4577.0
2024-02-26 14:15:00,1652.85,1653.0,1651.5,1652.2,2672.0
2024-02-26 14:20:00,1652.0,1653.75,1652.0,1653.0,12572.0
2024-02-26 14:25:00,1652.85,1653.45,1652.0,1652.0,9095.0
2024-02-26 14:30:00,1652.0,1653.0,1651.0,1651.0,2991.0
2024-02-26 14:35:00,1650.95,1651.3,1648.35,1649.5,5871.0
2024-02-26 14:40:00,1649.5,1651.9,1649.25,1651.75,3849.0
2024-02-26 14:45:00,1651.75,1651.85,1649.0,1649.9,4556.0
2024-02-26 14:50:00,1649.9,1652.7,1649.75,1651.5,3786.0
2024-02-26 14:55:00,1652.2,1652.2,1650.5,1651.15,2880.0
2024-02-26 15:00:00,1651.15,1652.05,1649.5,1650.25,9767.0
2024-02-26 15:05:00,1649.5,1650.55,1648.35,1649.15,14323.0
2024-02-26 15:10:00,1649.45,1651.6,1649.4,1650.6,4436.0
2024-02-26 15:15:00,1650.9,1652.0,1649.5,1650.25,8245.0
2024-02-26 15:20:00,1650.45,1653.65,1649.55,1651.7,16743.0
2024-02-26 15:25:00,1651.1,1652.4,1649.25,1649.7,7412.0
2024-02-27 09:15:00,1673.95,1700.0,1657.25,1700.0,100081.0
2024-02-27 09:20:00,1699.0,1702.5,1692.05,1696.7,83359.0
2024-02-27 09:25:00,1696.85,1697.8,1683.1,1690.0,53699.0
2024-02-27 09:30:00,1690.6,1696.0,1687.05,1689.6,30336.0
2024-02-27 09:35:00,1690.75,1694.95,1687.3,1694.95,19544.0
2024-02-27 09:40:00,1695.0,1695.65,1686.25,1695.65,20256.0
2024-02-27 09:45:00,1695.0,1701.0,1695.0,1700.0,85910.0
2024-02-27 09:50:00,1698.85,1709.9,1698.8,1702.7,92658.0
2024-02-27 09:55:00,1702.75,1714.2,1702.05,1713.0,72852.0
2024-02-27 10:00:00,1713.7,1716.95,1708.05,1715.3,61019.0
2024-02-27 10:05:00,1715.65,1719.0,1707.55,1712.15,71373.0
2024-02-27 10:10:00,1712.15,1721.0,1711.8,1718.9,56272.0
2024-02-27 10:15:00,1718.9,1722.0,1715.25,1717.1,36213.0
2024-02-27 10:20:00,1717.05,1718.0,1703.65,1710.95,62834.0
2024-02-27 10:25:00,1710.5,1715.0,1710.1,1712.9,26187.0
2024-02-27 10:30:00,1712.9,1714.0,1711.35,1712.2,15377.0
2024-02-27 10:35:00,1712.15,1712.5,1706.5,1709.0,22326.0
2024-02-27 10:40:00,1708.1,1710.8,1707.65,1708.4,14860.0
2024-02-27 10:45:00,1708.15,1714.95,1707.75,1713.8,36053.0
2024-02-27 10:50:00,1714.0,1715.95,1713.1,1715.9,42612.0
