time,into,inth,intl,intc,v
2024-02-26 09:15:00,524.8,524.8,520.45,522.75,17425.0
2024-02-26 09:20:00,523.0,523.0,520.55,522.25,33996.0
2024-02-26 09:25:00,522.4,523.35,522.15,522.4,5555.0
2024-02-26 09:30:00,522.65,522.65,522.2,522.2,1446.0
2024-02-26 09:35:00,522.2,522.9,521.5,522.55,6749.0
2024-02-26 09:40:00,523.0,524.5,522.15,524.5,20235.0
2024-02-26 09:45:00,524.6,526.75,524.6,526.3,36953.0
2024-02-26 09:50:00,526.35,526.85,523.65,525.3,26829.0
2024-02-26 09:55:00,525.3,527.0,525.15,526.9,37174.0
2024-02-26 10:00:00,526.65,526.9,526.0,526.0,17197.0
2024-02-26 10:05:00,525.85,526.7,525.85,526.45,5594.0
2024-02-26 10:10:00,526.45,526.7,526.1,526.7,9165.0
2024-02-26 10:15:00,526.7,527.45,526.5,527.25,40153.0
2024-02-26 10:20:00,527.25,528.2,526.85,527.95,49404.0
2024-02-26 10:25:00,527.95,527.95,526.3,526.3,15043.0
2024-02-26 10:30:00,526.5,526.5,525.15,525.95,12382.0
2024-02-26 10:35:00,525.8,526.35,525.2,525.2,15647.0
2024-02-26 10:40:00,525.4,525.4,524.3,524.75,16308.0
2024-02-26 10:45:00,524.65,524.85,524.2,524.85,10917.0
2024-02-26 10:50:00,524.6,524.9,523.6,524.6,10344.0
2024-02-26 10:55:00,524.9,526.0,524.9,525.65,14458.0
2024-02-26 11:00:00,525.65,526.75,525.65,526.4,6522.0
2024-02-26 11:05:00,526.6,526.95,525.8,525.85,9259.0
2024-02-26 11:10:00,525.85,526.0,525.5,525.6,5576.0
2024-02-26 11:15:00,525.6,525.6,524.6,524.95,7936.0
2024-02-26 11:20:00,525.25,525.25,524.85,525.0,4950.0
2024-02-26 11:25:00,525.0,525.15,524.2,524.55,4530.0
2024-02-26 11:30:00,524.75,525.5,524.65,525.0,5627.0
2024-02-26 11:35:00,525.0,525.75,524.75,525.75,205770.0
2024-02-26 11:40:00,525.3,526.0,525.05,525.4,14688.0
2024-02-26 11:45:00,525.4,526.0,525.35,526.0,2609.0
2024-02-26 11:50:00,525.8,526.0,525.15,525.4,4444.0
2024-02-26 11:55:00,525.05,525.05,523.4,524.1,10019.0
2024-02-26 12:00:00,524.4,524.7,524.15,524.5,1562.0
2024-02-26 12:05:00,524.5,524.8,524.5,524.7,2386.0
2024-02-26 12:10:00,524.55,524.55,523.55,523.6,4417.0
2024-02-26 12:15:00,523.6,524.15,523.6,524.0,2706.0
2024-02-26 12:20:00,523.75,525.2,523.55,524.75,6086.0
2024-02-26 12:25:00,525.05,525.5,524.6,525.05,6723.0
2024-02-26 12:30:00,525.15,525.55,524.95,525.15,7607.0
2024-02-26 12:35:00,525.2,525.6,525.0,525.6,2679.0
