time,into,inth,intl,intc,v
2024-02-26 09:15:00,494.4,494.4,487.4,487.85,53268.0
2024-02-26 09:20:00,487.2,490.3,486.35,489.6,65398.0
2024-02-26 09:25:00,489.45,490.3,488.9,490.05,17935.0
2024-02-26 09:30:00,490.35,490.35,488.8,489.35,62687.0
2024-02-26 09:35:00,489.6,490.95,489.55,490.4,16619.0
2024-02-26 09:40:00,490.25,490.4,489.15,489.95,24300.0
2024-02-26 09:45:00,490.15,490.35,486.8,486.8,61899.0
2024-02-26 09:50:00,487.0,487.2,482.85,485.5,247330.0
2024-02-26 09:55:00,485.5,486.75,483.0,484.5,141969.0
2024-02-26 10:00:00,484.4,484.6,482.55,483.6,657835.0
2024-02-26 10:05:00,483.05,484.6,482.7,484.25,107522.0
2024-02-26 10:10:00,484.35,485.75,483.25,485.75,36435.0
2024-02-26 10:15:00,486.15,486.15,484.05,484.1,41127.0
2024-02-26 10:20:00,484.1,484.75,483.6,484.3,26742.0
2024-02-26 10:25:00,484.15,486.0,484.05,484.45,7553.0
2024-02-26 10:30:00,484.6,485.75,483.85,485.7,20394.0
2024-02-26 10:35:00,485.4,485.6,484.65,484.7,11861.0
2024-02-26 10:40:00,484.85,485.25,482.5,483.4,61863.0
2024-02-26 10:45:00,483.4,484.65,483.15,483.7,31446.0
2024-02-26 10:50:00,483.7,483.8,483.1,483.8,17947.0
2024-02-26 10:55:00,483.8,485.0,483.35,484.6,11778.0
2024-02-26 11:00:00,484.85,486.9,484.6,486.8,31288.0
2024-02-26 11:05:00,486.85,486.95,485.3,485.5,32789.0
2024-02-26 11:10:00,485.5,486.15,485.0,486.15,52836.0
2024-02-26 11:15:00,486.15,486.9,486.0,486.0,36596.0
2024-02-26 11:20:00,486.0,486.75,486.0,486.4,13556.0
2024-02-26 11:25:00,486.1,486.4,485.7,486.15,10865.0
2024-02-26 11:30:00,486.0,486.35,485.7,485.85,13206.0
2024-02-26 11:35:00,486.2,486.4,485.65,486.05,22287.0
2024-02-26 11:40:00,486.0,486.55,486.0,486.4,15772.0
2024-02-26 11:45:00,486.25,486.6,486.0,486.25,10624.0
2024-02-26 11:50:00,486.25,486.45,485.65,486.45,24780.0
2024-02-26 11:55:00,486.45,486.9,485.85,486.8,25289.0
2024-02-26 12:00:00,486.8,486.8,486.0,486.25,28165.0
2024-02-26 12:05:00,486.0,486.7,486.0,486.35,23953.0
2024-02-26 12:10:00,486.35,486.4,485.0,485.05,175310.0
2024-02-26 12:15:00,485.05,485.85,484.25,485.25,73317.0
2024-02-26 12:20:00,485.0,486.05,484.9,485.75,40406.0
2024-02-26 12:25:00,485.6,486.05,483.55,486.0,84052.0
2024-02-26 12:30:00,486.0,486.35,485.15,485.9,37807.0
2024-02-26 12:35:00,485.85,486.15,483.75,485.25,47563.0
2024-02-26 12:40:00,485.35,485.55,484.65,484.85,28046.0
2024-02-26 12:45:00,484.85,485.5,484.05,484.35,76411.0
2024-02-26 12:50:00,484.2,486.25,484.2,485.75,67688.0
2024-02-26 12:55:00,485.7,486.15,484.75,485.75,42454.0
2024-02-26 13:00:00,485.55,485.85,484.55,484.75,87506.0
2024-02-26 13:05:00,484.65,485.8,484.5,484.9,64948.0
2024-02-26 13:10:00,484.95,485.8,484.75,485.5,70055.0
2024-02-26 13:15:00,485.25,486.2,484.95,485.6,116293.0
2024-02-26 13:20:00,485.55,485.95,485.05,485.95,41517.0
2024-02-26 13:25:00,485.65,486.4,485.3,485.95,29561.0
2024-02-26 13:30:00,485.75,486.15,485.25,485.6,38129.0
2024-02-26 13:35:00,485.3,486.4,485.3,486.2,38420.0
2024-02-26 13:40:00,485.95,486.15,485.4,485.7,31401.0
2024-02-26 13:45:00,485.65,487.25,485.05,487.05,115821.0
2024-02-26 13:50:00,486.85,487.6,486.65,486.95,57122.0
2024-02-26 13:55:00,486.7,487.05,485.35,486.6,94204.0
2024-02-26 14:00:00,486.35,488.8,486.15,488.8,38301.0
2024-02-26 14:05:00,488.7,490.0,488.05,488.9,54524.0
2024-02-26 14:10:00,488.9,489.25,488.0,488.1,31491.0
2024-02-26 14:15:00,488.1,489.2,487.4,488.85,22324.0
2024-02-26 14:20:00,488.8,491.0,488.7,490.8,96798.0
2024-02-26 14:25:00,490.25,491.15,488.0,488.05,41343.0
2024-02-26 14:30:00,488.05,488.8,486.95,487.4,19879.0
2024-02-26 14:35:00,487.45,487.95,485.95,486.2,19873.0
2024-02-26 14:40:00,486.15,487.25,485.6,486.95,26597.0
2024-02-26 14:45:00,487.05,487.6,486.4,486.4,29703.0
2024-02-26 14:50:00,486.4,487.75,485.7,486.8,54950.0
2024-02-26 14:55:00,486.55,487.4,486.25,487.1,53426.0
2024-02-26 15:00:00,486.8,487.7,485.5,486.0,143361.0
2024-02-26 15:05:00,486.0,487.2,485.35,486.2,182143.0
2024-02-26 15:10:00,486.05,487.3,485.7,486.25,156597.0
2024-02-26 15:15:00,486.2,488.05,486.0,488.05,126015.0
2024-02-26 15:20:00,487.8,487.8,485.85,486.2,154713.0
2024-02-26 15:25:00,485.9,488.55,485.9,487.6,86219.0
2024-02-27 09:15:00,488.1,492.35,488.1,491.45,35714.0
2024-02-27 09:20:00,491.45,491.9,489.1,489.85,20445.0
2024-02-27 09:25:00,489.7,489.8,487.05,487.05,20856.0
2024-02-27 09:30:00,487.0,487.25,486.0,486.65,18096.0
2024-02-27 09:35:00,486.55,486.85,485.65,486.05,36017.0
2024-02-27 09:40:00,485.55,486.1,485.55,485.95,19163.0
