time,into,inth,intl,intc,v
2024-02-26 09:15:00,3677.0,3684.65,3659.05,3663.0,7840.0
2024-02-26 09:20:00,3663.0,3678.4,3657.5,3670.1,4003.0
2024-02-26 09:25:00,3668.2,3670.95,3655.25,3661.4,4264.0
2024-02-26 09:30:00,3664.0,3664.95,3655.8,3660.0,3094.0
2024-02-26 09:35:00,3660.5,3662.6,3656.0,3659.9,2406.0
2024-02-26 09:40:00,3661.6,3671.0,3660.0,3660.65,3619.0
2024-02-26 09:45:00,3661.2,3666.25,3656.75,3656.75,1871.0
2024-02-26 09:50:00,3651.2,3651.75,3633.05,3642.5,9342.0
2024-02-26 09:55:00,3642.5,3643.0,3633.05,3635.05,3358.0
2024-02-26 10:00:00,3629.1,3633.8,3623.75,3626.1,4805.0
2024-02-26 10:05:00,3626.15,3642.9,3626.1,3641.4,3263.0
2024-02-26 10:10:00,3642.0,3646.95,3642.0,3642.4,2245.0
2024-02-26 10:15:00,3644.15,3644.25,3638.0,3640.85,1878.0
2024-02-26 10:20:00,3641.9,3645.95,3638.85,3645.95,2024.0
2024-02-26 10:25:00,3646.0,3649.0,3639.1,3639.5,1244.0
2024-02-26 10:30:00,3639.5,3642.4,3632.0,3642.35,2832.0
2024-02-26 10:35:00,3643.2,3645.75,3642.4,3645.6,507.0
2024-02-26 10:40:00,3643.2,3649.0,3642.0,3646.65,1592.0
2024-02-26 10:45:00,3646.4,3680.0,3644.3,3678.0,14448.0
2024-02-26 10:50:00,3679.95,3680.0,3671.4,3680.0,5824.0
2024-02-26 10:55:00,3679.0,3693.25,3675.65,3679.55,12533.0
2024-02-26 11:00:00,3679.7,3689.95,3677.0,3685.4,6669.0
2024-02-26 11:05:00,3685.0,3689.9,3683.05,3685.5,2131.0
2024-02-26 11:10:00,3685.65,3696.95,3685.05,3694.6,9337.0
2024-02-26 11:15:00,3694.95,3705.0,3687.95,3705.0,8564.0
2024-02-26 11:20:00,3704.2,3704.2,3695.65,3698.8,3926.0
2024-02-26 11:25:00,3697.05,3700.05,3695.75,3700.05,1943.0
2024-02-26 11:30:00,3700.1,3700.3,3695.05,3695.1,1602.0
2024-02-26 11:35:00,3693.15,3693.9,3682.5,3684.4,4110.0
2024-02-26 11:40:00,3685.3,3689.85,3684.55,3689.1,2219.0
2024-02-26 11:45:00,3687.15,3689.0,3684.65,3688.0,1772.0
2024-02-26 11:50:00,3686.55,3688.9,3678.35,3678.35,1362.0
2024-02-26 11:55:00,3678.35,3685.0,3678.35,3684.0,956.0
2024-02-26 12:00:00,3682.1,3688.45,3680.1,3686.3,1311.0
2024-02-26 12:05:00,3689.7,3693.5,3684.6,3691.3,4377.0
2024-02-26 12:10:00,3691.3,3692.95,3686.05,3692.1,3195.0
2024-02-26 12:15:00,3692.1,3693.0,3690.35,3690.55,831.0
2024-02-26 12:20:00,3690.0,3695.0,3690.0,3693.55,1476.0
2024-02-26 12:25:00,3693.0,3704.9,3693.0,3703.0,5476.0
2024-02-26 12:30:00,3703.9,3705.0,3702.5,3703.9,2190.0
