time,into,inth,intl,intc,v
2024-02-26 09:15:00,1520.05,1537.0,1520.05,1535.0,6341.0
2024-02-26 09:20:00,1536.1,1536.1,1526.05,1526.8,5212.0
2024-02-26 09:25:00,1526.3,1526.95,1522.55,1525.05,6185.0
2024-02-26 09:30:00,1525.0,1525.0,1521.15,1524.25,3308.0
2024-02-26 09:35:00,1523.3,1525.0,1521.6,1525.0,2274.0
2024-02-26 09:40:00,1526.95,1527.4,1521.05,1521.05,1846.0
2024-02-26 09:45:00,1521.85,1522.95,1518.55,1518.55,2635.0
2024-02-26 09:50:00,1518.55,1518.55,1511.3,1515.9,4638.0
2024-02-26 09:55:00,1515.0,1515.0,1508.7,1509.35,3160.0
2024-02-26 10:00:00,1508.55,1512.3,1507.55,1510.25,3489.0
2024-02-26 10:05:00,1511.1,1515.55,1511.1,1512.15,3216.0
2024-02-26 10:10:00,1513.8,1513.85,1511.6,1511.75,1082.0
2024-02-26 10:15:00,1510.2,1511.0,1508.0,1511.0,8365.0
2024-02-26 10:20:00,1511.85,1513.2,1511.0,1513.2,1231.0
2024-02-26 10:25:00,1513.65,1513.7,1509.05,1509.05,1155.0
2024-02-26 10:30:00,1510.15,1513.0,1507.95,1512.8,2718.0
2024-02-26 10:35:00,1512.55,1512.95,1510.8,1512.95,1135.0
2024-02-26 10:40:00,1511.65,1511.75,1510.0,1510.0,3110.0
2024-02-26 10:45:00,1510.0,1510.3,1509.05,1509.9,704.0
2024-02-26 10:50:00,1508.9,1510.05,1508.9,1509.1,1312.0
2024-02-26 10:55:00,1509.75,1509.75,1505.55,1506.5,4747.0
2024-02-26 11:00:00,1505.6,1511.0,1503.6,1510.1,4787.0
2024-02-26 11:05:00,1511.0,1512.5,1510.0,1512.45,1433.0
2024-02-26 11:10:00,1512.6,1512.75,1510.55,1510.55,813.0
2024-02-26 11:15:00,1510.5,1510.5,1508.95,1509.85,924.0
2024-02-26 11:20:00,1510.0,1510.3,1508.85,1510.2,1079.0
2024-02-26 11:25:00,1509.45,1509.95,1507.6,1507.7,1570.0
2024-02-26 11:30:00,1507.7,1508.2,1504.0,1504.9,3148.0
2024-02-26 11:35:00,1504.0,1504.8,1503.35,1504.2,3357.0
2024-02-26 11:40:00,1504.45,1504.45,1500.0,1503.3,4143.0
2024-02-26 11:45:00,1502.85,1504.75,1502.85,1503.1,2209.0
2024-02-26 11:50:00,1503.1,1503.5,1500.35,1500.7,2186.0
2024-02-26 11:55:00,1499.85,1501.6,1498.45,1501.6,2395.0
2024-02-26 12:00:00,1501.7,1502.3,1500.75,1501.9,1022.0
2024-02-26 12:05:00,1502.5,1504.2,1501.6,1503.25,891.0
2024-02-26 12:10:00,1502.4,1505.0,1500.75,1503.65,6554.0
2024-02-26 12:15:00,1502.45,1503.5,1499.65,1501.0,1590.0
2024-02-26 12:20:00,1500.25,1501.05,1499.5,1500.35,1311.0
2024-02-26 12:25:00,1499.75,1500.3,1499.55,1500.2,672.0
2024-02-26 12:30:00,1500.2,1502.6,1498.7,1502.05,4928.0
2024-02-26 12:35:00,1502.7,1502.7,1500.85,1501.2,725.0
2024-02-26 12:40:00,1501.0,1504.0,1501.0,1503.75,1500.0
2024-02-26 12:45:00,1504.0,1504.0,1501.15,1501.15,969.0
2024-02-26 12:50:00,1500.95,1501.85,1499.35,1501.35,850.0
2024-02-26 12:55:00,1501.35,1502.35,1500.7,1502.0,1161.0
2024-02-26 13:00:00,1501.0,1502.05,1499.95,1500.5,1668.0
2024-02-26 13:05:00,1501.3,1502.4,1500.5,1501.55,1182.0
2024-02-26 13:10:00,1501.55,1502.25,1501.0,1501.45,3509.0
2024-02-26 13:15:00,1501.95,1502.6,1500.6,1501.0,2859.0
2024-02-26 13:20:00,1501.0,1501.7,1501.0,1501.7,482.0
2024-02-26 13:25:00,1501.2,1505.65,1501.2,1505.5,59043.0
2024-02-26 13:30:00,1505.7,1507.85,1505.0,1507.75,3243.0
2024-02-26 13:35:00,1507.9,1509.05,1507.0,1507.7,1936.0
2024-02-26 13:40:00,1508.8,1508.8,1507.0,1507.95,200797.0
2024-02-26 13:45:00,1507.45,1509.3,1507.2,1507.2,6044.0
2024-02-26 13:50:00,1507.7,1511.15,1507.6,1511.15,1690.0
2024-02-26 13:55:00,1511.15,1511.15,1507.45,1510.65,1603.0
2024-02-26 14:00:00,1511.2,1512.95,1510.0,1512.8,2401.0
2024-02-26 14:05:00,1512.1,1512.95,1510.1,1510.1,972.0
2024-02-26 14:10:00,1510.1,1511.65,1509.85,1510.95,1715.0
2024-02-26 14:15:00,1510.05,1514.85,1510.05,1513.35,1725.0
2024-02-26 14:20:00,1513.2,1514.25,1511.7,1513.0,960.0
2024-02-26 14:25:00,1513.0,1514.7,1511.6,1513.35,1796.0
2024-02-26 14:30:00,1514.3,1515.3,1513.25,1514.95,3050.0
2024-02-26 14:35:00,1514.45,1515.4,1514.2,1514.4,1467.0
2024-02-26 14:40:00,1514.2,1514.2,1511.3,1511.3,919.0
2024-02-26 14:45:00,1512.0,1514.8,1510.9,1511.5,3203.0
2024-02-26 14:50:00,1510.75,1513.5,1510.3,1512.25,1180.0
2024-02-26 14:55:00,1512.15,1513.5,1512.15,1512.95,679.0
2024-02-26 15:00:00,1512.5,1512.55,1508.55,1509.5,7777.0
2024-02-26 15:05:00,1509.5,1509.5,1505.55,1506.5,3365.0
2024-02-26 15:10:00,1506.8,1508.0,1505.0,1507.4,9392.0
2024-02-26 15:15:00,1506.65,1506.65,1502.35,1502.75,5276.0
2024-02-26 15:20:00,1502.5,1503.05,1502.3,1502.85,5980.0
2024-02-26 15:25:00,1502.5,1506.75,1501.1,1506.2,5743.0
2024-02-27 09:15:00,1504.65,1510.55,1499.0,1509.85,12040.0
2024-02-27 09:20:00,1510.85,1512.8,1507.0,1512.5,3658.0
2024-02-27 09:25:00,1512.5,1513.6,1511.0,1513.2,2788.0
2024-02-27 09:30:00,1513.1,1520.0,1510.45,1518.85,4460.0
2024-02-27 09:35:00,1518.8,1518.95,1515.15,1517.05,5475.0
2024-02-27 09:40:00,1516.5,1517.8,1514.2,1517.4,1787.0
2024-02-27 09:45:00,1516.55,1519.95,1516.0,1516.4,3037.0
2024-02-27 09:50:00,1517.2,1517.2,1513.05,1513.45,1502.0
2024-02-27 09:55:00,1513.45,1515.5,1513.45,1515.15,1370.0
2024-02-27 10:00:00,1515.0,1517.0,1513.3,1513.3,1485.0
2024-02-27 10:05:00,1513.3,1513.3,1511.05,1511.05,1563.0
2024-02-27 10:10:00,1511.05,1514.6,1509.1,1512.95,5335.0
2024-02-27 10:15:00,1513.95,1514.85,1513.45,1514.5,413.0
2024-02-27 10:20:00,1515.0,1516.1,1513.0,1513.8,3347.0
2024-02-27 10:25:00,1513.8,1515.15,1511.15,1514.4,587.0
2024-02-27 10:30:00,1514.65,1515.2,1513.8,1513.8,516.0
2024-02-27 10:35:00,1513.8,1514.8,1512.55,1513.15,972.0
2024-02-27 10:40:00,1513.15,1514.95,1511.45,1514.95,2043.0
2024-02-27 10:45:00,1514.9,1515.95,1513.7,1514.7,2273.0
2024-02-27 10:50:00,1514.8,1515.0,1513.55,1514.0,341.0
2024-02-27 10:55:00,1512.8,1514.45,1512.8,1513.55,1039.0
2024-02-27 11:00:00,1513.7,1515.15,1513.0,1515.15,1839.0
2024-02-27 11:05:00,1515.15,1515.3,1514.05,1514.75,1257.0
2024-02-27 11:10:00,1514.95,1515.85,1514.7,1515.0,1140.0
2024-02-27 11:15:00,1515.0,1515.8,1513.2,1513.9,2849.0
2024-02-27 11:20:00,1513.9,1514.35,1512.9,1513.15,1233.0
2024-02-27 11:25:00,1513.15,1515.8,1513.0,1514.75,2048.0
2024-02-27 11:30:00,1514.8,1515.95,1514.8,1515.15,3212.0
2024-02-27 11:35:00,1514.95,1515.75,1514.65,1514.7,1615.0
2024-02-27 11:40:00,1514.05,1518.9,1511.9,1518.45,9570.0
2024-02-27 11:45:00,1518.45,1518.9,1512.95,1516.15,12355.0
2024-02-27 11:50:00,1516.15,1516.15,1512.3,1513.1,7327.0
2024-02-27 11:55:00,1513.25,1514.35,1512.15,1512.45,4985.0
2024-02-27 12:00:00,1512.5,1513.2,1509.6,1509.9,4713.0
2024-02-27 12:05:00,1508.95,1508.95,1506.3,1508.3,3022.0
2024-02-27 12:10:00,1507.6,1509.05,1504.15,1509.0,8687.0
2024-02-27 12:15:00,1508.95,1510.95,1508.25,1508.8,6352.0
2024-02-27 12:20:00,1508.95,1512.6,1508.8,1512.6,2801.0
2024-02-27 12:25:00,1512.6,1514.05,1510.55,1514.05,2971.0
2024-02-27 12:30:00,1514.75,1515.35,1513.8,1514.45,2941.0
2024-02-27 12:35:00,1514.5,1515.6,1514.35,1515.45,1443.0
2024-02-27 12:40:00,1514.95,1515.65,1514.1,1514.1,4441.0
2024-02-27 12:45:00,1514.15,1515.55,1514.15,1515.5,1176.0
2024-02-27 12:50:00,1515.5,1515.65,1514.95,1515.0,2963.0
2024-02-27 12:55:00,1515.0,1515.45,1514.05,1515.05,1489.0
2024-02-27 13:00:00,1515.05,1515.9,1514.2,1514.95,1880.0
2024-02-27 13:05:00,1515.0,1515.1,1513.1,1513.85,818.0
2024-02-27 13:10:00,1513.9,1515.1,1513.6,1515.1,1687.0
2024-02-27 13:15:00,1515.1,1515.6,1514.95,1515.0,1766.0
2024-02-27 13:20:00,1515.1,1515.7,1514.2,1514.25,2043.0
2024-02-27 13:25:00,1515.0,1515.15,1513.75,1514.95,1107.0
2024-02-27 13:30:00,1515.0,1515.1,1512.4,1515.0,3270.0
