time,into,inth,intl,intc,v
2024-02-26 09:15:00,938.0,939.0,930.0,934.15,41770.0
2024-02-26 09:20:00,933.65,936.3,933.35,934.3,14115.0
2024-02-26 09:25:00,934.3,934.55,931.2,931.2,14608.0
2024-02-26 09:30:00,929.8,931.05,927.1,928.5,20219.0
2024-02-26 09:35:00,928.45,930.15,925.95,929.0,19038.0
2024-02-26 09:40:00,928.75,929.4,926.75,927.0,12186.0
2024-02-26 09:45:00,927.05,927.75,925.05,926.0,8238.0
2024-02-26 09:50:00,925.0,926.0,923.05,924.95,14945.0
2024-02-26 09:55:00,925.35,925.4,919.0,919.0,23667.0
2024-02-26 10:00:00,918.95,919.55,915.25,917.45,42522.0
2024-02-26 10:05:00,917.45,917.9,908.3,915.95,77581.0
2024-02-26 10:10:00,915.95,917.1,912.2,916.1,32562.0
2024-02-26 10:15:00,915.6,918.6,914.25,916.0,28395.0
2024-02-26 10:20:00,916.15,917.45,915.0,916.0,12461.0
2024-02-26 10:25:00,915.95,918.1,915.15,916.0,19666.0
2024-02-26 10:30:00,916.0,922.7,915.1,920.65,37488.0
2024-02-26 10:35:00,920.65,920.65,916.2,917.15,7205.0
2024-02-26 10:40:00,917.15,917.15,915.3,916.35,17013.0
2024-02-26 10:45:00,916.35,916.35,915.0,915.9,6135.0
2024-02-26 10:50:00,915.9,916.35,914.0,914.95,7183.0
2024-02-26 10:55:00,914.2,920.3,914.2,918.65,18706.0
2024-02-26 11:00:00,918.5,919.15,915.85,917.75,12719.0
2024-02-26 11:05:00,918.0,919.3,916.0,916.75,9359.0
2024-02-26 11:10:00,916.2,917.55,914.5,915.9,9913.0
2024-02-26 11:15:00,916.0,916.0,913.6,913.6,12548.0
2024-02-26 11:20:00,913.1,914.25,912.35,913.4,13725.0
2024-02-26 11:25:00,913.45,914.2,912.45,913.85,9144.0
2024-02-26 11:30:00,913.85,913.95,911.5,911.55,12117.0
2024-02-26 11:35:00,911.3,912.15,910.0,911.0,10560.0
2024-02-26 11:40:00,911.0,911.8,910.0,911.55,11761.0
2024-02-26 11:45:00,911.55,912.05,910.45,911.5,6932.0
2024-02-26 11:50:00,910.65,912.6,910.45,911.35,6736.0
2024-02-26 11:55:00,911.05,911.25,910.0,911.2,5252.0
2024-02-26 12:00:00,910.7,914.75,910.45,913.95,9046.0
2024-02-26 12:05:00,914.3,915.35,913.0,913.0,8427.0
2024-02-26 12:10:00,913.9,914.2,910.85,912.6,6736.0
2024-02-26 12:15:00,913.0,914.15,910.45,910.45,8652.0
2024-02-26 12:20:00,911.3,911.8,910.05,910.6,4155.0
2024-02-26 12:25:00,910.55,911.6,910.35,911.0,5781.0
2024-02-26 12:30:00,910.7,911.55,910.45,911.55,4416.0
2024-02-26 12:35:00,912.0,912.1,910.4,911.45,4648.0
2024-02-26 12:40:00,911.45,912.0,910.6,911.35,4680.0
2024-02-26 12:45:00,911.35,911.7,910.0,911.0,7065.0
2024-02-26 12:50:00,910.95,911.55,910.25,911.15,2200.0
2024-02-26 12:55:00,911.15,912.15,910.5,910.5,13344.0
2024-02-26 13:00:00,911.8,911.9,910.05,911.1,4980.0
2024-02-26 13:05:00,911.1,911.85,910.35,911.65,6079.0
2024-02-26 13:10:00,911.65,911.75,910.35,911.65,6456.0
2024-02-26 13:15:00,911.65,911.65,909.0,910.0,15670.0
2024-02-26 13:20:00,910.2,910.85,909.0,910.0,13423.0
2024-02-26 13:25:00,910.2,910.3,909.0,910.05,7252.0
2024-02-26 13:30:00,910.05,912.2,909.05,911.6,6708.0
2024-02-26 13:35:00,911.95,914.0,911.95,912.6,19987.0
2024-02-26 13:40:00,912.9,913.1,911.85,912.8,4921.0
2024-02-26 13:45:00,912.8,914.95,912.0,914.2,7785.0
2024-02-26 13:50:00,914.0,914.9,913.45,914.15,7472.0
2024-02-26 13:55:00,914.2,914.4,912.05,912.4,4778.0
2024-02-26 14:00:00,912.95,913.5,912.3,913.1,3159.0
2024-02-26 14:05:00,913.0,914.25,912.3,914.25,5143.0
2024-02-26 14:10:00,914.0,914.5,911.0,911.8,13222.0
2024-02-26 14:15:00,912.1,912.35,911.2,911.55,5239.0
2024-02-26 14:20:00,912.0,912.5,911.65,912.35,3677.0
2024-02-26 14:25:00,912.35,913.15,911.7,911.7,4043.0
2024-02-26 14:30:00,912.65,912.8,911.5,912.0,4389.0
2024-02-26 14:35:00,912.0,912.8,910.35,911.45,11307.0
2024-02-26 14:40:00,911.15,912.2,910.3,911.05,6850.0
2024-02-26 14:45:00,910.35,911.55,908.75,909.6,15000.0
2024-02-26 14:50:00,909.6,910.0,908.0,909.5,10436.0
2024-02-26 14:55:00,909.65,910.0,908.05,909.0,11108.0
2024-02-26 15:00:00,908.85,911.05,908.05,908.5,14961.0
2024-02-26 15:05:00,908.55,910.0,908.0,910.0,12543.0
2024-02-26 15:10:00,910.15,910.35,909.0,909.45,9469.0
2024-02-26 15:15:00,909.85,910.5,908.4,910.5,30118.0
2024-02-26 15:20:00,911.0,911.9,909.1,909.5,22292.0
2024-02-26 15:25:00,909.15,910.0,907.5,910.0,25887.0
2024-02-27 09:15:00,915.0,924.7,910.7,916.45,93911.0
2024-02-27 09:20:00,915.8,917.0,913.8,915.05,23083.0
2024-02-27 09:25:00,915.3,919.75,914.7,917.75,19820.0
2024-02-27 09:30:00,918.05,920.05,915.85,919.0,24483.0
2024-02-27 09:35:00,919.4,919.8,916.9,917.5,9202.0
2024-02-27 09:40:00,917.5,919.5,915.35,919.5,10957.0
2024-02-27 09:45:00,919.7,922.95,919.05,919.35,27601.0
2024-02-27 09:50:00,919.35,919.5,917.45,918.65,5718.0
