time,into,inth,intl,intc,v
2024-02-26 09:15:00,4812.9,4835.9,4798.05,4826.6,22207.0
2024-02-26 09:20:00,4828.6,4839.9,4824.05,4829.75,21341.0
2024-02-26 09:25:00,4827.1,4867.6,4819.25,4855.65,24939.0
2024-02-26 09:30:00,4853.25,4859.9,4846.05,4851.0,13639.0
2024-02-26 09:35:00,4851.9,4851.9,4831.05,4831.4,13355.0
2024-02-26 09:40:00,4831.0,4844.1,4831.0,4842.35,7261.0
2024-02-26 09:45:00,4841.05,4845.3,4820.1,4820.1,20125.0
2024-02-26 09:50:00,4820.0,4827.55,4798.05,4811.75,57162.0
2024-02-26 09:55:00,4811.45,4814.05,4800.0,4800.2,38790.0
2024-02-26 10:00:00,4800.0,4809.0,4787.1,4792.45,19653.0
2024-02-26 10:05:00,4793.05,4800.6,4776.25,4781.6,16880.0
2024-02-26 10:10:00,4781.0,4783.15,4767.4,4776.75,11605.0
2024-02-26 10:15:00,4778.7,4790.0,4766.0,4777.55,14032.0
2024-02-26 10:20:00,4780.45,4780.95,4775.0,4775.85,2484.0
2024-02-26 10:25:00,4778.75,4785.9,4770.0,4773.05,8771.0
2024-02-26 10:30:00,4770.95,4773.9,4761.55,4766.3,5433.0
2024-02-26 10:35:00,4763.6,4768.7,4756.35,4758.4,6246.0
2024-02-26 10:40:00,4756.1,4763.25,4737.65,4738.8,11326.0
2024-02-26 10:45:00,4738.35,4771.95,4735.0,4765.7,15967.0
2024-02-26 10:50:00,4765.6,4775.0,4764.65,4775.0,5756.0
2024-02-26 10:55:00,4773.3,4788.95,4762.15,4775.4,9617.0
2024-02-26 11:00:00,4775.55,4787.0,4773.0,4785.4,4903.0
2024-02-26 11:05:00,4785.4,4789.0,4776.45,4784.95,4986.0
2024-02-26 11:10:00,4785.0,4785.0,4762.2,4765.7,5773.0
2024-02-26 11:15:00,4763.6,4784.75,4761.55,4780.45,19483.0
2024-02-26 11:20:00,4779.7,4784.0,4767.55,4770.0,6144.0
2024-02-26 11:25:00,4770.0,4771.95,4762.4,4766.3,2338.0
2024-02-26 11:30:00,4768.0,4773.9,4764.8,4767.6,3539.0
2024-02-26 11:35:00,4768.75,4773.55,4762.8,4773.0,1671.0
2024-02-26 11:40:00,4773.0,4773.0,4764.85,4768.25,1414.0
2024-02-26 11:45:00,4768.9,4772.25,4767.2,4769.95,1765.0
2024-02-26 11:50:00,4770.45,4773.65,4764.0,4767.5,4682.0
2024-02-26 11:55:00,4767.7,4772.45,4761.0,4761.0,16538.0
2024-02-26 12:00:00,4764.35,4768.5,4745.95,4745.95,6796.0
2024-02-26 12:05:00,4744.0,4751.8,4737.35,4748.2,6842.0
2024-02-26 12:10:00,4749.8,4752.9,4733.0,4738.7,9821.0
2024-02-26 12:15:00,4736.85,4736.85,4716.1,4721.8,14561.0
2024-02-26 12:20:00,4724.0,4725.45,4709.0,4720.0,9080.0
2024-02-26 12:25:00,4722.0,4733.35,4718.0,4730.0,7242.0
2024-02-26 12:30:00,4730.0,4734.7,4720.9,4731.9,4266.0
2024-02-26 12:35:00,4729.85,4729.85,4720.25,4725.0,4934.0
2024-02-26 12:40:00,4724.6,4727.1,4713.7,4715.85,7233.0
2024-02-26 12:45:00,4714.8,4721.0,4711.7,4717.55,6730.0
2024-02-26 12:50:00,4717.5,4733.0,4713.6,4732.05,9011.0
2024-02-26 12:55:00,4728.3,4740.0,4728.3,4738.3,7348.0
2024-02-26 13:00:00,4737.7,4740.0,4727.55,4735.3,4200.0
2024-02-26 13:05:00,4732.9,4740.0,4729.2,4740.0,6944.0
2024-02-26 13:10:00,4740.0,4744.35,4726.6,4731.8,22841.0
2024-02-26 13:15:00,4732.75,4740.6,4727.6,4735.7,19351.0
2024-02-26 13:20:00,4737.35,4738.5,4723.3,4733.55,9876.0
2024-02-26 13:25:00,4733.55,4734.0,4718.5,4729.3,6167.0
2024-02-26 13:30:00,4729.3,4729.3,4715.85,4722.85,7750.0
2024-02-26 13:35:00,4725.0,4730.95,4722.45,4730.0,3826.0
2024-02-26 13:40:00,4729.85,4736.0,4726.0,4732.0,4088.0
2024-02-26 13:45:00,4731.45,4756.45,4726.3,4755.5,15003.0
2024-02-26 13:50:00,4755.5,4768.85,4752.85,4757.75,14184.0
2024-02-26 13:55:00,4757.75,4762.7,4739.05,4755.7,7855.0
2024-02-26 14:00:00,4755.65,4761.55,4748.15,4760.6,5580.0
2024-02-26 14:05:00,4759.8,4777.35,4757.65,4770.2,11591.0
2024-02-26 14:10:00,4771.55,4774.9,4765.05,4768.05,5523.0
2024-02-26 14:15:00,4769.15,4776.0,4766.6,4776.0,3428.0
2024-02-26 14:20:00,4777.0,4816.75,4775.75,4815.05,21250.0
2024-02-26 14:25:00,4816.2,4821.0,4800.0,4805.05,16074.0
