time,into,inth,intl,intc,v
2024-02-26 09:15:00,127.6,127.9,127.0,127.7,923646.0
2024-02-26 09:20:00,127.6,127.7,127.0,127.15,553993.0
2024-02-26 09:25:00,127.1,127.15,126.6,127.05,484560.0
2024-02-26 09:30:00,126.95,127.7,126.75,127.35,432169.0
2024-02-26 09:35:00,127.25,127.6,127.15,127.55,287543.0
2024-02-26 09:40:00,127.5,127.55,127.0,127.05,610922.0
2024-02-26 09:45:00,127.0,127.05,126.9,126.95,249622.0
2024-02-26 09:50:00,126.8,126.8,126.3,126.65,518178.0
2024-02-26 09:55:00,126.65,126.85,126.3,126.35,298767.0
2024-02-26 10:00:00,126.25,126.7,126.1,126.6,756620.0
2024-02-26 10:05:00,126.6,126.95,126.4,126.75,361815.0
2024-02-26 10:10:00,126.8,126.9,126.65,126.75,223563.0
2024-02-26 10:15:00,126.75,126.8,126.3,126.35,294212.0
2024-02-26 10:20:00,126.4,126.6,126.3,126.45,106538.0
2024-02-26 10:25:00,126.5,126.5,126.25,126.3,156484.0
2024-02-26 10:30:00,126.2,126.5,126.2,126.3,101605.0
2024-02-26 10:35:00,126.35,126.5,126.25,126.25,161381.0
2024-02-26 10:40:00,126.25,126.45,126.25,126.3,100308.0
2024-02-26 10:45:00,126.3,126.4,126.2,126.3,140359.0
2024-02-26 10:50:00,126.35,126.35,126.1,126.3,185630.0
2024-02-26 10:55:00,126.3,126.35,125.85,125.85,326769.0
2024-02-26 11:00:00,125.9,126.0,125.8,126.0,287572.0
2024-02-26 11:05:00,125.95,126.25,125.95,126.15,169361.0
2024-02-26 11:10:00,126.05,126.3,126.0,126.05,267063.0
2024-02-26 11:15:00,126.05,126.1,125.7,125.8,250724.0
2024-02-26 11:20:00,125.85,125.9,125.75,125.75,175933.0
2024-02-26 11:25:00,125.75,125.75,125.5,125.65,461794.0
2024-02-26 11:30:00,125.6,125.7,125.4,125.4,393377.0
2024-02-26 11:35:00,125.4,125.5,124.7,124.75,1554404.0
2024-02-26 11:40:00,124.4,124.45,123.9,124.2,1471324.0
2024-02-26 11:45:00,124.2,124.2,124.05,124.2,342500.0
2024-02-26 11:50:00,124.1,124.2,123.8,123.8,448061.0
2024-02-26 11:55:00,123.9,124.2,123.75,124.15,243320.0
2024-02-26 12:00:00,124.15,124.2,123.95,123.95,914554.0
2024-02-26 12:05:00,123.95,124.6,123.95,124.45,1003996.0
2024-02-26 12:10:00,124.45,124.5,124.1,124.5,191962.0
2024-02-26 12:15:00,124.45,124.55,124.2,124.25,346236.0
2024-02-26 12:20:00,124.3,124.45,124.15,124.3,226363.0
2024-02-26 12:25:00,124.25,124.5,124.1,124.5,136083.0
2024-02-26 12:30:00,124.5,124.75,124.5,124.7,198416.0
2024-02-26 12:35:00,124.7,124.75,124.5,124.55,85499.0
2024-02-26 12:40:00,124.5,124.75,124.5,124.65,179896.0
2024-02-26 12:45:00,124.6,124.7,124.5,124.65,74128.0
2024-02-26 12:50:00,124.6,124.75,124.6,124.7,99202.0
2024-02-26 12:55:00,124.7,124.75,124.65,124.75,111869.0
2024-02-26 13:00:00,124.7,124.75,124.6,124.75,123444.0
2024-02-26 13:05:00,124.75,124.95,124.7,124.95,160251.0
2024-02-26 13:10:00,124.95,125.2,124.9,125.1,303120.0
2024-02-26 13:15:00,125.1,125.2,125.0,125.1,115082.0
2024-02-26 13:20:00,125.0,125.1,124.85,125.0,148320.0
2024-02-26 13:25:00,124.95,125.0,124.9,124.9,92586.0
2024-02-26 13:30:00,124.9,125.1,124.8,125.1,135120.0
2024-02-26 13:35:00,125.1,125.15,124.95,124.95,103180.0
2024-02-26 13:40:00,124.95,125.1,124.85,125.05,76081.0
2024-02-26 13:45:00,125.1,125.15,125.0,125.1,85411.0
2024-02-26 13:50:00,125.1,125.1,124.8,125.1,144150.0
2024-02-26 13:55:00,125.1,125.15,124.9,125.05,101861.0
2024-02-26 14:00:00,125.05,125.05,124.9,124.9,86615.0
2024-02-26 14:05:00,125.0,125.05,124.9,125.05,115501.0
2024-02-26 14:10:00,125.05,125.1,124.6,124.75,300817.0
2024-02-26 14:15:00,124.75,125.0,124.75,125.0,110755.0
2024-02-26 14:20:00,125.0,125.0,124.9,125.0,72427.0
2024-02-26 14:25:00,124.95,125.0,124.85,124.95,62130.0
2024-02-26 14:30:00,124.95,125.0,124.8,124.8,90732.0
2024-02-26 14:35:00,124.8,124.8,124.4,124.5,336400.0
2024-02-26 14:40:00,124.45,124.45,124.3,124.35,230738.0
2024-02-26 14:45:00,124.35,124.5,124.25,124.4,223990.0
2024-02-26 14:50:00,124.35,124.75,124.3,124.7,558852.0
2024-02-26 14:55:00,124.65,124.7,124.4,124.55,116957.0
2024-02-26 15:00:00,124.6,124.6,124.45,124.55,161820.0
2024-02-26 15:05:00,124.6,124.6,124.25,124.25,176596.0
2024-02-26 15:10:00,124.25,124.25,124.1,124.15,450477.0
2024-02-26 15:15:00,124.1,124.25,123.95,124.15,732469.0
2024-02-26 15:20:00,124.2,124.4,124.1,124.2,517730.0
2024-02-26 15:25:00,124.2,124.6,123.95,124.4,628673.0
2024-02-27 09:15:00,124.55,125.75,124.3,125.3,965320.0
2024-02-27 09:20:00,125.4,125.5,125.2,125.5,576710.0
2024-02-27 09:25:00,125.5,125.55,125.3,125.4,243796.0
2024-02-27 09:30:00,125.4,125.4,124.9,125.05,486846.0
2024-02-27 09:35:00,125.05,125.1,124.9,125.1,129130.0
2024-02-27 09:40:00,125.05,125.2,124.95,125.2,203314.0
2024-02-27 09:45:00,125.25,125.45,125.25,125.35,228629.0
2024-02-27 09:50:00,125.3,125.6,125.0,125.0,420828.0
2024-02-27 09:55:00,125.0,125.0,124.65,124.7,272764.0
2024-02-27 10:00:00,124.7,124.8,124.6,124.65,170897.0
2024-02-27 10:05:00,124.75,124.8,124.5,124.6,184388.0
2024-02-27 10:10:00,124.55,124.65,124.25,124.4,248089.0
2024-02-27 10:15:00,124.4,124.5,124.3,124.35,140950.0
2024-02-27 10:20:00,124.35,124.6,124.35,124.55,97101.0
2024-02-27 10:25:00,124.5,124.6,124.2,124.3,152019.0
2024-02-27 10:30:00,124.3,124.6,124.3,124.55,153247.0
2024-02-27 10:35:00,124.6,124.6,124.3,124.45,103550.0
2024-02-27 10:40:00,124.4,124.85,124.4,124.8,153493.0
2024-02-27 10:45:00,124.8,124.85,124.7,124.85,111207.0
2024-02-27 10:50:00,124.85,125.1,124.85,124.9,183484.0
2024-02-27 10:55:00,124.9,125.0,124.8,124.8,50532.0
2024-02-27 11:00:00,124.9,125.15,124.75,125.15,174903.0
2024-02-27 11:05:00,125.1,125.15,124.8,124.9,91291.0
2024-02-27 11:10:00,124.9,125.0,124.75,125.0,82446.0
2024-02-27 11:15:00,125.0,125.1,124.6,124.75,326629.0
2024-02-27 11:20:00,124.7,124.8,124.5,124.65,84975.0
2024-02-27 11:25:00,124.65,124.85,124.6,124.7,87710.0
2024-02-27 11:30:00,124.7,124.85,124.5,124.8,201999.0
2024-02-27 11:35:00,124.8,124.8,124.6,124.7,35243.0
2024-02-27 11:40:00,124.65,124.7,124.4,124.45,103206.0
2024-02-27 11:45:00,124.45,124.55,124.2,124.4,211510.0
2024-02-27 11:50:00,124.35,124.65,124.35,124.55,57778.0
2024-02-27 11:55:00,124.6,124.8,124.55,124.6,145264.0
2024-02-27 12:00:00,124.65,124.7,124.4,124.5,192186.0
2024-02-27 12:05:00,124.5,125.1,124.5,125.0,374037.0
2024-02-27 12:10:00,125.0,125.5,125.0,125.5,319348.0
2024-02-27 12:15:00,125.45,125.85,125.15,125.6,775863.0
2024-02-27 12:20:00,125.5,125.75,125.35,125.4,190402.0
2024-02-27 12:25:00,125.35,125.7,125.35,125.65,315380.0
2024-02-27 12:30:00,125.65,125.75,125.45,125.45,250007.0
2024-02-27 12:35:00,125.45,125.8,125.45,125.8,315312.0
2024-02-27 12:40:00,125.8,126.0,125.75,125.95,541557.0
2024-02-27 12:45:00,126.0,126.3,125.65,125.8,545253.0
2024-02-27 12:50:00,125.8,126.0,125.65,125.9,162460.0
2024-02-27 12:55:00,125.85,125.9,125.65,125.75,120937.0
2024-02-27 13:00:00,125.9,126.0,125.75,125.75,159053.0
2024-02-27 13:05:00,125.7,125.75,125.35,125.45,178374.0
2024-02-27 13:10:00,125.45,125.7,125.4,125.7,81887.0
2024-02-27 13:15:00,125.65,125.95,125.55,125.9,121147.0
2024-02-27 13:20:00,125.9,126.0,125.75,125.9,140601.0
2024-02-27 13:25:00,125.85,126.15,125.8,125.9,241653.0
2024-02-27 13:30:00,125.9,126.15,125.85,126.1,132359.0
2024-02-27 13:35:00,126.0,126.15,125.9,126.0,179378.0
2024-02-27 13:40:00,125.95,126.05,125.65,125.7,187146.0
2024-02-27 13:45:00,125.7,125.75,125.45,125.55,192374.0
2024-02-27 13:50:00,125.6,125.8,125.5,125.8,214595.0
2024-02-27 13:55:00,125.7,125.75,125.2,125.5,341356.0
2024-02-27 14:00:00,125.5,125.55,125.25,125.45,152474.0
2024-02-27 14:05:00,125.5,125.5,124.9,125.0,345903.0
2024-02-27 14:10:00,125.0,125.15,124.9,125.1,138532.0
2024-02-27 14:15:00,125.25,125.35,124.95,125.2,257746.0
2024-02-27 14:20:00,125.15,125.45,125.1,125.35,143611.0
2024-02-27 14:25:00,125.45,125.5,125.25,125.35,239251.0
2024-02-27 14:30:00,125.4,125.45,125.15,125.45,145821.0
2024-02-27 14:35:00,125.45,125.5,125.3,125.45,100746.0
2024-02-27 14:40:00,125.5,125.8,125.45,125.6,157120.0
2024-02-27 14:45:00,125.65,125.65,125.45,125.45,135597.0
2024-02-27 14:50:00,125.45,125.5,125.15,125.2,174457.0
2024-02-27 14:55:00,125.2,125.65,125.2,125.45,137907.0
2024-02-27 15:00:00,125.5,126.0,125.4,125.7,478178.0
2024-02-27 15:05:00,125.7,125.95,125.4,125.5,216847.0
2024-02-27 15:10:00,125.45,125.65,125.35,125.35,325730.0
2024-02-27 15:15:00,125.25,125.4,124.85,124.95,396773.0
2024-02-27 15:20:00,124.95,125.0,124.6,125.0,415561.0
2024-02-27 15:25:00,125.0,125.3,124.85,125.2,326076.0
2024-02-28 09:15:00,125.3,125.45,124.85,125.05,589924.0
2024-02-28 09:20:00,125.15,125.85,124.95,125.75,569720.0
2024-02-28 09:25:00,125.9,126.4,125.8,126.2,672585.0
2024-02-28 09:30:00,126.15,126.2,126.0,126.15,280222.0
2024-02-28 09:35:00,126.15,126.15,125.85,125.9,250971.0
2024-02-28 09:40:00,125.85,126.05,125.65,125.95,251234.0
2024-02-28 09:45:00,125.9,126.6,125.85,126.55,410806.0
2024-02-28 09:50:00,126.5,126.7,126.3,126.3,329397.0
2024-02-28 09:55:00,126.4,126.45,125.9,125.9,315815.0
2024-02-28 10:00:00,125.9,126.2,125.75,125.9,252260.0
2024-02-28 10:05:00,125.9,126.4,125.85,126.25,170818.0
2024-02-28 10:10:00,126.15,126.35,126.0,126.35,186270.0
2024-02-28 10:15:00,126.35,126.45,126.2,126.2,150675.0
2024-02-28 10:20:00,126.15,126.4,126.0,126.05,199168.0
2024-02-28 10:25:00,125.95,126.25,125.9,126.2,154345.0
2024-02-28 10:30:00,126.2,126.25,125.8,125.85,210896.0
2024-02-28 10:35:00,125.85,125.95,125.4,125.5,330296.0
2024-02-28 10:40:00,125.5,125.7,125.3,125.6,255256.0
2024-02-28 10:45:00,125.6,126.3,125.55,125.8,698670.0
2024-02-28 10:50:00,125.8,125.95,125.6,125.9,834565.0
2024-02-28 10:55:00,125.85,125.9,125.35,125.35,724782.0
2024-02-28 11:00:00,125.25,125.25,124.3,124.35,745761.0
2024-02-28 11:05:00,124.25,124.9,124.2,124.55,368638.0
2024-02-28 11:10:00,124.6,124.9,124.5,124.5,248940.0
2024-02-28 11:15:00,124.5,124.7,124.35,124.35,361471.0
2024-02-28 11:20:00,124.5,124.65,124.35,124.35,155752.0
2024-02-28 11:25:00,124.35,124.4,123.65,123.75,456822.0
2024-02-28 11:30:00,123.75,123.8,123.25,123.3,671558.0
2024-02-28 11:35:00,123.3,123.75,123.2,123.7,536613.0
2024-02-28 11:40:00,123.65,123.65,122.9,122.95,821429.0
2024-02-28 11:45:00,122.8,123.0,122.25,122.65,652103.0
2024-02-28 11:50:00,122.75,122.9,122.65,122.65,346837.0
2024-02-28 11:55:00,122.65,123.4,122.65,123.35,307215.0
2024-02-28 12:00:00,123.4,123.4,123.15,123.25,204736.0
2024-02-28 12:05:00,123.2,123.5,123.1,123.3,226870.0
2024-02-28 12:10:00,123.3,123.5,123.2,123.2,139037.0
2024-02-28 12:15:00,123.2,123.6,123.1,123.6,175299.0
2024-02-28 12:20:00,123.65,123.8,123.5,123.75,252324.0
2024-02-28 12:25:00,123.75,123.8,123.4,123.5,171580.0
2024-02-28 12:30:00,123.45,123.5,123.05,123.05,264661.0
2024-02-28 12:35:00,123.05,123.5,123.05,123.5,112880.0
2024-02-28 12:40:00,123.3,123.85,123.3,123.85,91249.0
2024-02-28 12:45:00,123.8,123.8,123.45,123.6,101646.0
2024-02-28 12:50:00,123.55,123.7,123.4,123.45,46853.0
2024-02-28 12:55:00,123.4,123.45,123.0,123.0,114655.0
2024-02-28 13:00:00,123.0,123.35,122.7,123.2,317829.0
2024-02-28 13:05:00,123.15,123.15,122.4,122.6,561445.0
2024-02-28 13:10:00,122.6,122.75,122.3,122.35,230851.0
2024-02-28 13:15:00,122.3,122.75,122.3,122.65,255442.0
2024-02-28 13:20:00,122.65,123.2,122.65,123.05,212435.0
2024-02-28 13:25:00,123.05,123.25,123.0,123.05,154929.0
2024-02-28 13:30:00,123.1,123.5,123.05,123.4,174436.0
2024-02-28 13:35:00,123.45,123.5,123.1,123.25,203420.0
2024-02-28 13:40:00,123.3,123.45,123.2,123.3,117032.0
2024-02-28 13:45:00,123.3,123.4,123.0,123.15,95530.0
2024-02-28 13:50:00,123.0,123.25,123.0,123.2,108843.0
2024-02-28 13:55:00,123.2,123.3,123.0,123.05,112741.0
2024-02-28 14:00:00,123.1,123.25,123.0,123.15,61748.0
2024-02-28 14:05:00,123.1,123.35,123.05,123.1,132001.0
2024-02-28 14:10:00,123.1,123.3,122.9,123.05,191210.0
2024-02-28 14:15:00,123.05,123.15,122.8,123.0,102819.0
2024-02-28 14:20:00,123.0,123.0,122.7,122.8,88951.0
2024-02-28 14:25:00,122.8,123.0,122.7,122.9,105587.0
2024-02-28 14:30:00,122.95,123.0,122.3,122.35,229205.0
2024-02-28 14:35:00,122.35,122.5,122.25,122.35,175893.0
2024-02-28 14:40:00,122.35,122.5,122.1,122.15,226968.0
2024-02-28 14:45:00,122.05,122.7,122.05,122.65,283514.0
2024-02-28 14:50:00,122.7,122.7,122.3,122.35,248330.0
2024-02-28 14:55:00,122.4,122.45,122.1,122.2,135897.0
2024-02-28 15:00:00,122.2,122.4,122.2,122.35,170825.0
2024-02-28 15:05:00,122.3,122.4,122.1,122.2,289025.0
2024-02-28 15:10:00,122.2,122.2,121.5,121.65,824478.0
2024-02-28 15:15:00,121.65,122.0,121.3,121.75,642186.0
2024-02-28 15:20:00,121.7,121.8,121.5,121.7,412840.0
2024-02-28 15:25:00,121.75,121.75,121.15,121.45,602633.0
2024-02-29 09:15:00,122.0,123.6,121.85,122.6,1386848.0
2024-02-29 09:20:00,122.3,122.3,121.5,121.95,1048281.0
2024-02-29 09:25:00,121.9,122.65,121.9,122.65,875374.0
2024-02-29 09:30:00,122.6,122.95,122.45,122.95,585816.0
2024-02-29 09:35:00,123.15,123.4,122.8,122.85,945138.0
2024-02-29 09:40:00,122.85,122.85,122.25,122.4,444094.0
2024-02-29 09:45:00,122.45,122.7,122.45,122.65,178732.0
2024-02-29 09:50:00,122.55,122.95,122.55,122.95,342835.0
2024-02-29 09:55:00,122.85,123.35,122.85,123.2,642251.0
2024-02-29 10:00:00,123.25,123.8,123.25,123.75,608475.0
2024-02-29 10:05:00,123.8,123.8,122.95,123.0,625786.0
2024-02-29 10:10:00,123.1,123.1,122.55,122.55,711527.0
2024-02-29 10:15:00,122.6,122.8,122.35,122.35,442129.0
2024-02-29 10:20:00,122.4,122.65,122.35,122.35,377589.0
2024-02-29 10:25:00,122.35,122.65,122.35,122.6,186687.0
2024-02-29 10:30:00,122.6,122.6,122.35,122.4,251970.0
2024-02-29 10:35:00,122.4,122.45,122.2,122.3,216323.0
2024-02-29 10:40:00,122.25,122.35,122.1,122.3,391578.0
2024-02-29 10:45:00,122.3,122.4,122.0,122.0,356001.0
2024-02-29 10:50:00,122.05,122.2,121.85,121.9,242807.0
2024-02-29 10:55:00,122.0,122.05,121.8,121.85,180875.0
2024-02-29 11:00:00,121.85,122.05,121.6,122.05,359603.0
2024-02-29 11:05:00,122.05,122.35,122.0,122.25,254819.0
2024-02-29 11:10:00,122.25,122.55,122.25,122.55,254054.0
2024-02-29 11:15:00,122.5,122.65,122.3,122.3,280092.0
2024-02-29 11:20:00,122.3,122.5,122.1,122.15,185097.0
