time,into,inth,intl,intc,v
2024-02-26 09:15:00,2105.55,2113.4,2101.95,2108.5,33196.0
2024-02-26 09:20:00,2108.75,2115.5,2107.0,2109.9,8061.0
2024-02-26 09:25:00,2110.35,2113.85,2109.8,2112.5,7406.0
2024-02-26 09:30:00,2111.35,2111.5,2104.05,2104.05,7484.0
2024-02-26 09:35:00,2104.05,2106.5,2102.35,2103.0,7418.0
2024-02-26 09:40:00,2103.65,2106.0,2101.0,2103.05,9225.0
2024-02-26 09:45:00,2103.3,2104.8,2097.9,2097.9,12500.0
2024-02-26 09:50:00,2096.9,2098.65,2091.85,2095.1,13441.0
2024-02-26 09:55:00,2095.1,2099.5,2093.0,2097.0,6880.0
2024-02-26 10:00:00,2097.0,2099.3,2095.0,2096.5,4262.0
2024-02-26 10:05:00,2096.9,2102.35,2096.45,2100.35,4355.0
2024-02-26 10:10:00,2099.35,2100.9,2095.7,2095.7,5525.0
2024-02-26 10:15:00,2096.55,2096.75,2091.05,2091.05,6817.0
2024-02-26 10:20:00,2091.1,2092.9,2088.0,2089.9,8374.0
2024-02-26 10:25:00,2089.9,2096.2,2089.9,2093.65,6630.0
2024-02-26 10:30:00,2093.6,2107.05,2093.35,2105.0,7395.0
2024-02-26 10:35:00,2105.55,2107.15,2103.0,2104.05,8517.0
2024-02-26 10:40:00,2104.05,2106.8,2103.15,2105.75,4069.0
2024-02-26 10:45:00,2106.6,2110.0,2105.4,2109.85,7267.0
2024-02-26 10:50:00,2109.6,2110.05,2107.6,2109.1,4273.0
2024-02-26 10:55:00,2109.1,2115.0,2108.85,2110.85,8439.0
2024-02-26 11:00:00,2111.0,2115.25,2109.7,2114.1,4961.0
2024-02-26 11:05:00,2114.05,2116.35,2113.8,2114.5,5573.0
2024-02-26 11:10:00,2114.3,2115.0,2111.65,2111.75,5094.0
2024-02-26 11:15:00,2111.75,2116.65,2110.6,2115.35,3006.0
2024-02-26 11:20:00,2115.35,2120.75,2113.35,2120.0,7729.0
2024-02-26 11:25:00,2119.45,2123.5,2119.15,2121.7,5672.0
2024-02-26 11:30:00,2121.65,2122.0,2119.5,2120.4,3413.0
2024-02-26 11:35:00,2120.2,2126.25,2117.65,2126.0,12949.0
2024-02-26 11:40:00,2126.0,2127.0,2125.0,2126.9,5861.0
2024-02-26 11:45:00,2126.35,2126.95,2125.0,2125.55,3559.0
2024-02-26 11:50:00,2126.5,2131.0,2125.7,2130.0,19321.0
2024-02-26 11:55:00,2130.15,2133.95,2130.0,2133.05,7963.0
2024-02-26 12:00:00,2132.9,2139.3,2131.45,2138.7,11452.0
2024-02-26 12:05:00,2138.7,2138.7,2134.4,2135.35,12798.0
2024-02-26 12:10:00,2135.35,2139.5,2132.2,2136.35,10865.0
2024-02-26 12:15:00,2136.25,2137.15,2134.2,2136.0,2417.0
2024-02-26 12:20:00,2135.9,2147.85,2135.6,2142.6,16355.0
2024-02-26 12:25:00,2142.6,2147.4,2142.6,2146.55,9883.0
2024-02-26 12:30:00,2146.75,2146.9,2142.45,2144.55,4631.0
2024-02-26 12:35:00,2145.0,2147.15,2144.5,2146.5,5062.0
2024-02-26 12:40:00,2146.0,2148.65,2144.5,2145.65,7360.0
2024-02-26 12:45:00,2145.45,2146.4,2144.0,2144.45,3544.0
2024-02-26 12:50:00,2144.1,2146.4,2143.5,2145.1,4011.0
2024-02-26 12:55:00,2145.7,2149.4,2144.45,2148.85,3865.0
2024-02-26 13:00:00,2148.2,2154.45,2148.0,2148.5,14393.0
2024-02-26 13:05:00,2148.55,2155.75,2148.55,2155.3,6651.0
2024-02-26 13:10:00,2154.6,2155.65,2150.0,2150.0,9568.0
2024-02-26 13:15:00,2150.25,2155.1,2149.65,2149.65,5185.0
2024-02-26 13:20:00,2150.55,2151.8,2146.5,2148.55,5842.0
2024-02-26 13:25:00,2148.55,2149.95,2146.95,2149.05,2164.0
2024-02-26 13:30:00,2149.0,2151.9,2149.0,2150.35,3963.0
2024-02-26 13:35:00,2151.6,2154.0,2150.25,2152.6,3831.0
2024-02-26 13:40:00,2152.5,2155.0,2152.05,2153.35,4414.0
2024-02-26 13:45:00,2153.35,2156.0,2153.3,2155.65,10324.0
2024-02-26 13:50:00,2154.6,2163.2,2154.6,2161.95,16091.0
2024-02-26 13:55:00,2160.35,2163.7,2158.25,2159.8,6615.0
2024-02-26 14:00:00,2160.0,2161.85,2158.9,2159.3,9223.0
2024-02-26 14:05:00,2159.3,2162.15,2158.7,2160.75,3673.0
2024-02-26 14:10:00,2160.75,2161.95,2158.6,2158.6,6542.0
2024-02-26 14:15:00,2159.45,2160.7,2158.4,2159.8,5141.0
2024-02-26 14:20:00,2160.7,2167.0,2160.1,2164.4,15909.0
2024-02-26 14:25:00,2164.4,2164.9,2158.5,2160.3,10015.0
2024-02-26 14:30:00,2160.85,2162.9,2159.35,2159.95,2889.0
2024-02-26 14:35:00,2159.0,2162.25,2158.45,2158.45,4102.0
2024-02-26 14:40:00,2158.75,2159.95,2158.1,2158.6,4426.0
2024-02-26 14:45:00,2158.4,2159.55,2157.9,2158.4,4271.0
2024-02-26 14:50:00,2158.4,2159.5,2157.3,2158.7,3978.0
2024-02-26 14:55:00,2158.7,2160.0,2158.25,2158.95,2938.0
2024-02-26 15:00:00,2160.5,2164.0,2158.45,2161.25,21949.0
2024-02-26 15:05:00,2160.8,2162.5,2158.95,2162.1,19048.0
2024-02-26 15:10:00,2162.85,2166.0,2161.65,2164.15,22670.0
2024-02-26 15:15:00,2164.95,2165.0,2159.5,2162.25,30836.0
2024-02-26 15:20:00,2162.1,2163.3,2160.6,2163.3,28673.0
2024-02-26 15:25:00,2163.0,2164.85,2157.1,2162.9,15820.0
2024-02-27 09:15:00,2159.3,2164.05,2138.95,2152.6,49759.0
2024-02-27 09:20:00,2153.9,2157.25,2152.0,2155.1,13233.0
2024-02-27 09:25:00,2155.1,2158.0,2150.0,2152.95,10936.0
2024-02-27 09:30:00,2153.0,2159.6,2151.9,2155.75,6979.0
2024-02-27 09:35:00,2155.0,2157.9,2153.0,2154.65,7943.0
2024-02-27 09:40:00,2153.85,2157.85,2153.15,2157.05,4978.0
2024-02-27 09:45:00,2157.2,2168.15,2157.2,2163.4,25564.0
2024-02-27 09:50:00,2163.4,2164.45,2157.15,2161.25,8772.0
2024-02-27 09:55:00,2161.3,2162.0,2158.2,2159.85,4251.0
2024-02-27 10:00:00,2159.75,2166.35,2159.75,2165.0,15329.0
2024-02-27 10:05:00,2164.2,2165.05,2152.05,2152.15,12843.0
2024-02-27 10:10:00,2151.0,2151.0,2143.4,2145.0,21451.0
2024-02-27 10:15:00,2145.1,2146.95,2143.85,2145.1,5522.0
2024-02-27 10:20:00,2143.9,2146.9,2142.35,2145.8,10983.0
2024-02-27 10:25:00,2145.4,2145.8,2135.6,2139.35,13419.0
2024-02-27 10:30:00,2139.0,2141.8,2137.05,2138.7,7076.0
2024-02-27 10:35:00,2138.5,2139.85,2133.0,2133.05,5232.0
2024-02-27 10:40:00,2133.9,2140.9,2133.0,2139.55,6786.0
2024-02-27 10:45:00,2139.55,2151.55,2138.65,2145.05,25665.0
2024-02-27 10:50:00,2145.5,2145.85,2137.6,2139.45,10642.0
2024-02-27 10:55:00,2139.45,2142.6,2139.4,2142.0,5953.0
2024-02-27 11:00:00,2141.25,2147.9,2141.1,2147.5,5402.0
2024-02-27 11:05:00,2147.5,2152.15,2145.6,2146.35,8014.0
2024-02-27 11:10:00,2145.5,2149.3,2144.0,2148.0,3824.0
2024-02-27 11:15:00,2147.55,2150.0,2144.5,2144.5,4614.0
2024-02-27 11:20:00,2144.5,2148.85,2142.5,2147.1,6700.0
2024-02-27 11:25:00,2147.0,2151.0,2146.5,2150.5,8989.0
2024-02-27 11:30:00,2149.7,2151.0,2147.7,2148.85,3460.0
2024-02-27 11:35:00,2148.6,2149.85,2147.35,2147.75,2587.0
2024-02-27 11:40:00,2147.65,2150.45,2147.65,2150.4,2506.0
2024-02-27 11:45:00,2150.2,2151.55,2150.0,2151.55,2104.0
2024-02-27 11:50:00,2151.55,2154.0,2150.05,2150.6,2898.0
2024-02-27 11:55:00,2150.6,2152.8,2150.0,2152.8,5231.0
2024-02-27 12:00:00,2152.05,2153.5,2149.9,2150.0,2690.0
2024-02-27 12:05:00,2150.05,2151.15,2144.0,2144.85,11119.0
2024-02-27 12:10:00,2145.1,2145.1,2141.05,2141.1,3120.0
2024-02-27 12:15:00,2141.1,2143.95,2141.1,2142.35,2157.0
2024-02-27 12:20:00,2141.2,2141.9,2139.0,2139.65,2915.0
2024-02-27 12:25:00,2139.65,2141.0,2139.0,2140.75,1729.0
2024-02-27 12:30:00,2140.75,2145.15,2140.75,2144.4,2961.0
2024-02-27 12:35:00,2143.85,2147.0,2143.75,2145.7,3199.0
2024-02-27 12:40:00,2147.0,2150.85,2145.5,2149.8,3813.0
2024-02-27 12:45:00,2149.8,2151.0,2147.45,2147.45,2444.0
2024-02-27 12:50:00,2147.45,2148.55,2146.3,2146.65,2223.0
2024-02-27 12:55:00,2147.85,2148.85,2146.8,2148.55,2409.0
2024-02-27 13:00:00,2148.5,2151.2,2147.5,2150.3,4991.0
2024-02-27 13:05:00,2150.3,2151.65,2149.9,2150.0,4577.0
2024-02-27 13:10:00,2150.35,2153.2,2149.9,2150.9,3505.0
2024-02-27 13:15:00,2151.0,2152.75,2151.0,2152.6,3634.0
2024-02-27 13:20:00,2151.5,2152.4,2150.0,2150.0,2571.0
2024-02-27 13:25:00,2150.5,2151.75,2150.0,2150.85,2947.0
2024-02-27 13:30:00,2150.0,2150.85,2149.95,2150.0,2601.0
2024-02-27 13:35:00,2150.5,2150.5,2142.55,2146.3,23090.0
2024-02-27 13:40:00,2145.95,2145.95,2140.15,2140.15,3249.0
2024-02-27 13:45:00,2140.0,2147.7,2137.0,2137.0,15557.0
2024-02-27 13:50:00,2137.2,2138.3,2131.15,2131.15,7490.0
2024-02-27 13:55:00,2131.9,2132.9,2127.4,2130.4,7822.0
2024-02-27 14:00:00,2131.3,2137.0,2129.5,2132.4,6014.0
2024-02-27 14:05:00,2131.7,2133.85,2129.0,2129.0,2723.0
