time,into,inth,intl,intc,v
2024-02-26 09:15:00,1725.9,1725.9,1712.25,1714.9,2314.0
2024-02-26 09:20:00,1716.25,1718.95,1713.55,1713.55,2474.0
2024-02-26 09:25:00,1713.65,1716.55,1713.1,1713.2,1170.0
2024-02-26 09:30:00,1713.15,1717.15,1713.15,1717.15,473.0
2024-02-26 09:35:00,1716.8,1717.8,1714.55,1715.1,683.0
2024-02-26 09:40:00,1715.0,1715.0,1712.1,1712.65,821.0
2024-02-26 09:45:00,1712.65,1712.65,1709.1,1709.1,464.0
2024-02-26 09:50:00,1709.15,1710.0,1705.2,1707.6,4295.0
2024-02-26 09:55:00,1706.1,1711.25,1705.65,1709.5,1498.0
2024-02-26 10:00:00,1709.05,1710.75,1707.35,1707.95,1238.0
2024-02-26 10:05:00,1708.35,1711.1,1707.95,1710.85,545.0
2024-02-26 10:10:00,1710.9,1711.5,1708.15,1708.85,436.0
2024-02-26 10:15:00,1708.15,1708.9,1707.3,1708.45,197.0
2024-02-26 10:20:00,1707.0,1708.1,1705.05,1705.4,1311.0
2024-02-26 10:25:00,1705.4,1706.8,1704.05,1704.1,1309.0
2024-02-26 10:30:00,1704.8,1704.9,1701.65,1702.25,1928.0
2024-02-26 10:35:00,1702.9,1704.55,1702.2,1703.55,1016.0
2024-02-26 10:40:00,1703.55,1703.55,1694.5,1697.5,8508.0
2024-02-26 10:45:00,1696.7,1702.4,1696.3,1699.1,2124.0
2024-02-26 10:50:00,1698.55,1698.75,1695.6,1696.0,1347.0
2024-02-26 10:55:00,1696.15,1697.85,1695.65,1695.95,1980.0
2024-02-26 11:00:00,1695.85,1696.6,1694.95,1695.75,1370.0
2024-02-26 11:05:00,1695.7,1696.9,1694.95,1696.1,1540.0
2024-02-26 11:10:00,1696.1,1697.75,1694.1,1694.6,4368.0
2024-02-26 11:15:00,1694.05,1696.45,1693.5,1696.1,837.0
2024-02-26 11:20:00,1696.1,1696.95,1694.15,1694.4,864.0
2024-02-26 11:25:00,1694.45,1700.0,1694.05,1699.55,1317.0
2024-02-26 11:30:00,1699.05,1699.05,1694.75,1696.05,1810.0
2024-02-26 11:35:00,1695.9,1698.85,1694.25,1697.25,1200.0
2024-02-26 11:40:00,1697.3,1698.25,1695.25,1697.3,1447.0
2024-02-26 11:45:00,1697.3,1698.2,1697.15,1697.25,729.0
2024-02-26 11:50:00,1697.25,1698.35,1695.5,1695.5,1188.0
2024-02-26 11:55:00,1695.5,1698.6,1695.5,1698.1,1112.0
2024-02-26 12:00:00,1698.1,1700.25,1698.1,1699.0,1698.0
2024-02-26 12:05:00,1699.0,1700.35,1699.0,1699.65,654.0
2024-02-26 12:10:00,1699.2,1700.85,1699.0,1700.35,1834.0
2024-02-26 12:15:00,1700.35,1701.0,1699.5,1700.0,1096.0
2024-02-26 12:20:00,1700.0,1703.1,1700.0,1701.6,1304.0
