time,into,inth,intl,intc,v
2024-02-26 09:15:00,174.8,176.95,174.25,175.7,1329010.0
2024-02-26 09:20:00,175.3,175.4,174.55,174.55,545568.0
2024-02-26 09:25:00,174.55,174.75,173.6,174.2,568821.0
2024-02-26 09:30:00,174.3,174.4,173.0,173.6,526384.0
2024-02-26 09:35:00,173.35,174.35,173.25,174.25,260932.0
2024-02-26 09:40:00,174.2,174.85,173.9,174.5,508756.0
2024-02-26 09:45:00,174.45,174.45,173.7,173.95,113279.0
2024-02-26 09:50:00,173.9,173.9,172.7,172.9,302038.0
2024-02-26 09:55:00,172.9,173.35,172.8,173.15,159043.0
2024-02-26 10:00:00,173.1,173.9,172.8,173.8,173145.0
2024-02-26 10:05:00,173.85,174.25,173.65,173.65,171178.0
2024-02-26 10:10:00,173.65,173.8,173.4,173.75,67157.0
2024-02-26 10:15:00,173.8,173.9,173.3,173.4,147132.0
2024-02-26 10:20:00,173.45,173.7,173.2,173.7,149715.0
2024-02-26 10:25:00,173.75,173.75,173.4,173.65,72064.0
2024-02-26 10:30:00,173.65,173.95,173.55,173.85,51107.0
2024-02-26 10:35:00,173.95,173.95,173.4,173.45,161130.0
2024-02-26 10:40:00,173.4,173.55,173.1,173.45,91237.0
2024-02-26 10:45:00,173.35,173.65,173.25,173.55,100653.0
2024-02-26 10:50:00,173.6,173.75,173.4,173.7,40551.0
2024-02-26 10:55:00,173.7,173.95,173.55,173.8,59838.0
2024-02-26 11:00:00,173.8,173.9,173.55,173.6,47544.0
2024-02-26 11:05:00,173.6,173.9,173.55,173.65,64546.0
2024-02-26 11:10:00,173.6,173.75,173.45,173.5,50831.0
2024-02-26 11:15:00,173.55,173.55,173.2,173.35,95680.0
2024-02-26 11:20:00,173.3,173.4,173.05,173.05,105833.0
2024-02-26 11:25:00,173.1,173.3,172.9,173.2,135281.0
2024-02-26 11:30:00,173.25,173.6,173.25,173.35,118369.0
2024-02-26 11:35:00,173.4,173.45,173.25,173.45,34666.0
2024-02-26 11:40:00,173.45,173.55,173.35,173.45,41463.0
2024-02-26 11:45:00,173.5,173.6,173.2,173.25,63245.0
2024-02-26 11:50:00,173.25,173.45,173.25,173.25,31796.0
2024-02-26 11:55:00,173.25,173.3,173.05,173.25,32272.0
2024-02-26 12:00:00,173.2,173.7,173.2,173.65,64744.0
2024-02-26 12:05:00,173.6,174.3,173.6,173.95,223887.0
2024-02-26 12:10:00,173.95,174.05,173.75,173.8,282135.0
2024-02-26 12:15:00,173.85,173.95,173.65,173.75,66573.0
2024-02-26 12:20:00,173.7,173.85,173.65,173.75,53139.0
2024-02-26 12:25:00,173.8,173.85,173.6,173.7,18010.0
2024-02-26 12:30:00,173.6,173.7,173.25,173.3,59558.0
2024-02-26 12:35:00,173.3,173.45,173.25,173.35,31346.0
2024-02-26 12:40:00,173.35,173.45,173.15,173.2,65018.0
2024-02-26 12:45:00,173.15,173.25,173.0,173.0,128389.0
2024-02-26 12:50:00,173.0,173.2,173.0,173.1,134264.0
2024-02-26 12:55:00,173.0,173.5,173.0,173.45,72845.0
2024-02-26 13:00:00,173.4,173.7,173.3,173.6,73773.0
2024-02-26 13:05:00,173.7,173.85,173.6,173.85,200556.0
2024-02-26 13:10:00,173.85,173.85,173.5,173.8,27480.0
2024-02-26 13:15:00,173.8,173.9,173.55,173.8,50229.0
2024-02-26 13:20:00,173.8,173.8,173.65,173.7,20614.0
2024-02-26 13:25:00,173.75,174.3,173.7,173.95,167224.0
